temp_C,growth,mu_pred,mu_measured
22.0,0.01260657486304638,0.0955210713643662,0.2607
24.0,0.02229278893139456,0.16891432491060585,0.3367
26.0,0.03596419496849848,0.2725037110768225,0.434
28.0,0.05262983577168979,0.3987806643165895,0.5233
30.0,0.0699662898081633,0.5301404254898848,0.6482
32.0,0.08528441664914747,0.6462071528160477,0.7478
34.0,0.09665234410663523,0.7323428892653392,0.7761
36.0,0.10331177632282029,0.7828019637466257,0.7988
38.0,0.10542314755022814,0.7988000000000001,0.7486
40.0,0.1037111500300855,0.7858280517052636,0.6639
42.0,0.09893329460116447,0.7496258417987177,0.6082
44.0,0.09185900624685547,0.6960233676861926,0.2721
