temp_C,growth,mu_pred,mu_measured
22.0,0.012833520255353257,0.0984370169726059,0.2607
24.0,0.022643610670727694,0.1736834043633297,0.3367
26.0,0.036355196706477216,0.2788554538451863,0.434
28.0,0.05287406648115443,0.4055602263490427,0.5233
30.0,0.06996629002188508,0.5366627972182203,0.6482
32.0,0.08497329930905631,0.6517711383838584,0.7478
34.0,0.09600400259084306,0.7363799989742399,0.7761
36.0,0.10233352791602468,0.7849293899025431,0.7988
38.0,0.10414187970394322,0.7987999999999967,0.7486
40.0,0.1021604559175162,0.7836018748547872,0.6639
42.0,0.09714783517697055,0.7451535439918265,0.6082
44.0,0.08987122906367988,0.6893397543826836,0.2721
