rxn_id,mw_kDa,kcat_s,source,group
R00894__cyto,86.29,10.4843,dlkcat,Glutathione metabolism
R03416__mito,171.82,13.7,default_13.7,Glycerophospholipid metabolism
R03936__cyto,50.14,1.7766,dlkcat,Tryptophan metabolism
R00658__cyto,47.01,27.1191,dlkcat,Biosynthesis of antibiotics
R00763__cyto,57.286,4.0869,dlkcat,
R12120__cyto,59.77,3.8694,dlkcat,
R08657__mito,72.07,15.3724,dlkcat,
R04355__cyto,124.995,13.7,default_13.7,Fatty acid biosynthesis
R04591__cyto,35.12,16.6499,dlkcat,Biosynthesis of antibiotics
R02485__cyto,32.0,119.7739,dlkcat,Pyrimidine metabolism
R00527__cyto,31.8,18.3503,dlkcat,Microbial metabolism in diverse environments
R02590__cyto,49.51,2.5268,dlkcat,Phosphonate and phosphinate metabolism
R01351__cyto,58.347143,13.7,default_13.7,Glycerolipid metabolism
R11104__pero,25.71,13.7,default_13.7,
R03893__cyto,30.31,181.1824,dlkcat,Chlorocyclohexane and chlorobenzene degradation
R00489__cyto,59.94,7.8369,dlkcat,Pantothenate and CoA biosynthesis
R03352__cyto,46.166667,31.243,dlkcat,
R04726__pero,124.995,13.7,default_13.7,Fatty acid biosynthesis
R00848__mito,72.07,15.3724,dlkcat,Glycerophospholipid metabolism
R07895__cyto,43.64,0.834,dlkcat,alpha-Linolenic acid metabolism
R01072__cyto,59.17,16.4561,dlkcat,Biosynthesis of antibiotics
R01187__cyto,57.286,5.579,dlkcat,Biosynthesis of antibiotics
R02464__cyto,147.66,3.3149,dlkcat,Sphingolipid metabolism
R00548__cyto,51.69,296.4833,dlkcat,Riboflavin metabolism
R00768__cyto,77.84,0.0431,dlkcat,Biosynthesis of antibiotics
R00243__cyto,118.36,3.436,dlkcat,D-Glutamine and D-glutamate metabolism
R03293__cyto,28.92,13.5005,dlkcat,Arginine and proline metabolism
R04639__cyto,31.66,1.4979,dlkcat,Spontaneous
R03657__cyto,171.65,10.3169,dlkcat,Aminoacyl-tRNA biosynthesis
R01466__cyto,57.14,5.3424,dlkcat,"Glycine, serine and threonine metabolism"
R03652__cyto,90.07,0.9536,dlkcat,Aminoacyl-tRNA biosynthesis
R02295__cyto,33.07,10.2384,dlkcat,Nicotinate and nicotinamide metabolism
R09419__cyto,37.655,0.6748,dlkcat,
R09076__cyto,52.4,0.1749,dlkcat,Arginine and proline metabolism
R07764__cyto,71.49,13.7,default_13.7,Fatty acid biosynthesis
R00827__cyto,48.147692,38.8978,dlkcat,
R02249__cyto,57.286,13.7,default_13.7,
R03357__cyto,41.155,104.1412,dlkcat,
R02874__cyto,55.71,9.526,dlkcat,Biosynthesis of antibiotics
R00248__cyto,140.07,16.0578,dlkcat,D-Glutamine and D-glutamate metabolism
R01372__cyto,52.64,6.2312,dlkcat,Phenylalanine metabolism
R08310__cyto,47.4375,145.6051,dlkcat,Drug metabolism - cytochrome P450
R02003__cyto,39.675,1.4036,dlkcat,Biosynthesis of antibiotics
R04955__cyto,40.94,13.7,default_13.7,Fatty acid biosynthesis
R00674__cyto,75.35,2.611,dlkcat,"Phenylalanine, tyrosine and tryptophan biosynthesis"
R07070__cyto,32.685,37.6148,dlkcat,Metabolism of xenobiotics by cytochrome P450
R02849__cyto,55.9675,39.152,dlkcat,
R02413__cyto,214.64,7.8635,dlkcat,Biosynthesis of antibiotics
R01398__cyto,37.42,176.468,dlkcat,Biosynthesis of antibiotics
R04208__cyto,83.99,10.8623,dlkcat,Biosynthesis of antibiotics
R12366__cyto,43.998,18.8148,dlkcat,
R01030__cyto,141.5,13.9202,dlkcat,Glycerophospholipid metabolism
