temp_C,growth,mu_pred,mu_measured
22.0,0.1024149654453144,0.21242138776308564,0.3161
24.0,0.1413341347820011,0.2931445899351346,0.4344
26.0,0.180992200155964,0.37540035447215025,0.4929
28.0,0.2167166439534634,0.44949729817107886,0.622
30.0,0.24461671188537276,0.5073655122842312,0.6739
32.0,0.26148992176224095,0.5423626500802302,0.7124
34.0,0.26694489193619375,0.5536769372990842,0.6502
36.0,0.259433289567876,0.5380969388831833,0.561
38.0,0.23924970433303427,0.496233670492892,0.1953
40.0,0.2095580884053322,0.4346495628103212,0.0
42.0,0.17411882019134353,0.3611441087725188,0.0
44.0,0.1370715951033078,0.2843035520066814,0.0
