temp_C,growth,mu_pred,mu_measured
22.0,0.07209161124873337,0.13824847074925023,0.3161
24.0,0.1157615139331361,0.2219932665626928,0.4344
26.0,0.1652955419432232,0.31698356437720293,0.4929
28.0,0.21218220110492167,0.40689706215271587,0.622
30.0,0.2499355245688944,0.47929576630413295,0.6739
32.0,0.2760442046702205,0.5293637982813365,0.7124
34.0,0.29054248855760206,0.5571668330755438,0.6502
36.0,0.29570490612909833,0.567066685808284,0.561
38.0,0.29289914418607493,0.5616861388737577,0.1953
40.0,0.28216743994127563,0.5411061896303178,0.0
42.0,0.26522279768793683,0.5086118281041925,0.0
44.0,0.24375061729826702,0.4674351079407068,0.0
