temp_C,growth,mu_pred,mu_measured
22.0,0.07209131348102353,0.13868823026583785,0.3161
24.0,0.1157603474583858,0.22269808869813462,0.4344
26.0,0.16529171807050055,0.31798582589054614,0.4929
28.0,0.21217144339028116,0.40817236607142915,0.622
30.0,0.24990794855779758,0.4807693110484149,0.6739
32.0,0.2759770836283431,0.5309207375229339,0.7124
34.0,0.2903794361399429,0.5586277757921742,0.6502
36.0,0.29531525795712127,0.5681232386944026,0.561
38.0,0.2917636494697473,0.5612907054538939,0.1953
40.0,0.27813031384764664,0.5350630907975588,0.0
42.0,0.24735575969270943,0.47585944687876813,0.0
44.0,0.13987403337770274,0.26908765026738846,0.0
