temp_C,growth,mu_pred,mu_measured
22.0,0.017854540443615657,0.13528534518062135,0.3161
24.0,0.028823596085340134,0.21839879654513197,0.4344
26.0,0.041316100336853144,0.3130555453521638,0.4929
28.0,0.05321403274989393,0.40320717364621406,0.622
30.0,0.06286594403579171,0.4763405121428833,0.6739
32.0,0.06956586438776259,0.5271063686129196,0.7124
34.0,0.07326951364848591,0.5551692286034757,0.6502
36.0,0.07452909061916443,0.5647131485827064,0.561
38.0,0.0737316890283759,0.5586711700844036,0.1953
40.0,0.0708871154952123,0.5371175986810409,0.0
42.0,0.06645766511085717,0.5035552829160225,0.0
44.0,0.060872128540805155,0.4612332054990891,0.0
