temp_C,growth,mu_pred,mu_measured
22.0,0.01818601040677353,0.13949224994044923,0.3161
24.0,0.029291766058179944,0.22467678511076564,0.4344
26.0,0.04178012245052325,0.32046628991481685,0.4929
28.0,0.05346935841152421,0.41012629712989684,0.622
30.0,0.06286594423452974,0.48220097810123114,0.6739
32.0,0.06930298708833194,0.5315750612869266,0.7124
34.0,0.07275991507140768,0.558090753924039,0.6502
36.0,0.07379667744647858,0.5660430377464644,0.561
38.0,0.07280076604618711,0.5584040933677534,0.1953
40.0,0.06978492627820901,0.5352716819545025,0.0
42.0,0.06520918549581257,0.5001743537003068,0.0
44.0,0.05949954136416508,0.45637964070563336,0.0
