temp_C,growth,mu_pred,mu_measured
22.0,0.014001100139693572,0.1639796793586256,0.3161
24.0,0.022493916785215357,0.2634468166899311,0.4344
26.0,0.03137385454218686,0.367447883147885,0.4929
28.0,0.03882006337097908,0.45465723984129697,0.622
30.0,0.04443644785537863,0.5204358513588027,0.6739
32.0,0.04785871220482305,0.5605171167667532,0.7124
34.0,0.04917710540135919,0.575958024372555,0.6502
36.0,0.04876329543915095,0.5711115177237,0.561
38.0,0.04670382907406389,0.546991224973316,0.1953
40.0,0.04309107808806896,0.5046789964787506,0.0
42.0,0.038149995696938124,0.4468094649349301,0.0
44.0,0.0316220825881647,0.37035510865024873,0.0
