temp_C,growth,mu_pred,mu_measured
22.0,0.10279251390453316,0.2132044702677251,0.3161
24.0,0.14133413478199397,0.2931445899350985,0.4344
26.0,0.18099220015596063,0.375400354472116,0.4929
28.0,0.21671664395346385,0.44949729817104717,0.622
30.0,0.2446167118853724,0.5073655122841936,0.6739
32.0,0.261489921762239,0.5423626500801868,0.7124
34.0,0.2669448919361963,0.5536769372990493,0.6502
36.0,0.259433289567876,0.5380969388831442,0.561
38.0,0.23924970433303372,0.4962336704928549,0.1953
40.0,0.20955808840533194,0.4346495628102891,0.0
42.0,0.17411882019134312,0.3611441087724917,0.0
44.0,0.13707159510330796,0.2843035520066611,0.0
