rxn_id,mw_kDa,kcat_s,source,group
R00894__cyto,86.15,10.7577,dlkcat,Glutathione metabolism
R03416__mito,232.64,13.7,default_13.7,Glycerophospholipid metabolism
R03936__cyto,50.6,2.965,dlkcat,Tryptophan metabolism
R00658__cyto,46.97,15.6434,dlkcat,Biosynthesis of antibiotics
R00763__cyto,81.812857,17.5541,dlkcat,
R12120__cyto,59.6,2.3249,dlkcat,
R08657__mito,71.88,13.6046,dlkcat,
R04355__cyto,124.9,13.7,default_13.7,Fatty acid biosynthesis
R04591__cyto,34.99,19.1185,dlkcat,Biosynthesis of antibiotics
R02485__cyto,32.08,226.6256,dlkcat,Pyrimidine metabolism
R00527__cyto,31.74,10.2899,dlkcat,Microbial metabolism in diverse environments
R02590__cyto,49.89,1.2496,dlkcat,Phosphonate and phosphinate metabolism
R01351__cyto,61.085,13.7,default_13.7,Glycerolipid metabolism
R11104__pero,47.68,13.7,default_13.7,
R03893__cyto,33.52,147.8275,dlkcat,Chlorocyclohexane and chlorobenzene degradation
R00489__cyto,59.86,2.9708,dlkcat,Pantothenate and CoA biosynthesis
R03352__cyto,46.67,26.8523,dlkcat,
R04726__pero,124.9,13.7,default_13.7,Fatty acid biosynthesis
R00848__mito,71.88,13.6046,dlkcat,Glycerophospholipid metabolism
R07895__cyto,43.63,0.4195,dlkcat,alpha-Linolenic acid metabolism
R01072__cyto,59.04,5.9984,dlkcat,Biosynthesis of antibiotics
R01187__cyto,81.812857,11.4647,dlkcat,Biosynthesis of antibiotics
R02464__cyto,65.45,16.5003,dlkcat,Sphingolipid metabolism
R00548__cyto,51.93,84.7469,dlkcat,Riboflavin metabolism
R00768__cyto,74.14,0.0946,dlkcat,Biosynthesis of antibiotics
R00243__cyto,120.26,3.1364,dlkcat,D-Glutamine and D-glutamate metabolism
R03293__cyto,28.97,24.4865,dlkcat,Arginine and proline metabolism
R04639__cyto,32.03,3.2831,dlkcat,Spontaneous
R03657__cyto,111.545,5.1793,dlkcat,Aminoacyl-tRNA biosynthesis
R01466__cyto,57.67,5.265,dlkcat,"Glycine, serine and threonine metabolism"
R03652__cyto,90.53,1.0005,dlkcat,Aminoacyl-tRNA biosynthesis
R02295__cyto,33.13,2.2779,dlkcat,Nicotinate and nicotinamide metabolism
R09419__cyto,37.565,0.5379,dlkcat,
R09076__cyto,52.32,7.592,dlkcat,Arginine and proline metabolism
R07764__cyto,74.243333,13.7,default_13.7,Fatty acid biosynthesis
R00827__cyto,48.620714,16.6612,dlkcat,
R02249__cyto,81.812857,13.7,default_13.7,
R03357__cyto,39.772857,71.4458,dlkcat,
R02874__cyto,55.24,6.1642,dlkcat,Biosynthesis of antibiotics
R00248__cyto,141.605,17.3267,dlkcat,D-Glutamine and D-glutamate metabolism
R01372__cyto,53.38,28.2676,dlkcat,Phenylalanine metabolism
R08310__cyto,47.68,130.6363,dlkcat,Drug metabolism - cytochrome P450
R02003__cyto,39.24,0.2157,dlkcat,Biosynthesis of antibiotics
R04955__cyto,41.33,13.7,default_13.7,Fatty acid biosynthesis
R00674__cyto,74.3,3.5452,dlkcat,"Phenylalanine, tyrosine and tryptophan biosynthesis"
R07070__cyto,32.915,43.3824,dlkcat,Metabolism of xenobiotics by cytochrome P450
R02849__cyto,147.8575,50.6207,dlkcat,
R02413__cyto,235.91,4.4121,dlkcat,Biosynthesis of antibiotics
R01398__cyto,37.31,96.693,dlkcat,Biosynthesis of antibiotics
R04208__cyto,83.77,3.7794,dlkcat,Biosynthesis of antibiotics
R12366__cyto,44.01,6.9096,dlkcat,
R01030__cyto,144.72,3.6859,dlkcat,Glycerophospholipid metabolism
R08306__mito,47.68,83.0846,dlkcat,Drug metabolism - cytochrome P450
R00264__cyto,55.203333,106.7581,dlkcat,Ascorbate and aldarate metabolism
R03416__cyto,232.64,13.7,default_13.7,Glycerophospholipid metabolism
R08551__cyto,97.41,13.7,default_13.7,
R01956__cyto,49.02,208.6766,dlkcat,Non enzymatic
R02722__cyto,74.3,3.7148,dlkcat,Biosynthesis of antibiotics
R00220__pero,88.56,11.6792,dlkcat,Biosynthesis of antibiotics
R02549__cyto,55.203333,29.8275,dlkcat,Arginine and proline metabolism
R02029__mito,24.04,13.7,default_13.7,Glycerophospholipid metabolism
R02739__cyto,47.875,106.4921,dlkcat,Biosynthesis of antibiotics
R08221__cyto,32.08,215.3992,dlkcat,Drug metabolism - other enzymes
R00351__pero,51.15,158.9636,dlkcat,2-Oxocarboxylic acid metabolism
R08310__mito,47.68,130.6363,dlkcat,Drug metabolism - cytochrome P450
R01330__cyto,147.8575,41.9897,dlkcat,
R01626__mito,227.86,3.681,dlkcat,Fatty acid biosynthesis
R05801__cyto,63.41,56.544,dlkcat,Inositol phosphate metabolism
R00227__cyto,43.78,1.3581,dlkcat,Pyruvate metabolism
R01220__mito,198.965,36.4672,dlkcat,Carbon fixation pathways in prokaryotes
R02439__mito,63.41,62.8842,dlkcat,Pentose and glucuronate interconversions
R02746__pero,232.64,13.7,default_13.7,Glycerophospholipid metabolism
R01288__cyto,66.65,15.0484,dlkcat,Cysteine and methionine metabolism
R07396__cyto,55.18,14.706,dlkcat,Cysteine and methionine metabolism
R04566__cyto,152.01,13.7,default_13.7,Fatty acid biosynthesis
R02853__cyto,63.41,249.8153,dlkcat,
R03036__cyto,83.995,21.1897,dlkcat,Pantothenate and CoA biosynthesis
R08162__cyto,43.78,13.7,default_13.7,Fatty acid biosynthesis
R05002__cyto,68.024815,31.4946,dlkcat,
R01960__cyto,52.89,12.2946,dlkcat,Tryptophan metabolism
R11216__cyto,38.9,13.7,default_13.7,
R02113__cyto,76.110741,31.9878,dlkcat,
R01051__cyto,34.47,59.2346,dlkcat,Pentose phosphate pathway
R00974__cyto,180.99,3.4366,dlkcat,Pyrimidine metabolism
R03661__cyto,67.285,18.7844,dlkcat,Aminoacyl-tRNA biosynthesis
R00344__mito,129.56,6.2501,dlkcat,Carbon fixation pathways in prokaryotes
R07024__cyto,32.915,43.3824,dlkcat,Metabolism of xenobiotics by cytochrome P450
R00278__cyto,30.735,1.4882,dlkcat,Vitamin B6 metabolism
R04430__cyto,103.506667,13.7,default_13.7,Fatty acid biosynthesis
R07084__cyto,32.915,43.3824,dlkcat,Metabolism of xenobiotics by cytochrome P450
R01965__cyto,40.48,242.1024,dlkcat,
R02558__cyto,114.54,0.6755,dlkcat,Cyanoamino acid metabolism
R02017__cyto,81.16,13.7,default_13.7,Purine metabolism
R00602__cyto,54.73,214.0214,dlkcat,
R04964__cyto,152.01,13.7,default_13.7,Fatty acid biosynthesis
R01736__cyto,29.17,91.3257,dlkcat,Pyruvate metabolism
R01626__cyto,227.86,3.681,dlkcat,Fatty acid biosynthesis
R05733__cyto,36.925,0.7121,dlkcat,
R04969__cyto,41.33,13.7,default_13.7,Fatty acid biosynthesis
R01209__mito,63.0,1.0432,dlkcat,
R00316__cyto,75.385,15.7793,dlkcat,Pyruvate metabolism
R00328__cyto,76.04,13.7,default_13.7,Purine metabolism
R03601__cyto,47.75,14.3325,dlkcat,
R08120__cyto,33.52,1.6614,dlkcat,Microbial metabolism in diverse environments
R00390__cyto,77.35,13.7,default_13.7,Fatty acid biosynthesis
R01600__cyto,176.006667,41.9897,dlkcat,Biosynthesis of antibiotics
R01710__cyto,30.735,1.0491,dlkcat,Microbial metabolism in diverse environments
R03217__cyto,66.65,3.436,dlkcat,Biosynthesis of antibiotics
R07134__cyto,29.94,1.8596,dlkcat,Pentose and glucuronate interconversions
R12188__cyto,43.97,13.7,default_13.7,
R02670__cyto,54.73,9.4337,dlkcat,Non enzymatic
R04533__cyto,152.01,13.7,default_13.7,Fatty acid biosynthesis
R02024__cyto,81.16,13.7,default_13.7,Pyrimidine metabolism
R04859__cyto,47.75,14.3325,dlkcat,
R00988__cyto,28.65,0.0905,dlkcat,Tryptophan metabolism
R10065__cyto,63.41,50.2,dlkcat,
R11216__mito,38.9,13.7,default_13.7,
R04371__cyto,72.8,1.2978,dlkcat,2-Oxocarboxylic acid metabolism
R07091__cyto,32.915,43.3824,dlkcat,Metabolism of xenobiotics by cytochrome P450
R01431__cyto,32.615,5.2893,dlkcat,Pentose and glucuronate interconversions
R01321__cyto,32.86,5.8683,dlkcat,Glycerophospholipid metabolism
R07406__cyto,45.3625,8.9805,dlkcat,Spontaneous
R09882__mito,83.995,15.6983,dlkcat,
R00227__mito,43.78,1.3581,dlkcat,Pyruvate metabolism
R10928__cyto,151.85,13.7,default_13.7,Inositol phosphate metabolism
R03648__cyto,58.905,3.6764,dlkcat,Aminoacyl-tRNA biosynthesis
R05616__cyto,43.61,0.372,dlkcat,Ubiquinone and other terpenoid-quinone biosynthesis
R01799__mito,47.69,81.3557,dlkcat,Glycerophospholipid metabolism
R09376__cyto,31.61,2.536,dlkcat,Riboflavin metabolism
R11101__cyto,88.56,18.5993,dlkcat,Spontaneous
R00772__cyto,48.58,14.2038,dlkcat,
R02059__cyto,44.15,4.1558,dlkcat,Biosynthesis of antibiotics
R01698__mito,51.85,12.9522,dlkcat,
R04751__cyto,79.816667,9.8367,dlkcat,Fatty acid metabolism
R00937__mito,23.39,183.8702,dlkcat,One carbon pool by folate
R11312__cyto,54.51,1.4094,dlkcat,
R02404__mito,33.78,1.7682,dlkcat,C5-Branched dibasic acid metabolism
R05510__cyto,33.52,6.176,dlkcat,Chlorocyclohexane and chlorobenzene degradation
R09477__cyto,35.8,5.2893,dlkcat,Pentose and glucuronate interconversions
R04430__mito,103.506667,13.7,default_13.7,Fatty acid biosynthesis
R05168__cyto,33.855,10.9925,dlkcat,Galactose metabolism
R04920__cyto,32.86,6.4647,dlkcat,Phosphonate and phosphinate metabolism
R02235__mito,23.39,414.7758,dlkcat,One carbon pool by folate
R05506__cyto,74.11,11.3507,dlkcat,Degradation of aromatic compounds
R04144__cyto,83.77,5.7075,dlkcat,Biosynthesis of antibiotics
R03758__cyto,45.3625,10.8687,dlkcat,"Glycine, serine and threonine metabolism"
R00708__cyto,64.57,1.9585,dlkcat,Arginine and proline metabolism
R01279__pero,79.816667,8.5951,dlkcat,Fatty acid metabolism
R10170__cyto,85.72,7.7968,dlkcat,2-Oxocarboxylic acid metabolism
R05234__cyto,47.68,47.8315,dlkcat,Microbial metabolism in diverse environments
R03158__cyto,52.45,0.1901,dlkcat,Propanoate metabolism
R00159__cyto,76.04,13.7,default_13.7,Pyrimidine metabolism
R00662__cyto,83.995,13.7,default_13.7,Pyrimidine metabolism
R12404__cyto,38.6,0.4204,dlkcat,Biosynthesis of antibiotics
R10115__cyto,44.99,13.7,default_13.7,Biotin metabolism
R02668__cyto,50.6,2.6602,dlkcat,Tryptophan metabolism
R10548__cyto,84.8,7.6003,dlkcat,
R12399__cyto,44.092,1.9477,dlkcat,Steroid biosynthesis
R03492__cyto,62.863333,13.7,default_13.7,
R00332__cyto,20.51,0.4507,dlkcat,Purine metabolism
R12024__mito,37.01,37.1049,dlkcat,
R01752__cyto,55.203333,20.514,dlkcat,Glycerolipid metabolism
R04582__cyto,75.48,0.8994,dlkcat,
R04967__mito,103.506667,13.7,default_13.7,Fatty acid biosynthesis
R02617__cyto,74.855455,32.8779,dlkcat,
R01086__cyto,51.86,3.1185,dlkcat,Biosynthesis of antibiotics
R10056__cyto,51.314286,16.0293,dlkcat,
R02396__cyto,85.22,11.196,dlkcat,
R00756__cyto,105.195,21.8188,dlkcat,Microbial metabolism in diverse environments
R04863__cyto,249.62,4.6107,dlkcat,Lysine biosynthesis
R10827__cyto,26.53,13.7,default_13.7,Fatty acid elongation
R07497__cyto,24.36,32.5409,dlkcat,Biosynthesis of antibiotics
