reaction,name,produces,lower_bound,upper_bound,has_gpr,reaction_string
R04889__mito,3-Methoxy-4-hydroxyphenylacetaldehyde + NADP+ + H2O <=> Homovanillate + NADPH + H+,NADPH,-999999.0,999999.0,False,C00001__mito + C00006__mito + C05581__mito <=> C00005__mito + C00080__mito + C05582__mito
T00485__mito,3 ATP (mito) + ADP (cyto) + H+ (cyto) <=> 3 ATP (cyto) + ADP (mito) + H+ (mito),ATP,-999999.0,999999.0,False,3.0 C00002__mito + C00008__cyto + C00080__cyto <=> 3.0 C00002__cyto + C00008__mito + C00080__mito
R04882__mito,"3,4-Dihydroxymandelaldehyde + NAD+ + H2O <=> 3,4-Dihydroxymandelate + NADH + H+",NADH,-999999.0,999999.0,False,C00001__mito + C00003__mito + C05577__mito <=> C00004__mito + C00080__mito + C05580__mito
R08282__mito,Aldophosphamide + NAD+ + H2O <=> Carboxyphosphamide + NADH + H+,NADH,-999999.0,999999.0,False,C00001__mito + C00003__mito + C07645__mito <=> C00004__mito + C00080__mito + C07646__mito
R00900__cyto,L-Cysteine + Glutathione + NADP+ <=> S-Glutathionyl-L-cysteine + NADPH,NADPH,-999999.0,999999.0,False,C00006__cyto + C00051__cyto + C00097__cyto <=> C00005__cyto + C00080__cyto + C05526__cyto
R08283__mito,Aldophosphamide + NADP+ + H2O <=> Carboxyphosphamide + NADPH + H+,NADPH,-999999.0,999999.0,False,C00001__mito + C00006__mito + C07645__mito <=> C00005__mito + C00080__mito + C07646__mito
R00711__mito,Acetaldehyde + NADP+ + H2O <=> Acetate + NADPH + H+,NADPH,-999999.0,999999.0,False,C00001__mito + C00006__mito + C00084__mito <=> C00005__mito + C00033__mito + C00080__mito
TO2903034_PLAS__plas,1.0 IDP (cyto) + 1.0 GTP (extr) => 1.0 IDP (extr) + 1.0 GTP (cyto),GTP,0.0,999999.0,False,C00044__extr + C00104__cyto --> C00044__cyto + C00104__extr
R02695__mito,4-Hydroxyphenylacetaldehyde + NAD+ + H2O => 4-Hydroxyphenylacetate + NADH + H+,NADH,0.0,999999.0,False,C00001__mito + C00003__mito + C03765__mito --> C00004__mito + C00080__mito + C00642__mito
R03300__mito,"3,4-Dihydroxyphenylacetaldehyde + NAD+ + H2O <=> 3,4-Dihydroxyphenylacetate + NADH + H+",NADH,-999999.0,999999.0,False,C00001__mito + C00003__mito + C04043__mito <=> C00004__mito + C00080__mito + C01161__mito
R00711__cyto,Acetaldehyde + NADP+ + H2O <=> Acetate + NADPH + H+,NADPH,-999999.0,999999.0,False,C00001__cyto + C00006__cyto + C00084__cyto <=> C00005__cyto + C00033__cyto + C00080__cyto
R07104__mito,Chloral hydrate + NAD+ <=> Trichloroacetate + NADH + H+,NADH,-999999.0,999999.0,False,C00003__mito + C06899__mito <=> C00004__mito + C00080__mito + C11150__mito
R02697__mito,4-Hydroxyphenylacetaldehyde + NADP+ + H2O <=> 4-Hydroxyphenylacetate + NADPH + H+,NADPH,-999999.0,999999.0,False,C00001__mito + C00006__mito + C03765__mito <=> C00005__mito + C00080__mito + C00642__mito
R12429__mito,ATP + Octanoic acid + Lipoyl-carrier protein E2 <=> [Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine + AMP + Diphosphate,ATP,-999999.0,999999.0,False,C00002__mito + C06423__mito + C22158__mito <=> C00013__mito + C00020__mito + C22160__mito
R03302__mito,"3,4-Dihydroxyphenylacetaldehyde + NADP+ + H2O <=> 3,4-Dihydroxyphenylacetate + NADPH + H+",NADPH,-999999.0,999999.0,False,C00001__mito + C00006__mito + C04043__mito <=> C00005__mito + C00080__mito + C01161__mito
