temp_C,growth,mu_pred,mu_measured
22.0,0.0056745453677404635,0.06640849387806784,0.2984
24.0,0.010347256889292118,0.12109265170276791,0.4086
26.0,0.017084292843251764,0.19993533986740586,0.4879
28.0,0.02558234339491956,0.29938696135662773,0.5949
30.0,0.03525625975560497,0.4125995931681037,0.6167
32.0,0.04456674044072309,0.5215589827774484,0.6033
34.0,0.05203646167340442,0.6089761950128867,0.5387
36.0,0.05675646396896649,0.6642137908441297,0.4686
38.0,0.05792761378920816,0.6779196105402701,0.153
40.0,0.055924073938399516,0.654472434547408,0.0
42.0,0.05141240686968116,0.6016729597883992,0.0
44.0,0.04507793627398707,0.5275414436027325,0.0
