temp_C,growth,mu_pred
15.0,0.00038535138605561427,0.0045097190177138535
15.5,0.0004838224968107202,0.005662114096432004
16.0,0.0006032652562759229,0.007059937753956638
16.5,0.0007474698715448341,0.00874754630929855
17.0,0.0009207757740144511,0.010775723584717766
17.5,0.00112812200842238,0.013202270602316506
18.0,0.0013750907429809312,0.01609251477769021
18.5,0.0016679443688291593,0.019519744090169208
19.0,0.0020136506789617207,0.023565501748670253
19.5,0.0024198915902046265,0.028319688263886623
20.0,0.002895049577591997,0.03388040269149792
20.5,0.0034481655759967247,0.040353449960225246
21.0,0.00408886015750165,0.047851418420476195
21.5,0.004827585240757889,0.056496625567446494
22.0,0.005674545367740448,0.06640849387806766
22.5,0.0066401046366048695,0.07770831309527254
23.0,0.0077344818277815825,0.09051567232685351
23.5,0.008967316065017635,0.10494337703102133
24.0,0.010347256889292151,0.1210926517027683
24.5,0.011881506169915599,0.1390477789168243
25.0,0.013575323316838262,0.15887030888925974
25.5,0.015262043942440712,0.17860978916130366
26.0,0.01708429284325186,0.199935339867407
26.5,0.019037359952145543,0.22279183968178187
27.0,0.02111307245489727,0.24708364318295029
27.5,0.023299792947369623,0.2726745592875156
28.0,0.025582343394919528,0.29938696135662735
28.5,0.027942150855114693,0.3270034925706848
29.0,0.030357556793573996,0.35527068581388443
29.5,0.03280432295997723,0.3839048838778173
30.0,0.03525625975560512,0.4125995931681054
30.5,0.037685971108804416,0.44103420088869827
31.0,0.0400656641210217,0.46888345022802264
31.5,0.042367972211245074,0.4958270735153108
32.0,0.04456674044072323,0.52155898277745
32.5,0.04664089862995724,0.5458325963421501
33.0,0.04857761813295164,0.5684977821717158
33.5,0.05035004785188143,0.589240305230567
34.0,0.05203646167340425,0.6089761950128847
34.5,0.05352914589504947,0.6264448915464514
35.0,0.0548173219171926,0.6415202542295468
35.5,0.055893562260766146,0.6541153602047048
36.0,0.05675646396896635,0.6642137908441281
36.5,0.05739601698564049,0.6716983997141098
37.0,0.05778897667111493,0.6762971577072191
37.5,0.05796027419295887,0.6783018311556632
38.0,0.05792761378920773,0.6779196105402651
38.5,0.05769850576703496,0.6752383880454426
39.0,0.05728175219834005,0.6703611732164493
39.5,0.056686850590227066,0.6633991141896562
40.0,0.05592407393839982,0.6544724345474116
40.5,0.0550041264200165,0.6437064039346316
41.0,0.05393834421724814,0.6312336882717593
41.5,0.05273753561108442,0.6171807755178151
42.0,0.05141240686968205,0.6016729597884095
42.5,0.049973683779126095,0.5848357636150244
43.0,0.048431782870101275,0.566791090351916
43.5,0.046796706763238084,0.5476559994158053
44.0,0.045077936273987214,0.5275414436027343
44.5,0.043284306800634935,0.5065508224724874
45.0,0.041423851032989234,0.484778141588043
45.5,0.03950358066197616,0.46230545789031185
46.0,0.037529163733657764,0.43919910381261146
46.5,0.03550458118481613,0.41550566775961384
47.0,0.03343089859721753,0.39123762010129864
47.5,0.0313056927265773,0.36636660191323844
48.0,0.029120078731708916,0.34078863501157797
48.5,0.026855305670213936,0.3142842794654014
49.0,0.02447721043655112,0.28645372872842784
49.5,0.021925788270264045,0.2565947546027686
50.0,0.019097971199161713,0.22350116551593555
50.5,0.01582056409937492,0.18514608062059845
51.0,0.011778157186117171,0.1378382987006823
51.5,0.006657385561194423,0.07791054959184489
52.0,0.000983315909552041,0.011507622959704226
52.5,0.0,0.0
53.0,0.0,0.0
53.5,0.0,0.0
54.0,0.0,0.0
54.5,0.0,0.0
55.0,0.0,0.0
55.5,0.0,0.0
56.0,0.0,0.0
56.5,0.0,0.0
57.0,0.0,0.0
57.5,0.0,0.0
58.0,0.0,0.0
58.5,0.0,0.0
59.0,0.0,0.0
59.5,0.0,0.0
60.0,0.0,0.0
60.5,0.0,0.0
61.0,0.0,0.0
61.5,0.0,0.0
62.0,0.0,0.0
62.5,0.0,0.0
63.0,0.0,0.0
63.5,0.0,0.0
64.0,0.0,0.0
64.5,0.0,0.0
65.0,0.0,0.0
65.5,0.0,0.0
66.0,0.0,0.0
66.5,0.0,0.0
67.0,0.0,0.0
67.5,0.0,0.0
68.0,0.0,0.0
68.5,0.0,0.0
69.0,0.0,0.0
69.5,0.0,0.0
70.0,0.0,0.0
70.5,0.0,0.0
71.0,0.0,0.0
71.5,0.0,0.0
72.0,0.0,0.0
72.5,0.0,0.0
73.0,0.0,0.0
73.5,0.0,0.0
74.0,0.0,0.0
74.5,0.0,0.0
75.0,0.0,0.0
