temp_C,growth,mu_pred
15.0,0.00038535133726234536,0.004513201683741401
15.5,0.00048382242845382154,0.005666486625536385
16.0,0.0006032651621658376,0.007065389638899359
16.5,0.0007474697430938102,0.00875430127489109
17.0,0.0009207756452433776,0.01078404507944225
17.5,0.001128121836100707,0.013212465814511817
18.0,0.0013750905130381602,0.016104941695104576
18.5,0.0016679440623740976,0.01953481725059742
19.0,0.0020136502705253847,0.02358369859558686
19.5,0.00241989104530513,0.028341555572977226
20.0,0.0028950488493581904,0.033906562863545375
20.5,0.0034481645997677386,0.04038460690975762
21.0,0.004088858846106059,0.04788836275988708
21.5,0.00482758109114665,0.05654021409072767
22.0,0.005674539919902363,0.0664597229710033
22.5,0.006640097467636915,0.07776824983675558
23.0,0.007734472372061258,0.09058547449304305
23.5,0.00896730356536207,0.1050242872837359
24.0,0.010347240331743557,0.12118598788074107
24.5,0.01188148420956039,0.1391549200812249
25.0,0.01357529413177005,0.1589926760551978
25.5,0.015262004074445027,0.17874727768015994
26.0,0.01708423833188794,0.20008912841120768
26.5,0.019037286043280515,0.22296305505203676
27.0,0.021112972618443127,0.24727331750628545
27.5,0.02329965858721682,0.27288359530159617
28.0,0.02558216294501762,0.2996160898193471
28.5,0.027941909805283636,0.32725324187548643
29.0,0.030357236007367904,0.3555413343976883
29.5,0.03280389767218291,0.38419642516144786
30.0,0.03525569803231613,0.412911699882339
30.5,0.037685231901012806,0.44136619137264277
31.0,0.040064694796619504,0.46923425593716583
31.5,0.04236670541166783,0.4961952060603351
32.0,0.04456509005517595,0.5219424977268939
32.5,0.046636766306874994,0.5462057916180213
33.0,0.04857232789919208,0.5688749223377715
33.5,0.05034345075745895,0.5896181607622979
34.0,0.05202804157067925,0.6093479433255413
34.5,0.053518422202588914,0.6268031529665318
35.0,0.05480368723495667,0.6418560663658878
35.5,0.05587624604965719,0.6544177828576683
36.0,0.0567346863062066,0.6644717612317269
36.5,0.05736843130839107,0.6718941281326478
37.0,0.05775442225009034,0.6764148208084853
37.5,0.05791633865256967,0.6783111717735205
38.0,0.0578716158502345,0.6777873821631493
38.5,0.05762688077044397,0.6749210659800312
39.0,0.05718973838312065,0.6698012919771212
39.5,0.05656804129050321,0.6625200291557393
40.0,0.055769653467180456,0.6531693797091908
40.5,0.054801830917143385,0.6418343253314852
41.0,0.05367045639157121,0.6285837642979362
41.5,0.052378975250969614,0.6134580483741447
42.0,0.05092682064732054,0.5964505386849284
42.5,0.04930693243948259,0.5774785474651084
43.0,0.04750169872365175,0.5563358056136956
43.5,0.04547620850731322,0.5326134385921499
44.0,0.04316689595654906,0.5055669688265644
44.5,0.04046237231517279,0.4738918207949177
45.0,0.037171092335298576,0.4353446330457807
45.5,0.03302794335467361,0.3868204289047218
46.0,0.0276909657946803,0.3243142072292702
46.5,0.020380599633312697,0.2386958281608492
47.0,0.010303922286894992,0.12067865066910495
47.5,0.002393791249584761,0.02803587701266051
48.0,0.0,0.0
48.5,0.0,0.0
49.0,0.0,0.0
49.5,0.0,0.0
50.0,0.0,0.0
50.5,0.0,0.0
51.0,0.0,0.0
51.5,0.0,0.0
52.0,0.0,0.0
52.5,0.0,0.0
53.0,0.0,0.0
53.5,0.0,0.0
54.0,0.0,0.0
54.5,0.0,0.0
55.0,0.0,0.0
55.5,0.0,0.0
56.0,0.0,0.0
56.5,0.0,0.0
57.0,0.0,0.0
57.5,0.0,0.0
58.0,0.0,0.0
58.5,0.0,0.0
59.0,0.0,0.0
59.5,0.0,0.0
60.0,0.0,0.0
60.5,0.0,0.0
61.0,0.0,0.0
61.5,0.0,0.0
62.0,0.0,0.0
62.5,0.0,0.0
63.0,0.0,0.0
63.5,0.0,0.0
64.0,0.0,0.0
64.5,0.0,0.0
65.0,0.0,0.0
65.5,0.0,0.0
66.0,0.0,0.0
66.5,0.0,0.0
67.0,0.0,0.0
67.5,0.0,0.0
68.0,0.0,0.0
68.5,0.0,0.0
69.0,0.0,0.0
69.5,0.0,0.0
70.0,0.0,0.0
70.5,0.0,0.0
71.0,0.0,0.0
71.5,0.0,0.0
72.0,0.0,0.0
72.5,0.0,0.0
73.0,0.0,0.0
73.5,0.0,0.0
74.0,0.0,0.0
74.5,0.0,0.0
75.0,0.0,0.0
