rxn_id,mw_kDa,kcat_s,source,group
R07054__cyto,65.45,2.6479,dlkcat,Arachidonic acid metabolism
R00894__cyto,88.97,1.139,dlkcat,Glutathione metabolism
TO0000182_CYTMEM__plas,48.805,14.3407,dlkcat,Transporters pathway
R01853__pero,77.175,0.1348,dlkcat,
R03936__cyto,52.61,8.5953,dlkcat,Tryptophan metabolism
R02354__cyto,65.45,1.6651,dlkcat,
R00658__cyto,47.35,20.1113,dlkcat,Biosynthesis of amino acids
R00763__cyto,76.29,26.5083,dlkcat,
R01220__cyto,104.285,11.9586,dlkcat,Carbon fixation pathways in prokaryotes
R08657__mito,72.15,41.9421,dlkcat,
TR0015529_CYTMEM__plas,78.363333,13.7,default_13.7,Transporters pathway
R06520__mito,50.2,7.6349,dlkcat,Sphingolipid metabolism
R04355__cyto,218.285,13.7,default_13.7,Fatty acid biosynthesis
TR0002803_CYTMEM__plas,78.363333,13.7,default_13.7,Transporters pathway
R04591__cyto,33.96,3.2144,dlkcat,Purine metabolism
R02485__cyto,16.66,13.8505,dlkcat,Pyrimidine metabolism
TO1002511_CYTMEM__plas,70.25,11.3569,dlkcat,Transporters pathway
R00527__cyto,31.75,8.4897,dlkcat,Carbon metabolism
TR0011839_CYTMEM__plas,78.363333,13.7,default_13.7,Transporters pathway
TR2901157_CYTMEM__plas,34.64,13.7,default_13.7,Transporters pathway
R01351__cyto,35.21,13.7,default_13.7,Glycerolipid metabolism
TR2900096_CYTMEM__plas,56.573333,19.507,dlkcat,Transporters pathway
R00489__cyto,69.25,20.0219,dlkcat,Pantothenate and CoA biosynthesis
TR0011423_CYTMEM__plas,108.486667,13.7,default_13.7,Transporters pathway
TO1000438_CYTMEM__plas,70.25,8.1265,dlkcat,Transporters pathway
R00848__mito,72.15,41.9421,dlkcat,Glycerophospholipid metabolism
R07895__cyto,42.503333,26.8076,dlkcat,alpha-Linolenic acid metabolism
TR0000517_CYTMEM__plas,66.735,13.7,default_13.7,Transporters pathway
R01072__cyto,58.83,7.2314,dlkcat,Purine metabolism
R02464__cyto,64.34,3.5483,dlkcat,Sphingolipid metabolism
TR1000009_CYTMEM__plas,61.41,13.7,default_13.7,Transporters pathway
R00548__cyto,40.026667,130.228,dlkcat,Riboflavin metabolism
R00768__cyto,79.08,0.0922,dlkcat,"Alanine, aspartate and glutamate metabolism"
R04891__cyto,53.566667,79.6718,dlkcat,Tyrosine metabolism
TR1000310_CYTMEM__plas,57.919091,2.7614,dlkcat,Transporters pathway
R00243__cyto,118.98,3.4985,dlkcat,D-Glutamine and D-glutamate metabolism
TO1000249_CYTMEM__plas,70.25,10.5184,dlkcat,Transporters pathway
