temp_C,growth,mu_pred,mu_measured
22.0,0.08734465333917286,0.16803238573232057,0.289
24.0,0.13816039794802312,0.2657909831158645,0.3675
26.0,0.1973368209241479,0.37963373309130705,0.4785
28.0,0.2562897734998104,0.49304657392984547,0.5453
30.0,0.3078796772863808,0.59229448758629,0.578
32.0,0.3536505303662829,0.680347795327454,0.8002
34.0,0.3841642002397814,0.7390495538241343,0.6742
36.0,0.39987391877881595,0.7692716840219235,0.6231
38.0,0.4017271256355694,0.772836856674067,0.4819
40.0,0.3807739269324736,0.7325273948787047,0.0
42.0,0.30884341676198673,0.5941485157050077,0.0
44.0,0.09371001130801455,0.18027796968800172,0.0
