temp_C,growth,mu_pred,mu_measured
22.0,0.01694869856578678,0.12842170556423727,0.289
24.0,0.027975871917334437,0.21197551967341624,0.3675
26.0,0.04133226486174258,0.3131780253082443,0.4785
28.0,0.055045618588201554,0.41708525262259105,0.5453
30.0,0.06664645641816734,0.5049857704302351,0.578
32.0,0.0771393520483877,0.5844913175912763,0.8002
34.0,0.08599298673226807,0.6515760475564305,0.6742
36.0,0.09119949605165598,0.6910262038169004,0.6231
38.0,0.09261055092732881,0.7017178845424302,0.4819
40.0,0.09073611027011935,0.6875150910215335,0.0
42.0,0.08605452239624245,0.6520423084253665,0.0
44.0,0.07927829778332568,0.6006982881928172,0.0
