rank,rxn_id,enzyme_id,group,thermal_screen,"CC[Topt_C,Topt_i]","CC[Topt_C,dCp_i]","CC[CT_max_C,Topt_i]","CC[CT_max_C,dCp_i]","CC[niche_width_C,Topt_i]","CC[niche_width_C,dCp_i]"
1,GAPDNo1,P0A9B2,default,0.003769456780714169,0.0,-0.0,0.16031828876207044,0.7067687799098299,0.16031828876207044,0.7067687799098299
2,ACOAD3f_REVNo1,Q47146,default,5.639109914059244e-05,0.0,-0.0,0.0014518700241268334,0.00799064100329638,0.0014518700241268334,0.00799064100329638
3,CSNo1,P0ABH7,default,4.0406054353630665e-05,0.0,-0.0,0.0010403149717035376,0.005725638622125338,0.0010403149717035376,0.005725638622125338
4,MTHFD_REVNo1,P24186,default,4.263564329632886e-05,0.0,-0.0,0.0010977186783520665,0.006041564451048474,0.0010977186783520665,0.006041564451048474
5,MTHFC_REVNo1,P24186,default,4.2635643296328866e-05,0.0,-0.0,0.0010977186783520665,0.006041564451048474,0.0010977186783520665,0.006041564451048474
6,CTPS2No1,P0A7E5,default,4.38883261497792e-05,0.0,-0.0,0.001129970630060484,0.006219065148952678,0.001129970630060484,0.006219065148952678
7,ACOAD6f_REVNo1,Q47146,default,4.4059467974139e-05,0.0,-0.0,0.001134376898093592,0.006243315303865398,0.001134376898093592,0.006243315303865398
8,AACPS4No1,P0A6A8,default,4.646640688359267e-05,0.0,-0.0,0.0011963466315734195,0.006584368710473716,0.0011963466315734195,0.006584368710473716
9,ANPRTNo1,P00904,default,4.657654042289245e-05,0.0,-0.0,0.001199182159716372,0.006599974146454505,0.001199182159716372,0.006599974146454505
10,UAMAGSNo1,P14900,default,4.973226726352486e-05,0.0,-0.0,0.0012804303172373466,0.007047125350601426,0.0012804303172373466,0.007047125350601426
11,PPCNo1,P00864,default,5.3765127695885595e-05,0.0,-0.0,0.0013842612508696561,0.007618558336208598,0.0013842612508696561,0.007618558336208598
12,ACOAD2f_REVNo1,Q47146,default,5.639109914059244e-05,0.0,-0.0,0.0014518700240984117,0.00799064100329638,0.0014518700240984117,0.00799064100329638
13,ACOAD4f_REVNo1,Q47146,default,5.639109914059246e-05,0.0,-0.0,0.0014518700240984117,0.00799064100329638,0.0014518700240984117,0.00799064100329638
14,3OAS140No1,P0A953,default,0.0026281903720964546,0.0,-0.0,0.06763725371607876,0.36912904582973677,0.06763725371607876,0.36912904582973677
15,ACOAD5f_REVNo1,Q47146,default,5.639109914059247e-05,0.0,-0.0,0.0014518700240984117,0.00799064100329638,0.0014518700240984117,0.00799064100329638
16,POXNo1,P07003,default,5.8154111374724336e-05,0.0,-0.0,-3.1971708835953905e-08,0.0009854821665427871,-3.1971708835953905e-08,0.0009854821665427871
17,DAPDCNo1,P00861,default,6.418930030080075e-05,0.0,-0.0,0.0016526436638599762,0.009095583534562897,0.0016526436638599762,0.009095583534562897
18,PGM_REVNo1,P62707,default,6.62676752899836e-05,0.0,-0.0,0.003362105944674454,0.018503484172043706,0.003362105944674454,0.018503484172043706
19,GLUTRRNo1,P0A6X1,default,6.983622611631572e-05,0.0,-0.0,0.0017980299059772165,0.009895697675254826,0.0017980299059772165,0.009895697675254826
20,UAAGDSNo1,P22188,default,7.229306842995404e-05,0.0,-0.0,0.0018612838910669893,0.01024380558977943,0.0018612838910669893,0.01024380558977943
21,ATPPRTNo1,P60757,default,7.422234472964794e-05,0.0,-0.0,0.001910955096775524,0.010517162014466544,0.001910955096775524,0.010517162014466544
22,PGLNo1,P52697,default,8.030404779774613e-05,0.0,-0.0,0.004062903755858827,0.02235986748253307,0.004062903755858827,0.02235986748253307
23,NADH16ppNo1,P0AFC3,default,8.045352719377842e-05,0.0,-0.0,0.001896118743069053,0.009898596741705073,0.001896118743069053,0.009898596741705073
24,PRAGSrNo1,P15640,default,8.405515571200496e-05,0.0,-0.0,0.0021641104198977246,0.011910343950008952,0.0021641104198977246,0.011910343950008952
25,AACPS3No1,P0A6A8,default,3.942360848870665e-05,0.0,-0.0,0.0010150205934778,0.005586428680302657,0.0010150205934778,0.005586428680302657
26,KARA2No1,P05793,default,3.830267278080916e-05,0.0,-0.0,0.0009861605988490396,0.005427594790271612,0.0009861605988490396,0.005427594790271612
27,BPNTNo1,P22255,default,3.736660477860059e-05,0.0,-0.0,0.000962060262736486,0.005294955956409879,0.000962060262736486,0.005294955956409879
28,ASAD_REVNo1,P0A9Q9,default,3.700382311125016e-05,0.0,-0.0,0.0009527199561460975,0.005243550508004929,0.0009527199561460975,0.005243550508004929
29,ACOAD7f_REVNo1,Q47146,default,2.0223342702921047e-05,0.0,-0.0,0.0005206823965195895,0.002865751702333158,0.0005206823965195895,0.002865751702333158
30,CYSSNo1,P16703,default,2.1333974545253138e-05,0.0,-0.0,0.00035566922480256835,0.0016175151096237408,0.00035566922480256835,0.0016175151096237408
31,TKT2_REVNo1,P27302,default,2.1737058477949624e-05,0.0,-0.0,0.00027747265443167635,0.0013981753093086746,0.00027747265443167635,0.0013981753093086746
32,SDPTA_REVNo2,P50457,default,2.2191602189306546e-05,0.0,-0.0,0.00030646296991676536,0.0014956539173101768,0.00030646296991676536,0.0014956539173101768
33,CATNo1,P21179,default,2.2358789976797622e-05,0.0,-0.0,0.0011763623954195168,0.006474602092056596,0.0011763623954195168,0.006474602092056596
34,GF6PTANo1,P17169,default,2.3298688707161443e-05,0.0,-0.0,0.0005998617865543565,0.0033015346335178806,0.0005998617865543565,0.0033015346335178806
35,SADT2No1,P21156,default,2.377485204988251e-05,0.0,-0.0,0.0006121213174026252,0.0033690077483066803,0.0006121213174026252,0.0033690077483066803
36,AACPS7No1,P0A6A8,default,2.40394185212109e-05,0.0,-0.0,0.0006189329723582659,0.003406497218800064,0.0006189329723582659,0.003406497218800064
37,PPM_REVNo1,P0A6K6,default,2.4116305902289184e-05,0.0,-0.0,0.0006209125515397318,0.003417392273959603,0.0006209125515397318,0.003417392273959603
