rxn_id,enzyme_id,group,u_sub_27C,u_opt_37C,u_supra_44.65C
SHK3DrNo1,P15770,default,5.212963061305533e-05,4.1694195240350895e-05,5.317665194363366e-05
OMPDCNo1,P08244,default,0.0003065986217382843,0.0002554747791678136,0.00025978069312062446
G5SDNo1,P07004,default,0.0003105104959146284,0.00014917292288672856,0.00013780128224642938
CSNo1,P0ABH7,default,0.0014730519863386052,0.0012041436092710208,0.0008665629600133019
ICDHyrNo1,P08200,default,0.0009765309922573247,0.0008655600640829265,0.0006296124301337825
PPANo1,P0A840,default,0.00019543165755795037,0.00018060159422753414,0.00016515522544902254
APRAURNo1,P25539,default,1.546627842337181e-06,9.165663717789093e-07,9.121555056688478e-07
DB4PSNo1,P0A7J0,default,0.00038386595174498897,0.00022596871292029352,0.00022183587275162274
ALARNo1,P29012,default,4.729137839541841e-05,2.892773159969668e-05,2.896277576038979e-05
RBFKNo1,P0AG40,default,1.8306379066155388e-06,1.3881343526411387e-06,1.5791704812184098e-06
RBFSbNo1,P0AFU8,default,0.00013131211019644688,9.793848764046586e-05,0.00011187460032079406
PYKNo1,P21599,default,0.0028907548941515078,0.0022472238837330486,0.0024612615946148684
SHCHD2No1,P0AEA8,default,4.1313887893112173e-07,3.5880770652407576e-07,4.461015955939008e-07
A5PISONo2,P17115,default,8.79412931921824e-06,6.337442281313164e-06,7.31088137430516e-06
PMDPHTNo2,P0ADP0,default,1.0381979856460721e-05,8.183783799159014e-06,9.434764284856623e-06
RBFSaNo1,P61714,default,1.9748902937742452e-07,1.0247297288449367e-07,9.298871113595495e-08
ACHBSNo1,P08142,default,0.00046314742482279523,0.0003109169037613158,0.0003117423938476313
DHAD2No1,P05791,default,0.0003565593281843723,0.0001860064408216303,0.00018716498349738257
ACLSNo2,P08142,default,0.002787690637653617,0.0018714130647175563,0.0018763817007538602
PSCVTNo1,P0A6D3,default,0.0003172585258863101,0.0002192346391543579,0.00023367719068718792
PFLNo2,P0A9N4,default,0.015055458833919599,0.005482754415154794,0.014941772707387243
ANSNo1,P00895,default,3.895909892293814e-05,2.8843851942943995e-05,3.7709755396139196e-05
ANPRTNo1,P00904,default,0.0011312152635702083,0.0008986138901183324,0.000956154414341397
POXNo1,P07003,default,0.0015814813750604148,0.001409464126412476,0.0012780623016956027
CHORMNo1,P0A9J8,default,4.8703313398803937e-08,4.686420508641427e-08,3.335238526563782e-06
CHORSNo1,P12008,default,0.0006704347355300364,0.00040188389091039755,0.00040734198902406087
IGPSNo1,P00909,default,0.000487164802654245,0.00036881650510040996,0.0007732492487554563
ACKrNo1,P0A6A3,default,0.0001391987558166677,0.00012988253447691357,0.0036918768823315487
LEUTAiNo2,P04693,default,2.6582751192226343e-05,2.0039408028827792e-05,2.140526729341629e-05
DMATTNo1,P22939,default,2.3516123592537778e-05,1.7923257825711113e-05,1.9627044148530928e-05
GRTTNo1,P22939,default,2.3516123592537788e-05,1.792325782571111e-05,1.9627044148530928e-05
UPP3SNo1,P09126,default,6.032653947964118e-08,4.6260558344907465e-06,7.01413813113518e-07
UPPDC1No1,P29680,default,6.39288662902811e-05,0.010235638459459162,0.0015173152552412994
MOATNo1,P0AC75,default,9.914134044612666e-05,7.797494890856987e-05,7.878177407216307e-05
ECOAH6No1,P77399,default,4.772549414538745e-06,3.3435692551557368e-06,3.538836632676022e-06
USHDNo1,P43341,default,3.71735082997599e-05,2.2572977317365816e-05,2.7126192109287426e-05
ENONo1,P0A6P9,default,0.03170093749282308,0.019199898780110303,0.0189627396515481
HCO3ENo1,P61517,default,4.872490004465102e-09,3.6870907911143706e-09,3.871416804757143e-09
IMPDNo1,P0ADG7,default,0.012148890294775287,0.005713873352942308,0.004986650336390349
ECOAH4No1,P77399,default,6.108319495519065e-06,4.279387700768272e-06,4.529307696423534e-06
