rxn_id,enzyme_id,group,u_sub_26.6C,u_opt_36.6C,u_supra_44.6C
SHK3DrNo1,P15770,default,6.605336563326902e-05,6.603905430948847e-05,6.684641482868604e-05
OMPDCNo1,P08244,default,0.00040257949858740104,0.0004024922744846404,0.0004074129441565289
G5SDNo1,P07004,default,0.00021543030606102103,0.00021538363027345702,0.0002180168030434561
CSNo1,P0ABH7,default,0.001236258834085891,0.0012359909824740686,0.0012511015913670613
ICDHyrNo1,P08200,default,0.0008968604402705205,0.0008966661237504819,0.0009076283162710682
PPANo1,P0A840,default,0.00024131927445946512,0.00024126319902835375,0.00024421659929089784
APRAURNo1,P25539,default,1.3959274168860466e-06,1.3956249709920685e-06,1.4126871853580358e-06
DB4PSNo1,P0A7J0,default,0.00033938078049921053,0.0003393072492236474,0.00034345545031098186
ALARNo1,P29012,default,4.428613255034087e-05,4.427653738170959e-05,4.4817840230191326e-05
RBFKNo1,P0AG40,default,2.2095870526354285e-06,2.2091083167622215e-06,2.2361157725190564e-06
RBFSbNo1,P0AFU8,default,0.00015193105231060724,0.00015189813446517825,0.00015375516524773373
PYKNo2,P0AD61,default,0.0024824243772416724,0.0033706356141691464,0.00286760280267046
SHCHD2No1,P0AEA8,default,5.686170507984562e-07,5.684938524929178e-07,5.754439746094204e-07
A5PISONo2,P17115,default,1.0073235537793264e-05,1.0113757700396491e-05,1.0194176708041054e-05
PMDPHTNo2,P0ADP0,default,1.3035670481246815e-05,1.3032846133100476e-05,1.3192179205482776e-05
GTHOrNo1,P06715,default,0.0,5.354183950318676e-05,7.361136195498726e-20
RBFSaNo1,P61714,default,1.4549374970630672e-07,1.4546222658650415e-07,1.4724057517137187e-07
ACHBSNo1,P08142,default,0.0004797244299165917,0.0004796204913575775,0.000485484092115782
DHAD2No1,P05791,default,0.0002813635581750788,0.000281302597087896,0.0002847416622473113
ACLSNo2,P08142,default,0.0028874678563610176,0.0028868422487632506,0.002922135341330569
PSCVTNo1,P0A6D3,default,0.00034056996965158124,0.0003404961807226011,0.00034465891709318364
PFLNo2,P0A9N4,default,0.007573728269348453,0.007572087322267738,0.007664659882791046
