rxn_id,enzyme_id,group,FCC_sub_29C,FCC_opt_39C,FCC_supra_43.95C
3OAS140No1,P0A953,default,0.09801361167739164,0.08472580886053627,
3OAS140No2,P0AAI5,default,,,0.09681824992248678
GAPDNo1,P0A9B2,default,0.08506049273525468,0.0506107133933259,4.834439580186922e-05
ATPS4rppNo2,P0A6E6,default,,,0.027124013296005167
GF6PTANo1,P17169,default,0.0006596716957005255,0.0007114775754046843,0.054879800447010796
ASNS2No1,P00963,default,0.006534176642619682,0.006276253983603097,0.03821998809680205
NADS1No1,P18843,default,3.507735928526268e-05,4.7555626317419275e-05,0.03292526180003058
PPM2No1,P0A6K6,default,0.029082118410059254,0.022116044543868396,
GLNSNo1,P0A9C5,default,0.02648725657761891,0.018068147108643573,0.012028803848333769
ACACT2rNo2,P21151,default,0.02300308183482286,0.01924304203590188,0.014197541304269978
ACACT4rNo2,P21151,default,0.02300308183483951,0.01924304203590188,0.014197541304265815
ACACT5rNo1,P21151,default,0.023003081834850614,0.019243042035893554,0.014197541304265815
ACACT3rNo2,P21151,default,0.023003081834854777,0.019243042035912983,0.01419754130427553
ENONo1,P0A6P9,default,0.020507572708598765,0.012739099409384003,2.0552087182101886e-05
R15BPKNo1,P16690,default,0.02036674945479211,0.0030210204306074795,0.004081719320261912
ACACT7rNo2,P21151,default,0.0179727931234816,0.015034989883710992,0.011092830184891711
ACACT6rNo2,P21151,default,0.017972793123477437,0.015034989883710992,0.011092830184891711
UAMAGSNo1,P14900,default,0.0015211100400272515,0.0014257784313659316,0.01719081280568413
GLUDyNo1,P00370,default,0.0021488234882016677,6.348573611258956e-08,0.016495681649038307
AACPS4No1,P0A6A8,default,0.01590348338366132,0.006344979928923911,0.008499075572318548
PPCDCNo1,P0ABQ0,default,6.792220242912705e-05,6.790704702164252e-05,0.015242797015700693
SUCOAS_REVNo1,P0A836,default,0.0009581781692663549,,0.014507578884842554
AACPS3No1,P0A6A8,default,0.01349304461362305,0.005383289072929953,0.007210895399131778
