rank,gene,enzyme_name,enzyme_id,rxn_id,EC,control_coeff,thermal_screen,"CC[Topt_C,Topt_i]","CC[Topt_C,dCp_i]","CC[CT_max_C,Topt_i]","CC[CT_max_C,dCp_i]","CC[niche_width_C,Topt_i]","CC[niche_width_C,dCp_i]"
1,aas;acpP,Acyl-[acyl-carrier-protein] synthetase  (n-C16:1),P0A6A8,AACPS4No1,,0.5162533438876071,0.0001524361856581,0.0,-0.0,0.0005412935364894,1.4042100815458975e-11,-0.5162533438876071,6.314060385648188e-11
2,aas;acpP,Acyl-[acyl-carrier-protein] synthetase  (n-C16:0),P0A6A8,AACPS3No1,,0.4557508436276833,0.0001293318099235,0.0,-0.0,0.0004593061011171,-8.881784197001249e-15,-0.4557508436276833,-8.881784197001249e-15
3,aas;acpP,Acyl-[acyl-carrier-protein] synthetase  (n-C12:0),P0A6A8,AACPS7No1,,0.2749671269198188,7.886293584078746e-05,0.0,-0.0,0.0002801455957737,-1.3322676295501873e-13,-0.2749671269198188,-1.287858708565181e-13
4,gdhA,Glutamate dehydrogenase (NADP),P00370,GLUDyNo1,,0.0546681874908294,0.000295651981972,0.0,-0.0,1.1082624240543737e-07,-3.2862601528904634e-13,-0.0546681874908294,-3.241851231905456e-13
5,acpP;lpxA,UDP-N-acetylglucosamine acyltransferase,P0A6A8,UAGAATNo1,,0.0461776470957904,6.659173213112136e-06,0.0,-0.0,2.3664363133946154e-05,-1.1546319456101625e-13,-0.0461776470957904,-1.1546319456101625e-13
6,glnA,Glutamine synthetase,P0A9C5,GLNSNo1,,0.0170325658746985,6.85661468552429e-05,0.0,-0.0,0.0001863423667955,-6.217248937900874e-14,-0.0170325658746985,-6.661338147750938e-14
7,sucC;sucD,Succinyl-CoA synthetase (ADP-forming),P0A836,SUCOAS_REVNo1,,0.0138214390986703,0.0005632779333465,0.0,-0.0,2.1427576172072804e-05,-3.4638958368304874e-13,-0.0138214390986703,-3.5527136788005e-13
8,,"Ribose-1,5-bisphosphokinase",P16690,R15BPKNo1,,0.0119060063390126,6.248782680034997e-05,0.0,-0.0,2.7737613635281377e-05,-5.3290705182007495e-14,-0.0119060063390126,-4.884981308350687e-14
9,,Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm),P26458,CYTBD2ppNo1,,0.0100477865989958,0.0001834838969973,0.0,-0.0,5.017671213636277e-06,1.6875389974302374e-13,-0.0100477865989958,1.6875389974302374e-13
10,adk,Adentylate kinase (GTP),P69441,ADK3No1,,0.0089847352210394,0.0001117922240763,0.0,-0.0,0.0007793089030698,-1.4308554341369011e-11,0.0089847352210394,-6.339817559819491e-11
11,fadA,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),P21151,ACACT2rNo2,,0.0082350948595095,0.0003144589820486,0.0,-0.0,0.0001019586533885,5.3290705182007495e-14,-0.0082350948595095,5.3290705182007495e-14
12,fadA,Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),P21151,ACACT5rNo1,,0.0082350948594669,0.0003144589820486,0.0,-0.0,0.0001019586534312,-1.7763568394002498e-14,-0.0082350948594669,-0.0
13,fadA,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),P21151,ACACT4rNo2,,0.0082350948594616,0.0003144589820486,0.0,-0.0,0.0001019586534347,-2.6645352591003748e-14,-0.0082350948594616,-1.7763568394002498e-14
14,fadA,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),P21151,ACACT3rNo2,,0.0082350948594314,0.0003144589820486,0.0,-0.0,0.0001019586534631,-2.575717417130362e-13,-0.0082350948594314,-2.353672812205331e-13
15,fadA,Acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r),P21151,ACACT6rNo2,,0.0064341642904857,0.0002456929490629,0.0,-0.0,7.966396062997205e-05,-1.77635683940025e-13,-0.0064341642904857,-1.6875389974302374e-13
