rxn_id,enzyme_id,group,u_sub_29C,u_opt_39C,u_supra_43.95C
SHK3DrNo1,P15770,default,1.3943228307581468e-07,1.4443699218612107e-07,1.1899393731138798e-07
DURIPPNo1,P07650,default,0.002119249713903792,0.0024469278169113057,0.0
PPANo1,P0A840,default,0.00016773275430277587,0.00012780028933340496,0.00011811297494781791
APRAURNo1,P25539,default,1.8014225285411484e-06,1.3699135299608924e-06,1.1121467155733285e-06
DB4PSNo1,P0A7J0,default,0.00048543050266454277,0.00034879422996259994,0.00027650488833804007
ALARNo1,P29012,default,5.629637612030286e-05,4.3244560478075926e-05,0.0016209891179557723
RBFKNo1,P0AG40,default,2.217778486917222e-06,2.064257916561498e-06,1.6329600482987163e-06
PPMNo1,P0A6K6,default,0.0,3.058062316200253e-05,2.246928701970869e-05
RBFSbNo1,P0AFU8,default,0.00023327182083544457,0.00017809581128249167,0.0006043616855103431
PYKNo1,P21599,default,0.0013627362097538957,0.0012501234618223715,0.0
SHCHD2No1,P0AEA8,default,5.067995075486106e-07,5.521657594681387e-07,1.1633577158573262e-05
A5PISONo1,P45395,default,0.0,0.0,7.395080934400341e-06
A5PISONo2,P17115,default,1.0311432181939824e-05,9.509383182469433e-06,0.0
PMDPHTNo2,P0ADP0,default,1.2668203247018057e-05,1.2147750347867398e-05,9.609875825946515e-06
RBFSaNo1,P61714,default,2.448849417733679e-07,1.5835234555330407e-07,1.0886468362530359e-07
PSCVTNo1,P0A6D3,default,1.015193818438549e-06,8.126985905527299e-07,7.482816363422008e-07
POXNo1,P07003,default,0.0022820859355068036,0.00013092265990194126,0.0
CHORSNo1,P12008,default,1.8008117437103347e-06,1.404039283000443e-06,1.0068572667409135e-06
ACKrNo1,P0A6A3,default,0.00022382910902131114,0.0,0.0
ACKrNo3,P11868,default,0.0,0.0018178166513045475,1.925566395557316e-05
DMATTNo1,P22939,default,3.8548839674768454e-05,3.4032057678021066e-05,3.9523053920816455e-05
GRTTNo1,P22939,default,3.8548839674768454e-05,3.4032057678021066e-05,3.9523053920816455e-05
UPP3SNo1,P09126,default,6.547188930509063e-08,4.805509717808232e-08,3.390469581620673e-08
UPPDC1No1,P29680,default,7.29058439521804e-05,5.338965336533579e-05,3.6857962244658577e-05
MOATNo1,P0AC75,default,0.0001500627861562539,0.00011818097510366278,8.400303622399698e-05
UDCPDPSNo1,P60472,default,1.7037615019171678e-06,1.229693741464853e-06,9.16845981513675e-07
ECOAH6No1,P77399,default,5.9538782343534545e-06,4.992377877836909e-06,3.650123722220435e-06
USHDNo1,P43341,default,3.688726140494191e-05,3.35370717723127e-05,2.563957263024454e-05
ENONo1,P0A6P9,default,0.020352132328430497,0.012672334173756003,2.0388523752108807e-05
ECOAH4No1,P77399,default,7.620285791501378e-06,6.389674882630115e-06,4.671742491670054e-06
LPADSSNo1,P10441,default,1.5913686556200724e-06,1.3749703479280625e-06,1.0486859690604524e-06
GLUTRSNo1,P04805,default,0.00021802686844549324,0.00016592648500080866,0.00011587055380215997
TDSKNo1,P27300,default,0.0007548185846179802,0.0005564457423737246,0.0003874306244809817
URIK1No1,P0A8F4,default,6.874173228172592e-05,5.228578827565753e-05,4.303606475046214e-05
RPENo1,P0AG07,default,7.5767271827182276e-06,0.0,3.3415635045426614e-08
DHQTiNo1,P05194,default,1.9553815570423843e-07,1.4984283469512694e-07,1.0498038498075655e-07
TALANo1,P0A870,default,0.00022257165336127854,0.0,0.0
TALANo2,P0A867,default,0.0,0.0,3.2679019229441293e-06
TKT1No2,P33570,default,6.018151772075889e-05,0.0,9.980580220121803e-07
PUNP5No1,P45563,default,7.5170653106175515e-06,0.0,0.0
PUNP5No2,P0ABP8,default,0.0,2.5789963235748365e-06,2.8022798595747e-06
ALDD2yNo4,P0AFP4,default,0.0,0.0025083890451383655,0.0
TMDSNo1,P0A884,default,4.869545041144878e-05,3.3640541496215614e-05,2.7258774554160006e-05
PPCDCNo1,P0ABQ0,default,6.740688074955552e-05,6.755084120973612e-05,0.015121579087701703
FMNATNo1,P0AG40,default,2.217778486917222e-06,2.064257916561498e-06,1.6329600482987163e-06
SERD_LNo5,P0AGF6,default,0.0,0.0,7.14883534024557e-05
THRDNo2,P37686,default,6.702001158786008e-07,6.426660144342044e-07,2.1174735020511564e-07
ACCOACNo1,P0A9Q5,default,0.00021888346314109848,0.0001646156451543171,0.00011445868920186751
NADKNo1,P0A7B3,default,2.652149510595818e-07,2.1626167746983494e-07,1.5699038996970212e-07
GLUTRRNo1,P0A6X1,default,0.00215979374197976,0.0019970784134320514,0.0016550431847435073
HACD6No2,P77399,default,5.9538782343534545e-06,4.992377877836909e-06,3.650123722220435e-06
ECOAH1No1,P77399,default,7.620285791501378e-06,6.389674882630115e-06,4.671742491670054e-06
ECOAH2No1,P77399,default,7.620285791501378e-06,6.389674882630115e-06,4.671742491670054e-06
G1SATNo1,P23893,default,0.00043488802966323587,0.0003265228355332896,0.0002553873735784253
KDOCT2No1,P04951,default,0.00015086184300763892,0.00010069848492470024,7.057507436825356e-05
ECOAH3No1,P77399,default,7.620285791501378e-06,6.389674882630115e-06,4.671742491670054e-06
DXPSNo1,P77488,default,0.00012882465149835506,0.00011483371756151133,0.00015799291525139944
CDPMEKNo1,P62615,default,0.00018711590578318973,0.0001788935915262842,0.00015271563224879408
MECDPSNo1,P62617,default,3.8119089911956554e-05,2.8942055354208866e-05,2.1431172032624483e-05
XYLI2No1,P00944,default,0.0,0.0,0.00011732787108653134
UAGDPNo1,P0ACC7,default,2.9195348573531022e-05,3.8970810648155626e-05,0.004523800581324104
UAGCVTNo1,P0A749,default,0.000531443506727032,0.00047762064478449,0.00042264703968598123
GLYCLNo1,P0A6T9,default,3.3108304516708206e-06,1.7899448889188889e-06,1.1466453576676488e-06
NNDPRNo1,P30011,default,0.0,0.0,0.0008120594972383302
HACD4No2,P77399,default,7.620285791501378e-06,6.389674882630115e-06,4.671742491670054e-06
HACD5No2,P77399,default,7.620285791501378e-06,6.389674882630115e-06,4.671742491670054e-06
HACD7No1,P77399,default,5.9538782343534545e-06,4.992377877836909e-06,3.650123722220435e-06
PYDXKNo1,P40191,default,9.736449745265403e-06,6.235177102498008e-06,4.013889341681854e-06
HPPK2No1,P26281,default,3.435369501603324e-06,4.449165204190948e-06,4.23820801949505e-06
PTPATiNo1,P0A6I6,default,3.6962170923310993e-06,4.7201304630662846e-06,4.207626442305659e-06
HEX7No1,P23917,default,0.0,0.0,1.4851807910288272e-06
DXPRIiNo1,P45568,default,5.935329097532486e-06,5.014654015829543e-06,3.6789372714773965e-06
GTPCII2No1,P0A7I7,default,0.00018601526154349605,0.00012899193250306328,8.621292864946892e-05
OPHBDCNo1,P0AAB4,default,9.06801450097169e-08,5.1999374976057765e-08,3.1774506630843054e-08
LCARSNo1,P0A9S1,default,7.277327806535735e-07,4.5744702447450967e-07,1.2157891760478846e-07
SDPDSNo1,P0AED7,default,2.4492932214619387e-05,1.898765028578086e-05,1.337561122219497e-05
ADCSNo1,P00903,default,4.267184884906191e-05,3.8882244289526736e-05,4.017460899062681e-05
ADCLNo1,P28305,default,1.1208030513091687e-07,1.0118850414205851e-07,8.156547776447733e-08
UMPKNo2,P0A7E9,default,6.288385994093117e-05,4.432880558333324e-05,2.9861970266789467e-05
UAPGRNo1,P08373,default,0.00013517142497945222,0.00010065951762204657,7.070647285516123e-05
CTPS2No1,P0A7E5,default,0.001635129130555665,0.0012980347147209417,0.006453288436303174
PAPPT3No1,P0A6W3,default,0.0006463659964780297,0.00042570654616257234,0.0002783841807327595
UAGPT3No1,P17443,default,0.00020214664539285602,0.00014614984224338404,0.00010240094108624974
F6PANo1,P78055,default,0.0,0.0,0.0002729186505682256
ADPTNo1,P69503,default,0.0011375693654119487,0.0,0.0005798171165064035
NDPK2No2,P0A763,default,0.0,0.0,6.305664944474142e-05
NDPK3No1,P0A763,default,0.0,0.0,2.6837288862819644e-05
NDPK4No2,P0A763,default,0.0,0.0,3.879629069046033e-06
HBZOPTNo1,P0AGK1,default,0.013171888699186512,0.007918661577136344,0.00503628154389728
PNTKNo1,P0A6I3,default,5.6459926678461826e-05,4.1680857107916156e-05,3.237763380263859e-05
OCTDPSNo1,P0AD57,default,1.0995531164158834e-05,7.740411226792385e-06,5.220227601835168e-06
DPCOAKNo1,P0A6I9,default,0.0009834821282342962,0.0006593886785652201,0.000516659233647587
ASNS2No1,P00963,default,0.006484618970948212,0.006243347419392752,0.03791638695938774
KDOPSNo1,P0A715,default,2.581613708057495e-05,2.310350147357968e-05,0.003190588097739369
KDOPPNo1,P0ABZ4,default,7.565880695270084e-05,6.224794627806555e-05,4.509761314045996e-05
DMPPSNo1,P62623,default,3.182673074569033e-05,2.260770447278818e-05,1.5568013263737796e-05
MCOATANo1,P0A6A8,default,9.16400903616993e-06,3.664757980012925e-06,4.895545032041559e-06
IPDPSNo1,P62623,default,0.0002416770813099001,0.00017167217317286268,0.00011821610071852687
DAPENo1,P0A6K1,default,1.459649382375825e-05,1.2112719495502489e-05,9.75065903440183e-06
DHDPRyNo1,P04036,default,0.00015126840996170117,9.142965890328288e-05,5.734667142756725e-05
DTMPKNo1,P0A720,default,4.690594379789164e-05,3.2611188865306596e-05,2.2577214258888915e-05
NDPK1No2,P0A763,default,0.0,0.0,0.00015599664368727117
DDPANo1,P00888,default,0.0,0.0,3.856152314510674e-07
DDPANo2,P0AB91,default,3.8857801210843344e-07,0.0,0.0
DDPANo3,P00887,default,0.0,5.183748034363361e-07,0.0
RHCCENo1,P45578,default,8.891494348653073e-05,8.049722249519723e-05,0.0003149893879219844
AACPS3No1,P0A6A8,default,0.01339074527537789,0.005355062441838421,0.0071535281392093334
U23GAATNo1,P21645,default,0.000170247805294079,0.00012067458963784692,9.771473336253863e-05
UAAGDSNo1,P22188,default,0.0027023516768213554,0.002137265506436247,0.0015351341537617215
AACPS4No1,P0A6A8,default,0.015782924047109924,0.0063117132055729944,0.00843146434109272
UAMASNo1,P17952,default,0.0034738304055975727,0.002788094010062003,0.0027590022214288076
UAMAGSNo1,P14900,default,0.0015095703461744578,0.0014183002929556258,0.017054116480257828
DHPPDA2No1,P25539,default,4.094260022792694e-08,3.113529508784306e-08,2.527678967543269e-08
AKGDHNo1,P0A9P0,default,0.0009007660898959644,5.912671767268088e-06,0.004814984319384408
UGMDDSNo1,P11880,default,5.757003803776123e-05,5.121099967245079e-05,4.1903050440206125e-05
DCYTDNo1,P0ABF6,default,0.0008703073407603781,0.0006372521206804798,0.0
UHGADANo1,P0A725,default,0.0009444655109352882,0.0007516119054150381,0.0005689116667577293
UAGAATNo1,P0A6A8,default,0.0006894768757518782,0.00027572712690188817,0.00036832843360064667
