cog,cog_category,contrib
I,lipid metab,0.27583857630532765
G,carbohydrate/glycolysis,0.15163662753835322
S,unknown/other,0.037791743959255865
E,amino-acid metab,0.034493307296587235
H,coenzyme metab,0.015268198268712768
M,cell wall/membrane,0.010401364717693517
F,nucleotide metab,0.009076845743914508
C,energy (ETC/TCA),0.0017472201871553885
D,cell cycle,0.0015536731058058777
P,inorganic ion,0.0004464373559464286
J,translation/ribosome,0.00018953908546007024
L,replication/repair,0.00013301554941360633
T,signal transduction,0.00011355936262357294
O,chaperone/PTM (stress),0.00010349696175059104
V,defence,6.0521252654065176e-05
K,transcription,1.8844363172747498e-05
