temp_C,growth,status,o2_uptake,o2_release,co2_uptake,co2_release,glc__D_uptake,glc__D_release,pyr_uptake,pyr_release,lac__D_uptake,lac__D_release,ac_uptake,ac_release,RQ,medium
5.0,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
5.5,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
6.0,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
6.5,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
7.0,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
7.5,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
8.0,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
8.5,0.0004665614104887709,optimal,1.4017630951692275,-1.4017630951692275,0.0,-0.0,1.4060886423820393,-1.4060886423820393,-2.8055173552319803,2.8055173552319803,0.0,-0.0,-0.0004151888934537425,0.0004151888934537425,-0.0,glucose_minimal
9.0,0.001672163175180387,optimal,1.433703430636271,-1.433703430636271,0.0,-0.0,1.4492062574864186,-1.4492062574864186,-2.874543226466521,2.874543226466521,0.0,-0.0,-0.0014880432945571015,0.0014880432945571015,-0.0,glucose_minimal
9.5,0.003125550461042149,optimal,1.4722084153115682,-1.4722084153115682,0.0,-0.0,1.5011857713065704,-1.5011857713065704,-2.95775588141272,2.95775588141272,0.0,-0.0,-0.0027813998504385637,0.0027813998504385637,-0.0,glucose_minimal
10.0,0.004857892387536347,optimal,1.5181038211548092,-1.5181038211548092,0.0,-0.0,1.563141928474989,-1.563141928474989,-3.0569398858281183,3.0569398858281183,0.0,-0.0,-0.004322995686216681,0.004322995686216681,-0.0,glucose_minimal
10.5,0.006902562847440508,optimal,1.5722738317848108,-1.5722738317848108,0.0,-0.0,1.6362683260031095,-1.6362683260031095,-3.174006038197688,3.174006038197688,0.0,-0.0,-0.00614252993538617,0.00614252993538617,-0.0,glucose_minimal
11.0,0.009295096856289198,optimal,1.6356598860334008,-1.6356598860334008,0.0,-0.0,1.721835852145595,-1.721835852145595,-3.3109888705521957,3.3109888705521957,0.0,-0.0,-0.008271624895561385,0.008271624895561385,-0.0,glucose_minimal
11.5,0.012073117249610752,optimal,1.709258735915373,-1.709258735915373,0.0,-0.0,1.8211900647715158,-1.8211900647715158,-3.4700424515706247,3.4700424515706247,0.0,-0.0,-0.010743760796999773,0.010743760796999773,-0.0,glucose_minimal
12.0,0.015276229643779494,optimal,1.7941196943502373,-1.7941196943502373,0.0,-0.0,1.9357474652554663,-1.9357474652554663,-3.653434433743449,3.653434433743449,0.0,-0.0,-0.013594182329181633,0.013594182329181633,-0.0,glucose_minimal
12.5,0.018945885237365904,optimal,1.8913408854505442,-1.8913408854505442,0.0,-0.0,2.06699047678063,-2.06699047678063,-3.8635379684204834,3.8635379684204834,0.0,-0.0,-0.016859776548945816,0.016859776548945816,-0.0,glucose_minimal
13.0,0.023125207461519113,optimal,2.002064814239473,-2.002064814239473,0.0,-0.0,2.2164614069111197,-2.2164614069111197,-4.1028221054342024,4.1028221054342024,0.0,-0.0,-0.020578918618184637,0.020578918618184637,-0.0,glucose_minimal
13.5,0.027858785153766732,optimal,2.1274727850066677,-2.1274727850066677,0.0,-0.0,2.3857549484371128,-2.3857549484371128,-4.373839747129999,4.373839747129999,0.0,-0.0,-0.02479128775103411,0.02479128775103411,-0.0,glucose_minimal
14.0,0.03319242930066164,optimal,2.268778480770751,-2.268778480770751,0.0,-0.0,2.57650950356906,-2.57650950356906,-4.679213769131038,4.679213769131038,0.0,-0.0,-0.029537650741285348,0.029537650741285348,-0.0,glucose_minimal
14.5,0.039172894346468166,optimal,2.427220579834013,-2.427220579834013,0.0,-0.0,2.7903972167115207,-2.7903972167115207,-5.021621064064238,5.021621064064238,0.0,-0.0,-0.03485961395746061,0.03485961395746061,-0.0,glucose_minimal
15.0,0.04584756442000629,optimal,2.6040544429041805,-2.6040544429041805,0.0,-0.0,3.0291127525560944,-3.0291127525560944,-5.403774576700231,5.403774576700231,0.0,-0.0,-0.04079934411880378,0.04079934411880378,-0.0,glucose_minimal
15.5,0.05326410548958698,optimal,2.8005428975398625,-2.8005428975398625,0.0,-0.0,3.2943608556132387,-3.2943608556132387,-5.82840338833032,5.82840338833032,0.0,-0.0,-0.04739925875106478,0.04739925875106478,-0.0,glucose_minimal
16.0,0.0614707759029181,optimal,3.0139078380665367,-3.0139078380665367,0.0,-0.0,3.5932762928877247,-3.5932762928877247,-6.309088169316437,6.309088169316437,0.0,-0.0,-0.03577137512022802,0.03577137512022802,-0.0,glucose_minimal
16.5,0.07051732047012642,optimal,3.2647079252653977,-3.2647079252653977,0.0,-0.0,3.9498588956538123,-3.9498588956538123,-6.893118500055859,6.893118500055859,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
17.0,0.0804479963086855,optimal,3.5287998047401388,-3.5287998047401388,0.0,-0.0,4.310437881303893,-4.310437881303893,-7.472521067235425,7.472521067235425,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
17.5,0.09130764595137005,optimal,3.817596391316651,-3.817596391316651,0.0,-0.0,4.704747545251451,-4.704747545251451,-8.10612435707505,8.10612435707505,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
18.0,0.10313935220537952,optimal,4.13224340958724,-4.13224340958724,0.0,-0.0,5.134352207505681,-5.134352207505681,-8.796442024183818,8.796442024183818,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
18.5,0.11598382379046329,optimal,4.473823448741644,-4.473823448741644,0.0,-0.0,5.600729985881829,-5.600729985881829,-9.54584920768749,9.54584920768749,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
19.0,0.12987888065569064,optimal,4.84334227531515,-4.84334227531515,0.0,-0.0,6.105254108052825,-6.105254108052825,-10.356552502176129,10.356552502176129,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
19.5,0.1448590236976252,optimal,5.241717390469343,-5.241717390469343,0.0,-0.0,6.649177288183291,-6.649177288183291,-11.2305648530287,11.2305648530287,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
20.0,0.16095466095985622,optimal,5.669757451894116,-5.669757451894116,0.0,-0.0,7.233603630534743,-7.233603630534743,-12.169660409236185,12.169660409236185,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
20.5,0.17819180745680518,optimal,6.128154291058398,-6.128154291058398,0.0,-0.0,7.859477730184476,-7.859477730184476,-13.17535700970354,13.17535700970354,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
21.0,0.1965915124787125,optimal,6.617467683219376,-6.617467683219376,0.0,-0.0,8.52756387869205,-8.52756387869205,-14.24888276951595,14.24888276951595,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
21.5,0.21616935976668777,optimal,7.138112055304831,-7.138112055304831,0.0,-0.0,9.238427915649133,-9.238427915649133,-15.391146917788477,15.391146917788477,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
22.0,0.23693499295890375,optimal,7.690343865845037,-7.690343865845037,0.0,-0.0,9.992419997815142,-9.992419997815142,-16.602712109954158,16.602712109954158,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
22.5,0.2588963924013698,optimal,8.274375340534473,-8.274375340534473,-0.20006728748704714,0.20006728748704714,10.789829888456552,-10.789829888456552,-17.68397666963241,17.68397666963241,0.0,-0.0,0.0,-0.0,0.024179140932483256,glucose_minimal
23.0,0.2820482483359997,optimal,8.890065274080019,-8.890065274080019,-0.21795834025209052,0.21795834025209052,11.630464792317929,-11.630464792317929,-19.016874322648164,19.016874322648164,0.0,-0.0,0.0,-0.0,0.02451706860776067,glucose_minimal
23.5,0.3063782842976554,optimal,9.537087191747808,-9.537087191747808,-0.23675985484316486,0.23675985484316486,12.513878955714556,-12.513878955714556,-20.417602105450797,20.417602105450797,0.0,-0.0,0.0,-0.0,0.024825174613903808,glucose_minimal
24.0,0.33186839718755723,optimal,10.214959667957258,-10.214959667957258,-0.256457841734057,0.256457841734057,13.439415062155462,-13.439415062155462,-21.88511778721678,21.88511778721678,0.0,-0.0,0.0,-0.0,0.025106104191338654,glucose_minimal
24.5,0.35849271089513723,optimal,10.922994565185373,-10.922994565185373,-0.2770323046505654,0.2770323046505654,14.406133560108334,-14.406133560108334,-23.41793162962272,23.41793162962272,0.0,-0.0,0.0,-0.0,0.025362303624460687,glucose_minimal
25.0,0.38621735813549596,optimal,11.660291232251176,-11.660291232251176,-0.2984570719810997,0.2984570719810997,15.412804741602196,-15.412804741602196,-25.014093826800572,25.014093826800572,0.0,-0.0,0.0,-0.0,0.02559602209210675,glucose_minimal
25.5,0.4144303931816451,optimal,12.481831744108794,-12.481831744108794,-0.3202592506098384,0.3202592506098384,16.508464976254132,-16.508464976254132,-26.78088522864644,26.78088522864644,0.0,-0.0,0.0,-0.0,0.025658032985502722,glucose_minimal
26.0,0.4436737484782371,optimal,13.32830528970598,-13.32830528970598,-0.3428576295093507,0.3428576295093507,17.639068904646603,-17.639068904646603,-28.602060514206787,28.602060514206787,0.0,-0.0,0.0,-0.0,0.02572402282637946,glucose_minimal
26.5,0.4738887518272002,optimal,14.19824441179087,-14.19824441179087,-0.36620686858282125,0.36620686858282125,18.802579006553408,-18.802579006553408,-30.474427499251334,30.474427499251334,0.0,-0.0,0.0,-0.0,0.025792404889065465,glucose_minimal
27.0,0.5050253794030068,optimal,21.12599823418947,-21.12599823418947,-0.39026831093359327,0.39026831093359327,26.032858370988503,-26.032858370988503,-44.466465083660346,44.466465083660346,0.0,-0.0,0.0,-0.0,0.018473366636091004,glucose_minimal
27.5,0.5370038839151848,optimal,22.403255514926823,-22.403255514926823,-0.4149803302718742,0.4149803302718742,27.62082092600486,-27.62082092600486,-47.1612011023014,47.1612011023014,0.0,-0.0,0.0,-0.0,0.01852321552085952,glucose_minimal
28.0,0.5697325285366056,optimal,23.705476041046715,-23.705476041046715,-0.44027203515736996,0.44027203515736996,29.241035137539438,-29.241035137539438,-49.909152875567706,49.909152875567706,0.0,-0.0,0.0,-0.0,0.018572587801865957,glucose_minimal
28.5,0.6031273538939301,optimal,25.029644258602822,-25.029644258602822,-0.4660785443302957,0.4660785443302957,30.88966969679688,-30.88966969679688,-52.7039211449652,52.7039211449652,0.0,-0.0,0.0,-0.0,0.018621061470743917,glucose_minimal
29.0,0.6372007823699843,optimal,26.376328473978045,-26.376328473978045,-0.4924094574317832,0.4924094574317832,32.56741360685682,-32.56741360685682,-55.546696993743666,55.546696993743666,0.0,-0.0,0.0,-0.0,0.01866861257500554,glucose_minimal
29.5,0.6717446940380436,optimal,27.73788201408357,-27.73788201408357,-0.5191039456882998,0.5191039456882998,34.26459808759644,-34.26459808759644,-58.42127449773502,58.42127449773502,0.0,-0.0,0.0,-0.0,0.018714620872088614,glucose_minimal
30.0,0.7066475027915946,optimal,29.110248097105483,-29.110248097105483,-0.5460757787379282,0.5460757787379282,35.97608217917779,-35.97608217917779,-61.31905080318682,61.31905080318682,0.0,-0.0,0.0,-0.0,0.018758884394126003,glucose_minimal
30.5,0.7418133668087753,optimal,30.489952224193484,-30.489952224193484,-0.5732508929247202,0.5732508929247202,37.697460177242284,-37.697460177242284,-64.23265665885235,64.23265665885235,0.0,-0.0,0.0,-0.0,0.01880130505648517,glucose_minimal
31.0,0.776911567347131,optimal,31.722714593534324,-31.722714593534324,-0.955516633115091,0.955516633115091,39.09366753755932,-39.09366753755932,-66.14179647515635,66.14179647515635,0.0,-0.0,-0.3551429142897493,0.3551429142897493,0.030120897450240373,glucose_minimal
