temp_C,growth,status,o2_uptake,o2_release,co2_uptake,co2_release,glc__D_uptake,glc__D_release,pyr_uptake,pyr_release,lac__D_uptake,lac__D_release,ac_uptake,ac_release,RQ,medium
5.0,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
5.5,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
6.0,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
6.5,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
7.0,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
7.5,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
8.0,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
8.5,0.0004674736033028874,optimal,1.4017826267992868,-1.4017826267992868,0.0,-0.0,1.4061091264248304,-1.4061091264248304,-2.805552854571533,2.805552854571533,0.0,-0.0,-0.0004173041747052173,0.0004173041747052173,-0.0,glucose_minimal
9.0,0.0016732790313833124,optimal,1.433724904388522,-1.433724904388522,0.0,-0.0,1.449232165060422,-1.449232165060422,-2.8745885835298783,2.8745885835298783,0.0,-0.0,-0.0014874265907440774,0.0014874265907440774,-0.0,glucose_minimal
9.5,0.0031255504621182863,optimal,1.472208415340077,-1.472208415340077,0.0,-0.0,1.501185771345056,-1.501185771345056,-2.9577558814743306,2.9577558814743306,0.0,-0.0,-0.002781399851395482,0.002781399851395482,-0.0,glucose_minimal
10.0,0.004857892382889487,optimal,1.5181038210316982,-1.5181038210316982,0.0,-0.0,1.563141928308796,-1.563141928308796,-3.0569398855620644,3.0569398855620644,0.0,-0.0,-0.0043229956820805245,0.0043229956820805245,-0.0,glucose_minimal
10.5,0.006902562830968825,optimal,1.57227383134842,-1.57227383134842,0.0,-0.0,1.636268325414007,-1.636268325414007,-3.174006037254611,3.174006037254611,0.0,-0.0,-0.00614252992072659,0.00614252992072659,-0.0,glucose_minimal
11.0,0.009295096819614398,optimal,1.6356598850617636,-1.6356598850617636,0.0,-0.0,1.721835850833941,-1.721835850833941,-3.310988868452404,3.310988868452404,0.0,-0.0,-0.0082716248629232,0.0082716248629232,-0.0,glucose_minimal
11.5,0.012073117181586367,optimal,1.7092587341131826,-1.7092587341131826,0.0,-0.0,1.8211900623386628,-1.8211900623386628,-3.4700424476759353,3.4700424476759353,0.0,-0.0,-0.01074376073646309,0.01074376073646309,-0.0,glucose_minimal
12.0,0.015276229529941858,optimal,1.794119691334299,-1.794119691334299,0.0,-0.0,1.9357474611841234,-1.9357474611841234,-3.6534344272257453,3.6534344272257453,0.0,-0.0,-0.01359418222787349,0.01359418222787349,-0.0,glucose_minimal
12.5,0.018945885237365987,optimal,1.8913408854505438,-1.8913408854505438,0.0,-0.0,2.06699047678063,-2.06699047678063,-3.8635379684204865,3.8635379684204865,0.0,-0.0,-0.016859776548943325,0.016859776548943325,-0.0,glucose_minimal
13.0,0.023125207461519214,optimal,2.0020648142394717,-2.0020648142394717,0.0,-0.0,2.2164614069111184,-2.2164614069111184,-4.1028221054342024,4.1028221054342024,0.0,-0.0,-0.020578918618181143,0.020578918618181143,-0.0,glucose_minimal
13.5,0.027858785153766896,optimal,2.127472785006667,-2.127472785006667,0.0,-0.0,2.3857549484371128,-2.3857549484371128,-4.373839747130003,4.373839747130003,0.0,-0.0,-0.024791287751029376,0.024791287751029376,-0.0,glucose_minimal
14.0,0.033192429300661755,optimal,2.268778480770751,-2.268778480770751,0.0,-0.0,2.5765095035690604,-2.5765095035690604,-4.679213769131039,4.679213769131039,0.0,-0.0,-0.029537650741282714,0.029537650741282714,-0.0,glucose_minimal
14.5,0.03917289434646843,optimal,2.427220579834014,-2.427220579834014,0.0,-0.0,2.790397216711523,-2.790397216711523,-5.021621064064246,5.021621064064246,0.0,-0.0,-0.034859613957454266,0.034859613957454266,-0.0,glucose_minimal
15.0,0.04584756442000626,optimal,2.604054442904179,-2.604054442904179,0.0,-0.0,3.0291127525560926,-3.0291127525560926,-5.403774576700228,5.403774576700228,0.0,-0.0,-0.04079934411880376,0.04079934411880376,-0.0,glucose_minimal
15.5,0.05326410548958719,optimal,2.8005428975398603,-2.8005428975398603,0.0,-0.0,3.2943608556132378,-3.2943608556132378,-5.828403388330324,5.828403388330324,0.0,-0.0,-0.047399258751059506,0.047399258751059506,-0.0,glucose_minimal
16.0,0.06147077590291781,optimal,3.0139078380665367,-3.0139078380665367,0.0,-0.0,3.5932762928877278,-3.5932762928877278,-6.3090881693164365,6.3090881693164365,0.0,-0.0,-0.035771375120227863,0.035771375120227863,-0.0,glucose_minimal
16.5,0.07051732047012714,optimal,3.2647079252654017,-3.2647079252654017,0.0,-0.0,3.9498588956538123,-3.9498588956538123,-6.8931185000558735,6.8931185000558735,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
17.0,0.08044799630868624,optimal,3.5287998047401414,-3.5287998047401414,0.0,-0.0,4.310437881303891,-4.310437881303891,-7.47252106723543,7.47252106723543,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
17.5,0.09130764595137081,optimal,3.8175963913166555,-3.8175963913166555,0.0,-0.0,4.704747545251453,-4.704747545251453,-8.106124357075064,8.106124357075064,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
18.0,0.10313935220537991,optimal,4.132243409587241,-4.132243409587241,0.0,-0.0,5.134352207505681,-5.134352207505681,-8.796442024183825,8.796442024183825,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
18.5,0.115983823790464,optimal,4.473823448741646,-4.473823448741646,0.0,-0.0,5.600729985881828,-5.600729985881828,-9.5458492076875,9.5458492076875,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
19.0,0.1298788806556911,optimal,4.84334227531515,-4.84334227531515,0.0,-0.0,6.105254108052822,-6.105254108052822,-10.356552502176132,10.356552502176132,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
19.5,0.14485902369762577,optimal,5.241717390469347,-5.241717390469347,0.0,-0.0,6.649177288183292,-6.649177288183292,-11.230564853028712,11.230564853028712,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
20.0,0.1609546609598579,optimal,5.669757451894124,-5.669757451894124,0.0,-0.0,7.233603630534745,-7.233603630534745,-12.169660409236204,12.169660409236204,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
20.5,0.17819180745680596,optimal,6.128154291058403,-6.128154291058403,0.0,-0.0,7.859477730184478,-7.859477730184478,-13.175357009703552,13.175357009703552,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
21.0,0.19659151247871368,optimal,6.61746768321938,-6.61746768321938,0.0,-0.0,8.52756387869205,-8.52756387869205,-14.248882769515966,14.248882769515966,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
21.5,0.2161693597666888,optimal,7.138112055304828,-7.138112055304828,0.0,-0.0,9.23842791564912,-9.23842791564912,-15.391146917788475,15.391146917788475,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
22.0,0.23693499295890635,optimal,7.690343865845057,-7.690343865845057,0.0,-0.0,9.992419997815155,-9.992419997815155,-16.60271210995422,16.60271210995422,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
22.5,0.2588963924013704,optimal,8.274375340534473,-8.274375340534473,-0.20006728748705718,0.20006728748705718,10.78982988845655,-10.78982988845655,-17.683976669632404,17.683976669632404,0.0,-0.0,0.0,-0.0,0.02417914093248447,glucose_minimal
23.0,0.28204824833600156,optimal,8.890065274080033,-8.890065274080033,-0.2179583402521211,0.2179583402521211,11.630464792317936,-11.630464792317936,-19.01687432264817,19.01687432264817,0.0,-0.0,0.0,-0.0,0.024517068607764075,glucose_minimal
23.5,0.3063782842976563,optimal,9.53708719174782,-9.53708719174782,-0.23675985484317427,0.23675985484317427,12.513878955714569,-12.513878955714569,-20.41760210545081,20.41760210545081,0.0,-0.0,0.0,-0.0,0.024825174613904762,glucose_minimal
24.0,0.3318683971875593,optimal,10.214959667957277,-10.214959667957277,-0.25645784173409236,0.25645784173409236,13.439415062155472,-13.439415062155472,-21.885117787216792,21.885117787216792,0.0,-0.0,0.0,-0.0,0.025106104191342068,glucose_minimal
24.5,0.3584927108951396,optimal,10.922994565185396,-10.922994565185396,-0.2770323046506037,0.2770323046506037,14.40613356010835,-14.40613356010835,-23.417931629622736,23.417931629622736,0.0,-0.0,0.0,-0.0,0.02536230362446414,glucose_minimal
25.0,0.3862173581354981,optimal,11.66029123225119,-11.66029123225119,-0.29845707198113847,0.29845707198113847,15.412804741602201,-15.412804741602201,-25.014093826800572,25.014093826800572,0.0,-0.0,0.0,-0.0,0.02559602209211004,glucose_minimal
25.5,0.41443039318164515,optimal,12.481831744108797,-12.481831744108797,-0.3202592506098383,0.3202592506098383,16.508464976254135,-16.508464976254135,-26.780885228646444,26.780885228646444,0.0,-0.0,0.0,-0.0,0.025658032985502705,glucose_minimal
26.0,0.44367374847823926,optimal,13.328305289706016,-13.328305289706016,-0.34285762950937837,0.34285762950937837,17.639068904646635,-17.639068904646635,-28.602060514206848,28.602060514206848,0.0,-0.0,0.0,-0.0,0.025724022826381466,glucose_minimal
26.5,0.473888751827202,optimal,14.198244411790883,-14.198244411790883,-0.3662068685828527,0.3662068685828527,18.802579006553415,-18.802579006553415,-30.474427499251334,30.474427499251334,0.0,-0.0,0.0,-0.0,0.025792404889067654,glucose_minimal
27.0,0.5050085543704025,optimal,15.089960444140958,-15.089960444140958,-0.3902553090581867,0.3902553090581867,19.99665710780547,-19.99665710780547,-32.394315728049904,32.394315728049904,0.0,-0.0,0.0,-0.0,0.025861917299439492,glucose_minimal
27.5,0.5369581206691543,optimal,16.00154341070138,-16.00154341070138,-0.4149449658220361,0.4149449658220361,21.218664183040723,-21.218664183040723,-34.35757622814885,34.35757622814885,0.0,-0.0,0.0,-0.0,0.025931558923530627,glucose_minimal
28.0,0.569118225572457,optimal,16.91660795738997,-16.91660795738997,-0.43979732044015435,0.43979732044015435,24.448119298368802,-24.448119298368802,-37.274973693209645,37.274973693209645,-3.057591084655399,3.057591084655399,0.0,-0.0,0.025997961384925883,glucose_minimal
28.5,0.601693221197726,optimal,17.840667273822362,-17.840667273822362,-0.46497029003706614,0.46497029003706614,28.447323735998562,-28.447323735998562,-39.32009048838557,39.32009048838557,-8.52071851238514,8.52071851238514,0.0,-0.0,0.02606238224728947,glucose_minimal
29.0,0.634903636703881,optimal,18.77966160020629,-18.77966160020629,-0.49063429286463595,0.49063429286463595,32.5131395862138,-32.5131395862138,-41.39892002228704,41.39892002228704,-14.073794694040144,14.073794694040144,0.0,-0.0,0.02612583247289432,glucose_minimal
29.5,0.6685455479290694,optimal,19.72824043884932,-19.72824043884932,-0.5166317425095538,0.5166317425095538,36.62213310743758,-36.62213310743758,-43.49952806267484,43.49952806267484,-19.684954879989775,19.684954879989775,0.0,-0.0,0.026187421230541692,glucose_minimal
30.0,0.7025095062172437,optimal,20.683562840441496,-20.683562840441496,-0.5428780603666881,0.5428780603666881,40.76184047347235,-40.76184047347235,-45.61557081723744,45.61557081723744,-25.337262113286194,25.337262113286194,0.0,-0.0,0.02624683496526173,glucose_minimal
30.5,0.736701418242037,optimal,21.64319344113854,-21.64319344113854,-0.5693005339644736,0.5693005339644736,44.92157234989571,-44.92157234989571,-47.74160852636395,47.74160852636395,-31.01619333208774,31.01619333208774,0.0,-0.0,0.02630390637651324,glucose_minimal
31.0,0.7709812367773681,optimal,22.60347215029648,-22.60347215029648,-0.5957909390501599,0.5957909390501599,49.085288557620295,-49.085288557620295,-49.86947406939927,49.86947406939927,-36.699942626859595,36.699942626859595,0.0,-0.0,0.02635838136232292,glucose_minimal
