Topt_C,rmax,CTmin_C,CTmax_C,niche_width_C,B80_C,Ea_eV,Ea_kJmol,skewness
40.0,0.4541722971282761,14.726076411039767,46.78361589342062,32.05753948238085,12.348289407487712,0.8365542765601468,80.71493937390576,-0.5499265004623274
46.0,0.0733588617164539,42.99811790704833,49.763372585233654,6.765254678185322,2.6401141887975896,,,-0.40660529500482767
40.0,0.3568264303948072,18.342774783651503,46.77212673884165,28.429351955190146,10.916550941531455,1.0112238543621341,97.56793358813051,-0.5242005055597859
30.0,0.5791667357068542,8.4232133150104,46.79022968993334,38.36701637492294,19.107314921928136,0.9520604023491838,91.859547920661,-0.4242735209198985
46.0,0.08690749820961358,44.053238977204735,49.50722522502926,5.453986247824524,2.384250723571526,,,-0.4008526043991877
44.0,0.3266705012062138,41.004520180496996,48.81687337216211,7.81235319166511,2.7148456768244458,,,-0.19008060840568075
29.0,0.5377771002378421,12.214979856308013,46.737697683154884,34.52271782684687,18.865816763099392,1.2408731062566585,119.7256416571737,-0.3149901817475005
41.0,0.319694681546096,19.729762850395964,46.797258403060674,27.06749555266471,9.694098255970538,1.012315346635566,97.6732462201326,-0.5559319849387964
40.0,0.5420193497998119,32.11690527473282,47.770627951469976,15.653722676737154,8.076749540819144,3.4778627581696537,335.56158822199905,-0.46505707082885467
38.0,0.5388590763696539,7.927687129053167,46.762883492059885,38.835196363006716,15.61972213245247,0.7351523188714727,70.93117148631404,-0.5424952749509238
42.0,0.5792123007953018,7.927205716967887,46.82395675196347,38.89675103499559,16.021987576333515,0.77836009809703,75.10007406489194,-0.5710771339711923
46.0,0.06974721880780545,42.786045622090406,49.62287019361952,6.836824571529114,2.5616682168826514,,,-1.4406333456478835
35.0,0.33742369965571595,12.391739080895452,46.63107912462965,34.2393400437342,14.25705658828933,0.9482948023576436,91.49622400547725,-0.3832834401368475
33.0,0.5794541849011015,13.634428065565757,46.842054312515884,33.20762624695013,15.970031560989845,1.1056993699511648,106.68340370973813,-0.4618081567886962
21.0,0.4819104291961327,5.0,46.93309712367564,41.93309712367564,27.48090623013158,0.74359097832587,71.74537554377156,-0.21288609530003352
44.0,0.4616476317235519,39.5369308914829,48.65830655837974,9.121375666896839,2.8216645036144357,5.465856962007846,527.373208979327,-0.15910696765608756
45.0,0.30330949836734367,42.328374319327224,48.9959864315441,6.667612112216872,2.5692373185067368,,,-0.6176580106935615
40.0,0.37119301413827915,12.887697553241509,46.782508696805785,33.894811143564276,12.815545838012678,0.8204593752478136,79.1620228207853,-0.5663717543877139
41.0,0.4625309629569922,13.693330843618206,46.81001870598094,33.11668786236273,11.40842221006369,0.8009947318371154,77.28397670130408,-0.6286336566289006
37.0,0.32854076321317277,15.825937367135953,46.674734367098615,30.848796999962662,12.808365090090422,1.0734002118250037,103.56701943793549,-0.42724652647906897
46.0,0.1586482224293075,42.45473877738173,49.19341860336719,6.738679825985464,2.5422773140130843,,,-0.7446623544969607
35.0,0.39573900806997164,27.06049203579884,47.74193198064914,20.6814399448503,12.961477981674271,3.2558635677785386,314.1419963371123,-0.35062017866309086
44.0,0.578228629531271,18.004858425595813,46.88600568313778,28.88114725754197,11.14460341947256,1.0575766262904975,102.04028078763865,-0.611186475484903
39.0,0.546378519456606,13.7243256290729,46.76798776937508,33.04366214030218,12.928568765569441,0.8546375481340631,82.45970383171507,-0.5462663726111497
40.0,0.5782568371303509,9.402591625569224,46.811625699816865,37.40903407424764,13.968292972144027,0.7457316348441053,71.9519167879335,-0.6141156164906375
43.0,0.2835980645615454,40.47987714729339,49.04259912018335,8.56272197288996,4.765087923882454,,,-0.1379805332693064
32.0,0.5186692242841646,12.930529527903605,46.92031822795579,33.98978870005219,16.55232545791762,1.0807922384039956,104.28023912240951,-0.4792997165048705
40.0,0.4550348473581702,15.70296121769337,46.776132579011126,31.073171361317755,11.835760025684372,0.9349292245238081,90.20664622817962,-0.5536944500062415
37.0,0.3955623597807844,12.458445244925839,46.71051467619927,34.252069431273426,14.607415699785022,0.8806839997314427,84.97279571408825,-0.45191238489570695
35.0,0.5799922797688141,19.311089222112837,46.89249563226466,27.581406410151825,13.245537486252811,1.3932473279792947,134.42746844008227,-0.46830065085884504
42.0,0.44439834993798566,5.0,46.8302907819227,41.8302907819227,14.136267253487457,0.5659568062478452,54.60634245082334,-0.5781314161675986
46.0,0.23577742352327907,42.42453213220018,49.10059711830059,6.676064986100414,2.5520732014653404,,,-0.22880593110177833
38.0,0.37265658369841276,5.0,46.777429184352656,41.777429184352656,17.037218599378136,0.6396513906734802,61.716764429130734,-0.5013423570848524
38.0,0.579977985541852,5.0,46.841337430221834,41.841337430221834,18.542118887452116,0.6069958146547411,58.56599117696269,-0.4786230390014363
43.0,0.5623849908534084,22.951213992537152,46.996683203979536,24.045469211442384,8.502096653838379,1.0794757397040975,104.15321674534985,-0.7075641076731874
29.0,0.579817177323654,5.0,46.87299418770663,41.87299418770663,21.09174675662821,0.8483170611942789,81.84987164933,-0.416669285789577
40.0,0.558048722390657,5.0,46.805181124059395,41.805181124059395,15.424473230726807,0.5952139376323627,57.42921677245852,-0.5573983479605781
38.0,0.44017088710805397,5.0,46.78997556600816,41.78997556600816,17.6421183447337,0.5768231778287354,55.65478431280553,-0.47180509451548014
45.0,0.4959749556543117,41.575801201630746,48.91702841447696,7.3412272128462135,3.029179191124996,,,-0.90771008441173
35.0,0.5181816057672223,6.442930154574424,46.71280856805315,40.26987841347872,17.230542141154675,0.744315381689093,71.81526960227214,-0.45748383124124853
20.0,0.5134737616647652,5.0,46.881401339578254,41.881401339578254,29.665691470968756,0.5563846039327434,53.68276851045074,-0.15167308504850294
39.0,0.5780517269347589,17.287790892027406,46.76189106062891,29.474100168601506,13.483775345775587,1.1747074219458968,113.34164560644986,-0.4509365399836911
40.0,0.42874227193486886,16.214931248097646,46.76928442693579,30.554353178838145,11.854962384718185,0.9255056032755292,89.29740813203944,-0.5348307907237526
38.0,0.5804609162531262,20.30199223544552,46.95381481758356,26.651822582138042,10.799532867410647,1.2544454122479531,121.03516560074375,-0.6087211478650236
45.0,0.46047138370216023,42.06726538494392,48.929206247436525,6.861940862492602,2.6093801349087897,,,-1.3931932394886182
40.0,0.5792695116394435,5.0,46.82089505502252,41.82089505502252,18.403823042694377,0.6219748930502488,60.011247555953254,-0.48171866936209407
44.0,0.4847771916463883,41.2224688318866,48.8506042659278,7.628135434041198,2.707438126330281,,,-0.06261682148126292
17.0,0.26562919342025726,5.070439551859053,46.96914311643652,41.89870356457747,30.026668025773745,1.540126435615328,148.59909914034492,-0.10769513965039654
41.0,0.5803146620717159,13.094098956858751,46.84278578918475,33.748686832326,17.38839808588106,1.1683130373263688,112.72468340643469,-0.40473046300489596
41.0,0.4876411630089477,16.72517443367319,46.79977954959897,30.074605115925785,10.58020612371886,0.9124394532696346,88.03672064872069,-0.6107643185045221
