temp_C,growth
5.0,0.008832638859926335
6.0,0.012910287739535474
7.0,0.017035228957165655
8.0,0.02217902582828779
9.0,0.02821933640444076
10.0,0.0352835495467109
11.0,0.04365718399002829
12.0,0.05338289570339902
13.0,0.06448480131459872
14.0,0.07700444473690514
15.0,0.09098024941452688
16.0,0.10643093324550111
17.0,0.12335031360566383
18.0,0.14170519962003922
19.0,0.16143616943389608
20.0,0.1824510007337637
21.0,0.204656879356788
22.0,0.22791534537509664
23.0,0.2521964555497151
24.0,0.2774426037618662
25.0,0.30320451028468864
26.0,0.32932221233560954
27.0,0.3554087455800127
28.0,0.381174943270406
29.0,0.4063353765375757
30.0,0.4306026871129119
31.0,0.45369746851197074
32.0,0.47534542400636726
33.0,0.4952888869891941
34.0,0.49947527898530414
35.0,0.4994752789853044
36.0,0.4994752789853043
37.0,0.49947527898530436
38.0,0.4994752789853043
39.0,0.4994752789853043
40.0,0.49947527898530436
41.0,0.4994752789853044
42.0,0.4994752789853044
43.0,0.49947527898530436
44.0,0.49947527898530436
45.0,0.3710238092350846
46.0,0.10153840569787155
47.0,0.009631202619311028
48.0,0.0009602768283624658
49.0,7.523209487377541e-05
50.0,1.3238324634769041e-05
51.0,1.317056728728272e-05
52.0,1.2621829814201318e-05
53.0,1.1239566541833282e-05
54.0,7.834503131976482e-06
55.0,5.599096500605536e-06
56.0,3.455049093960702e-06
57.0,3.4624190905493518e-06
58.0,3.1325458387078503e-06
59.0,2.9421271386913184e-06
60.0,2.5938653689860666e-06
