T,OTU,Replicate,r,K,O2_0,T_end_min,fit_start_time,fit_end_time,delta_Ninoc_to_N0_min,N_inoculation_cells_per_L,otu_name,cell_volume_um3,cell_carbon_fg,N0_cells_per_L,C_tot_O2_mg_per_L,biomass_integral_cells_min_per_L,R_O2_mg_cell_min,growth_fgC_h,respiration_fgC_h,growth_C_per_C_h,respiration_C_per_C_h,CUE,resp_over_growth
15,1,R1,4.908361702729616e-4,6.743758344772115e-4,10.226948110271417,1147.94,306.1,3643.2,0,400000000,Ecoli_M9,2,350,400000000,1.0396872283840037,616681188874.4432,1.6859395861930285e-12,10.307559575732194,37.97078636745634,0.029450170216377698,0.10848796104987526,0.21350274899354668,3.6837804417695157
15,1,R2,3.907374680223557e-4,6.642705196192326e-4,10.297689309156109,1320.42,133.5,3715,0,400000000,Ecoli_M9,2,350,400000000,1.1478833298830893,691214374855.0328,1.6606762990480816e-12,8.20548682846947,37.40180579011158,0.02344424808134134,0.10686230225746166,0.1799161133525922,4.558145856787386
15,1,R3,3.849434677771181e-4,6.973937412626356e-4,11.057207339212336,1300.37,154.2,3939,0,400000000,Ecoli_M9,2,350,400000000,1.1769741443567785,675070092958.3105,1.7434843531565891e-12,8.08381282331948,39.266811486525015,0.023096608066627087,0.11219088996150005,0.1707224126639193,4.8574617380119856
15,1,R4,3.83326262859226e-4,7.534826414960587e-4,9.369192211507047,1173.02,280.8,4186.5,0,400000000,Ecoli_M9,2,350,400000000,1.11601824895547,592458638059.445,1.8837066037401467e-12,8.049851520043745,42.424901589204765,0.02299957577155356,0.12121400454058505,0.1594827319436411,5.270271319113004
15,1,R5,3.026518221978953e-4,6.646044337445092e-4,11.759247215156003,1229.15,225.2,4269.9,0,400000000,Ecoli_M9,2,350,400000000,0.9895760790164859,595588009210.8468,1.661511084361273e-12,6.355688266155801,37.42060685217185,0.01815910933187372,0.10691601957763386,0.14518561356040588,5.887734779478961
20,1,R1,0.0011369794549880158,0.0011322596272830764,9.9020082722172,1371.54,82.3,1861.8,0,400000000,Ecoli_M9,2,350,400000000,3.7404356761215856,1321405651492.487,2.830649068207691e-12,23.87656855474833,63.75197066987169,0.06821876729928095,0.18214848762820482,0.27247479834788796,2.6700641896548127
20,1,R2,0.0012727723665920817,0.0010725125514796019,8.880989533687979,1356.5,98,1806.8,0,400000000,Ecoli_M9,2,350,400000000,3.893954326377825,1452273661881.4792,2.6812813786990047e-12,26.728219698433715,60.38790669333161,0.0763663419955249,0.17253687626666173,0.306811388493511,2.2593314247888485
20,1,R3,0.0012469075324668105,0.001129904754921976,8.93800046569263,1340.45,114.2,1801.8,0,400000000,Ecoli_M9,2,350,400000000,3.91436509326858,1385732762418.1497,2.8247618873049397e-12,26.18505818180302,63.619379389498654,0.07481445194800862,0.18176965539856757,0.2915786668227054,2.4296061879178925
20,1,R4,0.00127725276473754,0.001133575908781203,9.456237754113957,1325.42,129.2,1725.5,0,400000000,Ecoli_M9,2,350,400000000,3.9362890902467393,1388981208846.9504,2.8339397719530073e-12,26.82230805948834,63.826084006989625,0.0766351658842524,0.18236024001997037,0.29589391988131364,2.379589551556555
20,1,R5,0.0010279918009389636,0.0012438901679661227,8.656301972905663,1308.4,145.8,1939.9,0,400000000,Ecoli_M9,2,350,400000000,3.4343748353015524,1104398096792.4453,3.1097254199153067e-12,21.587827819718235,70.03733736846567,0.06167950805633782,0.2001066781956162,0.23561024719988422,3.244297571453384
