T,OTU,Replicate,r,K,O2_0,T_end_min,fit_start_time,fit_end_time,delta_Ninoc_to_N0_min,N_inoculation_cells_per_L,otu_name,cell_volume_um3,cell_carbon_fg,N0_cells_per_L,C_tot_O2_mg_per_L,biomass_integral_cells_min_per_L,R_O2_mg_cell_min,growth_fgC_h,respiration_fgC_h,growth_C_per_C_h,respiration_C_per_C_h,CUE,resp_over_growth
15,1,R1,0.0016410787326739738,6.439000276463704e-4,9.520750678192462,1392.33,61.2,1553.8,0,400000000,Ecoli_R2A,2,350,400000000,3.462584280390087,2151007381097.2014,1.609750069115926e-12,34.46265338615345,36.254843578007474,0.09846472396043843,0.10358526736573564,0.48732852357060735,1.0520038364943223
15,1,R2,0.0016155716081744517,0.0010274933396716437,8.84857574160047,1171.56,282.2,1550.8,0,400000000,Ecoli_R2A,2,350,400000000,3.58542995953587,1395796866452.3574,2.5687333491791093e-12,33.92700377166348,57.85309630037554,0.09693429649046709,0.16529456085821584,0.36965533645129905,1.7052226801323263
15,1,R3,0.001451809247949173,0.001027831924895001,8.604755827462995,1358.21,95.4,1550.8,0,400000000,Ecoli_R2A,2,350,400000000,4.378091199567959,1703816000856.4463,2.569579812237502e-12,30.487994206932633,57.87216036899425,0.08710855487695038,0.16534902962569786,0.34504233670997764,1.8981950723355479
15,1,R4,0.0015405451256489497,7.155160368800735e-4,10.565626124355068,1379.28,74.6,1498,0,400000000,Ecoli_R2A,2,350,400000000,3.423779208868002,1914019550866.8137,1.7887900922001838e-12,32.351447638627945,40.28718881945698,0.09243270753893698,0.11510625376987708,0.44537520548442394,1.2452978694948316
15,1,R5,0.0015568407346762746,7.213143357968395e-4,9.914945332786774,1387.31,66.9,1491.5,0,400000000,Ecoli_R2A,2,350,400000000,3.553465818511759,1970550503248.3394,1.8032858394920986e-12,32.693655428201765,40.61366251291879,0.09341044408057647,0.11603903575119655,0.4459807880907724,1.2422490535544453
15,2,R1,0.0018902032416302636,0.0012264385148446065,9.018872755744248,1272.91,140.2,1413.7,0,400000000,Ecoli_LB,2,350,400000000,6.546897040455985,2135254873754.6772,3.066096287111516e-12,39.69426807423554,69.05472061596927,0.11341219449781582,0.1972992017599122,0.365008158258035,1.7396647920758816
15,2,R2,0.002099258991932436,0.0011891471316661918,9.42591008573903,1129.42,72.2,1201.9,0,400000000,Ecoli_LB,2,350,400000000,5.498918537782994,1849701653008.4377,2.9728678291654796e-12,44.084438830581156,66.9550262443401,0.12595553951594615,0.19130007498382887,0.397015951048001,1.5187904852696852
15,2,R3,0.002048372321440019,0.0010883589045836508,10.150792776806002,1233.75,75.7,1310.2,0,400000000,Ecoli_LB,2,350,400000000,6.119921520743983,2249229181649.465,2.720897261459127e-12,43.0158187502404,61.280136897404034,0.12290233928640114,0.17508610542115438,0.41243995016993673,1.4245953855536357
15,2,R4,0.0022540758844540637,0.0011175249323056933,8.546884110695792,1161.51,84.7,1247.3,0,400000000,Ecoli_LB,2,350,400000000,6.301401288306572,2255484815110.2744,2.7938123307642335e-12,47.33559357353534,62.922332467296464,0.13524455306724384,0.17977809276370418,0.42931692326595694,1.3292815768655628
15,2,R5,0.002207195070354054,0.0011989873299822571,9.236601589763115,1129.4,85.8,1215.8,0,400000000,Ecoli_LB,2,350,400000000,6.027091656943333,2010727388431.21,2.997468324955643e-12,46.351096477435135,67.50907941316748,0.13243170422124323,0.1928830840376214,0.4070878699675423,1.4564721127154474
20,1,R1,0.004252980703611082,0.0015990924515905003,8.535651502613844,722.7800000000001,49.1,772.1,0,400000000,Ecoli_R2A,2,350,400000000,7.755833187520577,1940058732640.8594,3.99773112897625e-12,89.31259477583271,90.03703092093332,0.25517884221666487,0.2572486597740952,0.4979803801031471,1.0081112428422765
20,1,R2,0.004370670193045904,0.0013983209891890495,8.534194601169467,735.82,37.9,774.4,0,400000000,Ecoli_R2A,2,350,400000000,7.655631449998924,2189949663685.954,3.495802472972624e-12,91.78407405396399,78.73257735397371,0.26224021158275423,0.22495022101135345,0.5382704462943222,0.8578021641061965
20,1,R3,0.004222412047519187,0.0014077937752451312,9.325450509552876,747.87,40.3,789.1,0,400000000,Ecoli_R2A,2,350,400000000,7.508108935980823,2133297949743.6626,3.519484438112828e-12,88.67065299790293,79.2659433455338,0.2533447228511512,0.22647412384438229,0.5280007748672485,0.8939366144896717
20,1,R4,0.004278817258022603,0.001517964635276075,9.52175634277768,724.8000000000001,53.3,779.7,0,400000000,Ecoli_R2A,2,350,400000000,7.530381470302007,1984336471431.0208,3.794911588190187e-12,89.85516241847466,85.4691226059485,0.25672903548135617,0.24419749315985284,0.5125083636072298,0.9511876703076954
20,1,R5,0.004207150787462172,0.0014523942259378625,9.815767348263186,750.88,42.6,794.5,0,400000000,Ecoli_R2A,2,350,400000000,7.784228406766935,2143833476545.3594,3.6309855648446567e-12,88.35016653670561,81.77717535973967,0.25242904724773035,0.23364907245639907,0.5193178565646633,0.9256029565690161
20,2,R1,0.005373655777924074,0.0019633569044862366,8.340495137649635,551.1,58.3,610.5,0,400000000,Ecoli_LB,2,350,400000000,6.695507763453509,1364093863556.7258,4.908392261215591e-12,112.84677133640555,110.54697065340419,0.3224193466754444,0.3158484875811548,0.5051474151928264,0.9796201463651497
20,2,R2,0.005410856414125846,0.002201611622981922,8.731307979778107,538.03,66.4,605.4,0,400000000,Ecoli_LB,2,350,400000000,7.071261474788206,1284742758618.016,5.504029057454805e-12,113.62798469664276,123.96192201216888,0.32465138484755074,0.35417692003476825,0.478252575080575,1.0909453542022687
20,2,R3,0.005513730312053266,0.0022667928852026023,8.445811358370431,527,65.4,593.6,0,400000000,Ecoli_LB,2,350,400000000,7.103577480981009,1253502695787.0662,5.666982213006506e-12,115.78833655311858,127.63195829818326,0.33082381872319594,0.3646627379948093,0.4756724850072596,1.1022868286878909
20,2,R4,0.005452647343204508,0.0021886041932075093,8.297670642122865,527,66,594.1,0,400000000,Ecoli_LB,2,350,400000000,6.702970637063739,1225067676991.005,5.471510483018773e-12,114.50559420729466,123.22953761773574,0.32715884059227046,0.3520843931935307,0.48165196842496594,1.0761879231389144
20,2,R5,0.005268889198925417,0.0019442141514177539,8.84998038410091,564.13,48,612.6,0,400000000,Ecoli_LB,2,350,400000000,6.840336476181371,1407321610367.5168,4.8605353785443845e-12,110.64667317743374,109.46913638045491,0.316133351935525,0.312768961087014,0.5026748119531803,0.9893576845723095
25,1,R1,0.009798970655048053,0.002639214476342974,8.496596408440022,348.22999999999996,45.7,394.7,0,400000000,Ecoli_R2A,2,350,400000000,7.900914307774687,1197464530237.4338,6.598036190857436e-12,205.7783837560091,148.60118636487655,0.5879382393028831,0.4245748181853616,0.5806722540066691,0.7221418676369458
25,1,R2,0.009886051656460537,0.0025504550632035267,9.316895014285832,332.15000000000003,41.2,374.9,0,400000000,Ecoli_R2A,2,350,400000000,6.623255818604547,1038756716659.8629,6.3761376580088174e-12,207.60708478567128,143.60358036816783,0.5931630993876322,0.41029594390905094,0.5911183952649449,0.6917084766949105
25,1,R3,0.009607947226613532,0.0027922212506295966,8.532449761347298,328.15999999999997,52.1,380.9,0,400000000,Ecoli_R2A,2,350,400000000,6.51120809669254,932763919796.7393,6.980553126573991e-12,201.76689175888416,157.21624527147986,0.5764768335968119,0.44918927220422816,0.5620511688319723,0.7791974386925518
25,1,R4,0.009719006423110934,0.002349683797827874,9.191475800865192,342.2,37.6,381,0,400000000,Ecoli_R2A,2,350,400000000,6.484646929898448,1103918226936.4194,5.874209494569685e-12,204.0991348853296,132.29913789476183,0.583140385386656,0.37799753684217663,0.606718736093964,0.6482101845708085
25,1,R5,0.00977227263157642,0.0022499233405817603,8.919130612833785,352.24,25,377.4,0,400000000,Ecoli_R2A,2,350,400000000,6.96581558188513,1238409408221.7017,5.624808351454402e-12,205.21772526310482,126.68211721229854,0.5863363578945852,0.36194890632085297,0.6183122104925772,0.617305922526343
25,2,R1,0.012188181548756824,0.003215568502929733,7.802011994873355,269.92,26.2,297.1,0,400000000,Ecoli_LB,2,350,400000000,6.816863353673179,847982351794.0638,8.038921257324332e-12,255.9518125238933,181.0528468436575,0.7312908929254094,0.5172938481247358,0.5856958433677026,0.7073708330420833
25,2,R2,0.012726958202425066,0.0024792494086305714,8.237403209505459,278.92999999999995,28.1,308,0,400000000,Ecoli_LB,2,350,400000000,6.586463431294468,1062654432162.6022,6.198123521576429e-12,267.2661222509264,139.59434017936337,0.763617492145504,0.3988409719410382,0.6568987329328393,0.5223046565112481
25,2,R3,0.01254514142584409,0.005167062408687293,8.657843425468633,228.78,67.5,297.6,0,400000000,Ecoli_LB,2,350,400000000,6.852977365580391,530512451644.3693,1.2917656021718234e-11,263.44796994272593,290.9318703860073,0.7527084855506455,0.8312339153885923,0.47521203113466015,1.1043238270131912
25,2,R4,0.012608701988616296,0.002931514888910298,8.27058881620707,267.92,26.4,295.9,0,400000000,Ecoli_LB,2,350,400000000,6.583383112513538,898290933116.9335,7.328787222275744e-12,264.78274176094226,165.0591849367222,0.7565221193169779,0.47159767124777774,0.6160002673428854,0.623375918834412
25,2,R5,0.01239462860879577,0.0030234284582696743,8.656328342092646,269.92,25.6,296.7,0,400000000,Ecoli_LB,2,350,400000000,6.677942409786127,883492697374.1528,7.558571145674185e-12,260.28720078471116,170.23438595667096,0.7436777165277462,0.48638395987620275,0.6045857137032895,0.6540251900341242
27,1,R1,0.012007376252638848,0.003241039351094223,10.895999867722377,282.12,61.4,344.3,0,400000000,Ecoli_R2A,2,350,400000000,7.717707790417191,952497881620.7928,8.102598377735557e-12,252.1549013054158,182.48698502715501,0.7204425751583309,0.5213913857918715,0.5801440432560538,0.7237098469330271
27,1,R2,0.011915876544364637,0.00317972867026626,9.433354951616545,274.12,66,340.7,0,400000000,Ecoli_R2A,2,350,400000000,6.728912083752949,846476260276.5714,7.949321675665652e-12,250.23340743165738,179.03488214217165,0.7149525926618783,0.511528234691919,0.5829301010798753,0.7154715430675213
27,1,R3,0.012916306701749909,0.0032898438302846255,10.479011279396495,262.08000000000004,69.1,331.8,0,400000000,Ecoli_R2A,2,350,400000000,7.264460788617875,883259043696.2328,8.224609575711564e-12,271.2424407367481,185.23492520883474,0.7749784021049946,0.5292426434538136,0.5942078643370966,0.6829127650735631
27,1,R4,0.011783049012155674,0.0028390895220382164,11.242367055987069,289.14,59.3,349.4,0,400000000,Ecoli_R2A,2,350,400000000,7.02916891878424,990341285714.4308,7.097723805095541e-12,247.44402925526916,159.85516711607454,0.7069829407293404,0.4567290489030701,0.6075239810433335,0.6460255581724469
27,1,R5,0.011844183512820036,0.0029738706496968657,10.260160532359047,287.14,62.7,350.4,0,400000000,Ecoli_R2A,2,350,400000000,7.2794538249755,979121782007.232,7.434676624242163e-12,248.7278537692208,167.44402950266755,0.7106510107692022,0.4784115128647644,0.5976565543394121,0.6732017623487738
27,2,R1,0.016197947067731977,0.004083505306753285,8.656629579884337,197.54999999999998,44.8,243.3,0,400000000,Ecoli_LB,2,350,400000000,5.931964047184671,581065883506.9382,1.0208763266883213e-11,340.15688842237154,229.92209937846292,0.9718768240639187,0.6569202839384655,0.5966837854076642,0.6759295701604887
27,2,R2,0.01566051973021445,0.0053080273050105575,8.372434621070418,190.57,58.5,249.8,0,400000000,Ecoli_LB,2,350,400000000,6.363704457676241,479553257133.336,1.3270068262526394e-11,328.8709143345034,298.8689103716567,0.9396311838128669,0.8539111724904477,0.5238968460993298,0.9087727048664118
27,2,R3,0.016013736864718728,0.00410634696476122,8.357426458733048,195.57,43.4,240.3,0,400000000,Ecoli_LB,2,350,400000000,5.619674358410935,547413494927.3791,1.0265867411903048e-11,336.28847415909325,231.20820079573878,0.9608242118831236,0.6605948594163965,0.5925822810959359,0.6875293641088558
27,2,R4,0.015580193923873453,0.004244149612221742,8.52718602368859,198.57999999999998,50.1,249.1,0,400000000,Ecoli_LB,2,350,400000000,5.737780466439811,540770801285.31836,1.0610374030554354e-11,327.1840724013425,238.96719010123445,0.9348116354324072,0.6827634002892413,0.5779092869193297,0.7303753766109488
27,2,R5,0.015382033629326107,0.0043442137435809975,8.414275676086065,198.57999999999998,50.1,249.1,0,400000000,Ecoli_LB,2,350,400000000,5.708282164300014,525598646957.42114,1.0860534358952493e-11,323.02270621584825,244.60130917940822,0.9229220177595664,0.6988608833697377,0.5690786461720021,0.7572263635732227
30,1,R1,0.016805118649870828,0.00505490178610628,8.166240364180142,187.68,53.7,242.8,0,400000000,Ecoli_R2A,2,350,400000000,6.746610382258267,533866782599.16,1.26372544652657e-11,352.9074916472874,284.6166573829108,1.0083071189922497,0.8131904496654594,0.5535594097637404,0.8064908343384511
30,1,R2,0.01668037889095853,0.005090263210643442,7.931877931046393,179.67,56.6,237.3,0,400000000,Ecoli_R2A,2,350,400000000,5.805649981767469,456216092686.7746,1.2725658026608606e-11,350.2879567101291,286.6076852758222,1.0008227334575117,0.8188791007880634,0.5499927046413293,0.8182059353898834
30,1,R3,0.016429467293223695,0.005494066655329929,8.100919673063022,184.67,58,243.6,0,400000000,Ecoli_R2A,2,350,400000000,6.614764759839874,481593338764.66376,1.3735166638324821e-11,345.0188131576976,309.34387116617177,0.9857680375934217,0.8838396319033479,0.5272593034766243,0.8966000095327559
30,1,R4,0.018674945146966174,0.004211539337045595,8.204565362281661,182.67,56.6,239.9,0,400000000,Ecoli_R2A,2,350,400000000,6.609079848728341,627711562904.6578,1.0528848342613985e-11,392.17384808628964,237.13106589749967,1.1204967088179705,0.6775173311357133,0.6231857393320654,0.6046580287151732
30,1,R5,0.019309692452594483,0.003698601289385428,8.113799399521707,184.66000000000003,50.6,236.3,0,400000000,Ecoli_R2A,2,350,400000000,6.582347745112224,711874271390.412,9.246503223463569e-12,405.50354150448413,208.2500472848695,1.1585815471556689,0.5950001350996271,0.6606943713426611,0.513559133200731
30,2,R1,0.0229770953907121,0.0046117313060606,7.328319111453131,147.47,40.5,189,0,400000000,Ecoli_LB,2,350,400000000,5.744213975727564,498226249059.9735,1.15293282651515e-11,482.5190032049541,259.6639073555872,1.3786257234427262,0.7418968781588205,0.6501348876930171,0.5381423438887705
30,2,R2,0.023320339053369457,0.006254374445576248,6.796974948255552,136.43,50,187.5,0,400000000,Ecoli_LB,2,350,400000000,6.1912877523719105,395965275584.102,1.563593611394062e-11,489.7271201207586,352.153063312471,1.3992203432021675,1.006151609464203,0.5817064349033931,0.7190801751506755
30,2,R3,0.02299550994424992,0.005959257393384394,6.808857547347352,138.45,51.9,191.5,0,400000000,Ecoli_LB,2,350,400000000,5.995814392725203,402453795627.7164,1.4898143483460988e-11,482.9057088292483,335.5364736168196,1.379730596654995,0.9586756389051988,0.5900303273543331,0.6948281361806445
30,2,R4,0.02274588784647487,0.006109683736414359,6.622627782907262,138.45,51.3,191.5,0,400000000,Ecoli_LB,2,350,400000000,5.994390814758398,392451791180.6922,1.5274209341035896e-11,477.6636447759723,344.0062411310372,1.3647532707884922,0.9828749746601063,0.5813327870093449,0.7201851028297928
30,2,R5,0.0226635235629698,0.005870083616061174,7.004260943284593,140.45,48,189.5,0,400000000,Ecoli_LB,2,350,400000000,5.988631242589307,408078087760.3701,1.4675209040152935e-11,475.9339948223658,330.5155368109448,1.359811413778188,0.9443301051741281,0.590159676648893,0.6944566692158732
35,1,R1,0.02824480079283696,0.006301528382469695,9.217992029725766,120.35,59.6,180.5,0,400000000,Ecoli_R2A,2,350,400000000,6.457073640110014,409873494060.4589,1.5753820956174235e-11,593.1408166495762,354.8080695754898,1.6946880475702177,1.0137373416442566,0.6257097036229338,0.5981852194554133
35,1,R2,0.023126803152782555,0.012590530662085202,8.102670272878388,106.3,93.23,199.53,0,400000000,Ecoli_R2A,2,350,400000000,5.817517877044557,184822007369.81738,3.1476326655213004e-11,485.6628662084337,708.9108559080505,1.3876081891669534,2.0254595883087156,0.4065574666651475,1.4596768771771913
35,1,R3,0.02601734606762053,0.006083535801593043,8.701308506788596,129.37,60.5,190.9,0,400000000,Ecoli_R2A,2,350,400000000,6.537430312316316,429844125227.5965,1.5208839503982607e-11,546.3642674200311,342.5339795280988,1.5610407640572317,0.9786685129374252,0.6146533298899769,0.6269333482322469
35,1,R4,0.02596413727207999,0.006485039382263859,8.669033185185816,127.37,60.7,188.9,0,400000000,Ecoli_R2A,2,350,400000000,6.570055845489665,405243851777.2656,1.621259845565965e-11,545.2468827136797,365.1406713874518,1.5578482363247992,1.0432590611070052,0.5989173295015304,0.6696795212659558
35,1,R5,0.026914914528003982,0.0060125325939568005,8.813118875049813,125.37,61.4,188.3,0,400000000,Ecoli_R2A,2,350,400000000,6.300613742564388,419165377923.9143,1.5031331484892003e-11,565.2132050880836,338.5361381305791,1.6148948716802387,0.9672461089445117,0.6254092568135121,0.5989529881521809
35,2,R1,0.036979771119923524,0.008609664668642927,7.246354107894148,82.21000000000001,44.2,127.4,0,400000000,Ecoli_LB,2,350,400000000,4.634877960117982,215333727316.86383,2.1524161671607318e-11,776.5751935183939,484.76787143760635,2.2187862671954113,1.3850510612503037,0.615673257414297,0.6242381619753917
35,2,R2,0.03573697160099199,0.008230875740616348,6.510561124089988,88.25,48.7,137.5,0,400000000,Ecoli_LB,2,350,400000000,5.1647993393500435,250996346056.52747,2.0577189351540866e-11,750.4764036208318,463.44012994816677,2.1442182960595195,1.3241146569947622,0.6182273516074283,0.6175279165503433
35,2,R3,0.036105753842744705,0.008910495647305967,7.149241847242971,85.22999999999999,47.7,133.5,0,400000000,Ecoli_LB,2,350,400000000,5.108427147300137,229321795307.52094,2.2276239118264914e-11,758.2208306976388,501.7061842292891,2.166345230564682,1.4334462406551116,0.6017974229575619,0.6616887375247517
35,2,R4,0.035429769867603246,0.009335387598638693,7.346232466030365,84.22999999999999,48.6,133.9,0,400000000,Ecoli_LB,2,350,400000000,4.946142953989574,211930909208.7759,2.3338468996596732e-11,744.0251672196682,525.6297602064941,2.125786192056195,1.5017993148756974,0.5860058124044397,0.706467715562242
35,2,R5,0.03544408802585878,0.006609234554725731,7.0731044437069635,93.25,39.5,133.9,0,400000000,Ecoli_LB,2,350,400000000,4.895366545731535,296274341919.4438,1.6523086386814327e-11,744.3258485430343,372.13349070321937,2.126645281551527,1.063238544866341,0.6666842422094343,0.4999604560712819
37,1,R1,0.029530755603502497,0.008574461278817043,7.4215248886212235,99.34,59.1,158.6,0,400000000,Ecoli_R2A,2,350,400000000,5.166871974171421,241035409976.64905,2.1436153197042608e-11,620.1458676735525,482.785741702004,1.77184533621015,1.379387833434297,0.5622704639181197,0.7785035212975804
37,1,R2,0.02789394479539952,0.00796940086058759,7.710846153708672,111.35,57.7,170,0,400000000,Ecoli_R2A,2,350,400000000,6.094438905778952,305891949088.3586,1.992350215146898e-11,585.77284070339,448.7177655002698,1.6736366877239715,1.2820507585721994,0.5662427838306239,0.7660269208819142
37,1,R3,0.030987642419471793,0.008526680077244374,7.728647199020364,97.34,58.1,156,0,400000000,Ecoli_R2A,2,350,400000000,5.342684269809137,250633738871.82452,2.1316700193110932e-11,650.7404908089077,480.095417250057,1.8592585451683077,1.37170119214302,0.5754508555762773,0.7377678568199605
37,1,R4,0.03384974504419489,0.006584689432826442,7.752386600380642,97.33,53.2,152.1,0,400000000,Ecoli_R2A,2,350,400000000,5.051187138171062,306844366143.65076,1.6461723582066104e-11,710.8446459280926,370.7514756125932,2.0309847026516934,1.059289930321695,0.6572181905714731,0.5215647015650414
37,1,R5,0.03216906912937872,0.010012291899195275,7.978177411670528,90.32,56.2,148.1,0,400000000,Ecoli_R2A,2,350,400000000,5.3765313734359665,214797228349.6089,2.5030729747988186e-11,675.550451716953,563.7429120627903,1.930144147762723,1.6106940344651153,0.5451093917396439,0.8344941678745134
37,2,R1,0.040031142841615956,0.00928590565231669,6.6298922994102,75.23,45.6,121.6,0,400000000,Ecoli_LB,2,350,400000000,4.481307431750422,193036957278.68634,2.3214764130791724e-11,840.653999673935,522.8436751827103,2.401868570496957,1.4938390719506007,0.6165423052608573,0.6219487153876696
37,2,R2,0.04000348490152431,0.010349417552295702,6.608882104539067,72.23,47.6,120.6,0,400000000,Ecoli_LB,2,350,400000000,4.393836766773594,169819673216.25574,2.587354388073926e-11,840.0731829320105,582.7247994591397,2.4002090940914584,1.664927998454685,0.590437429156447,0.6936595659741484
37,2,R3,0.03954201134516916,0.011255163929992007,7.182862883032045,69.21,47.4,118.2,0,400000000,Ecoli_LB,2,350,400000000,4.109036668300511,146032050491.98883,2.813790982498002e-11,830.3822382485523,633.7229231348864,2.3725206807101493,1.8106369232425326,0.5671602424131343,0.7631701329155823
37,2,R4,0.03979623452822149,0.01149717916061723,6.959147503965402,69.21,47.2,118.1,0,400000000,Ecoli_LB,2,350,400000000,4.249736099848182,147853174782.3971,2.874294790154307e-11,835.7209250926512,647.3496104358406,2.3877740716932894,1.8495703155309733,0.5635072001446259,0.7746002176074184
37,2,R5,0.04048400396771569,0.008603761166322424,6.824301415706748,75.22999999999999,41.3,117.6,0,400000000,Ecoli_LB,2,350,400000000,4.2553133516358805,197835029093.66617,2.1509402915806064e-11,850.1640833220295,484.435474257916,2.4290402380629414,1.384101355022617,0.637018106662382,0.5698140909046366
40,1,R1,0.036368148702287106,0.007456863554630446,8.975902531223166,93.25,53.5,147.9,0,400000000,Ecoli_R2A,2,350,400000000,5.885712758070819,315720555429.28644,1.8642158886576114e-11,763.7311227480292,419.8593106819158,2.1820889221372264,1.1995980305197596,0.645266387068372,0.5497475461929501
40,1,R2,0.032829275543511165,0.008416715217363167,8.509912154069337,97.25,56.2,154.9,0,400000000,Ecoli_R2A,2,350,400000000,5.9871534698395115,284536345366.10583,2.1041788043407916e-11,689.4147864137345,473.9038368448762,1.96975653261067,1.354010962413932,0.5926276538774834,0.6874001634198704
40,1,R3,0.03567330667239056,0.0068709292817252035,9.034665872225425,94.25,58.9,154.3,0,400000000,Ecoli_R2A,2,350,400000000,5.36465653523931,312310391522.02203,1.717732320431301e-11,749.1394401202018,386.86823365273494,2.1403984003434338,1.1053378104363856,0.6594492778663557,0.5164168550392444
40,1,R4,0.031724452044486685,0.0034835715894122057,7.9007091159382234,121.32,43.7,166.3,0,400000000,Ecoli_R2A,2,350,400000000,5.044232820110972,579202429534.3507,8.708928973530513e-12,666.2134929342204,196.14278248842112,1.9034671226692013,0.5604079499669175,0.77255017667461,0.29441430497683957
40,1,R5,0.03641039545764884,0.007389175078854225,9.086177603738822,90.24000000000001,58.2,149.8,0,400000000,Ecoli_R2A,2,350,400000000,5.221071194512121,282633508547.0303,1.8472937697135562e-11,764.6183046106257,416.0481055321493,2.1846237274589306,1.188708872948998,0.6476158701916169,0.5441252230340178
40,2,R1,0.05060530321582224,0.01023032066251939,7.057618382847899,59.169999999999995,41.7,102.1,0,400000000,Ecoli_LB,2,350,400000000,3.835299149758622,149958120621.18158,2.5575801656298472e-11,1062.711367532267,576.0190393658371,3.036318192949335,1.6457686839023917,0.6484967649705338,0.5420277386355777
40,2,R2,0.04849006980886255,0.013654168103788306,6.884190004298971,56.15,44.7,102.1,0,400000000,Ecoli_LB,2,350,400000000,4.004624508575547,117315810912.40488,3.413542025947076e-11,1018.2914659861135,768.799048821495,2.9094041885317528,2.1965687109185574,0.5698040796191787,0.7549891897375276
40,2,R3,0.048125945410427126,0.010982869400523464,7.115132825493755,63.18,43,106.6,0,400000000,Ecoli_LB,2,350,400000000,4.5454452874897955,165546729974.7059,2.7457173501308663e-11,1010.6448536189696,618.3913574427495,2.8875567246256275,1.7668324498364272,0.6203943452922296,0.6118780056400441
43,1,R1,0.02645632866098952,0.009253871645807538,9.3822630158937,112.30000000000001,56.6,170.3,0,400000000,Ecoli_R2A,2,350,400000000,6.4752207959724455,279892397206.78595,2.313467911451885e-11,555.5829018807799,521.0399978332756,1.587379719659371,1.488685708095073,0.5160422484310331,0.9378258331374699
43,1,R2,0.024474316376406503,0.011050395272562229,8.497598984519286,111.32,61.8,174,0,400000000,Ecoli_R2A,2,350,400000000,6.433336663029701,232872635027.03714,2.762598818140557e-11,513.9606439045366,622.1934071758152,1.4684589825843903,1.7776954490737578,0.4523687992977881,1.2105857025336395
43,1,R3,0.027574709331753197,0.009433937775435743,8.9544582102081,106.30000000000001,63.1,170.4,0,400000000,Ecoli_R2A,2,350,400000000,6.072666555225113,257481730313.60165,2.3584844438589358e-11,579.0688959668172,531.1786359495532,1.654482559905192,1.517653245570152,0.5215673796340721,0.9172978200852834
43,1,R4,0.029441583979086063,0.010579368768278604,8.6080457933157,97.26999999999998,69.1,167.3,0,400000000,Ecoli_R2A,2,350,400000000,5.938970711378155,224549151899.712,2.6448421920696518e-11,618.2732635608073,595.6722214316254,1.7664950387451637,1.7019206326617868,0.50930891972028,0.963444898136115
43,1,R5,0.02488812762846871,0.00996301450016319,8.495331386185459,113.30000000000001,57.8,172.3,0,400000000,Ecoli_R2A,2,350,400000000,6.314485471629833,253517064399.5913,2.4907536250407973e-11,522.6506801978429,560.9683440908497,1.4932876577081227,1.6027666974024275,0.48231958694239463,1.0733140993493056
43,2,R2,0.04920577642684104,0.010729966507994947,6.524061461518791,60.160000000000004,46,106.6,0,400000000,Ecoli_LB,2,350,400000000,3.9910371607640633,148780973651.32776,2.6824916269987366e-11,1033.321304963662,604.1516394502498,2.9523465856104627,1.726147541286428,0.6310463378883556,0.5846696826516081
