rxn_id,mw_kDa,kcat_s,source,group
rxn02483_LSQBKT_c0_RSQBKT_,16.28,4.8748,fallback_mean,Protocatechuate branch of beta-ketoadipate pathway
rxn00802_LSQBKT_c0_RSQBKT_,54.052,16.5945,dltkcat,Arginine Biosynthesis
rxn03638_LSQBKT_c0_RSQBKT_,90.564,5.3986,dltkcat,Peptidoglycan Biosynthesis
rxn06078_LSQBKT_c0_RSQBKT_,16.905,0.6216,dltkcat,Methionine Biosynthesis
rxn12636_LSQBKT_c0_RSQBKT_,32.597,4.8748,fallback_mean,Protein Degradation
rxn12644_LSQBKT_c0_RSQBKT_,32.597,4.8748,fallback_mean,Protein Degradation
rxn03492_LSQBKT_c0_RSQBKT_,28.037,4.8748,fallback_mean,Coenzyme B12 Biosynthesis
rxn05616_LSQBKT_c0_RSQBKT_,37.194,4.8748,fallback_mean,Transport
rxn02212_LSQBKT_c0_RSQBKT_,40.003,4.8748,fallback_mean,Chorismate Synthesis
rxn03419_LSQBKT_c0_RSQBKT_,35.607,4.8748,fallback_mean,Folate Biosynthesis
rxn03052_LSQBKT_c0_RSQBKT_,34.83,34.2473,dltkcat,Methionine Biosynthesis
rxn00248_LSQBKT_c0_RSQBKT_,34.468,61.1086,dltkcat,Glyoxylate Bypass
rxn01302_LSQBKT_c0_RSQBKT_,36.294,3.4489,dltkcat,Methionine Biosynthesis
rxn00048_LSQBKT_c0_RSQBKT_,17.336,4.8748,fallback_mean,"Riboflavin, FMN, and FAD Metabolism"
rxn05229_LSQBKT_c0_RSQBKT_,16.987,4.8748,fallback_mean,De Novo Purine Biosynthesis
rxn12637_LSQBKT_c0_RSQBKT_,32.597,4.8748,fallback_mean,Protein Degradation
rxn00321_LSQBKT_c0_RSQBKT_,49.186,24.5744,dltkcat,Lysine Degradation
rxn07586_LSQBKT_c0_RSQBKT_,36.935,4.8748,fallback_mean,Coenzyme B12 Biosynthesis
rxn00902_LSQBKT_c0_RSQBKT_,55.481,9.7028,dltkcat,Branched Chain Amino Acid Biosynthesis
rxn00952_LSQBKT_c0_RSQBKT_,16.905,0.6216,dltkcat,Methionine Biosynthesis
rxn10230_LSQBKT_c0_RSQBKT_,22.482,4.8748,fallback_mean,Glycerolipid and Glycerophospholipid Metabolism (Bacteria)
rxn02056_LSQBKT_c0_RSQBKT_,23.267,0.018,dltkcat,Heme and Siroheme Biosynthesis
rxn00459_LSQBKT_c0_RSQBKT_,45.929,14.2374,dltkcat,Glycolysis and Gluconeogenesis
rxn10225_LSQBKT_c0_RSQBKT_,19.831,4.8748,fallback_mean,Glycerolipid and Glycerophospholipid Metabolism (Bacteria)
rxn08311_LSQBKT_c0_RSQBKT_,19.831,4.8748,fallback_mean,Glycerolipid and Glycerophospholipid Metabolism (Bacteria)
rxn01101_LSQBKT_c0_RSQBKT_,34.993,42.5931,dltkcat,Serine Biosynthesis
rxn00302_LSQBKT_c0_RSQBKT_,35.607,0.0293,dltkcat,Folate Biosynthesis
rxn05145_LSQBKT_c0_RSQBKT_,58.647,4.8748,fallback_mean,Transport
rxn02988_LSQBKT_c0_RSQBKT_,34.059,6.8567,dltkcat,NAD/NADP Cofactor Biosynthesis
rxn07307_LSQBKT_c0_RSQBKT_,26.618,0.7228,dltkcat,Coenzyme M Biosynthesis
rxn02937_LSQBKT_c0_RSQBKT_,32.477,0.7217,dltkcat,De Novo Purine Biosynthesis
rxn00558_LSQBKT_c0_RSQBKT_,49.256,5.1576,dltkcat,Glycolysis and Gluconeogenesis
rxn01406_LSQBKT_c0_RSQBKT_,31.816,0.2112,dltkcat,Polyamine Metabolism
rxn00187_LSQBKT_c0_RSQBKT_,49.421,6.334,dltkcat,Glutamine/Glutamate/Aspartate/Asparagine Biosynthesis
rxn01200_LSQBKT_c0_RSQBKT_,30.264,4.8748,fallback_mean,Pentose Phosphate Pathway
rxn05232_LSQBKT_c0_RSQBKT_,87.969,4.8748,fallback_mean,Ribonucleotide Reduction
rxn00835_LSQBKT_c0_RSQBKT_,33.441,2.3618,dltkcat,Purine Conversions
rxn12844_LSQBKT_c0_RSQBKT_,32.597,27.9026,dltkcat,Protein Degradation
rxn01678_LSQBKT_c0_RSQBKT_,15.292,29.0038,dltkcat,Purine Conversions
rxn09208_LSQBKT_c0_RSQBKT_,22.482,4.8748,fallback_mean,Glycerolipid and Glycerophospholipid Metabolism (Bacteria)
rxn10060_LSQBKT_c0_RSQBKT_,62.594,0.3885,dltkcat,NAD/NADP Cofactor Biosynthesis
rxn00100_LSQBKT_c0_RSQBKT_,15.817,0.6819,dltkcat,Coenzyme A Biosynthesis
rxn01018_LSQBKT_c0_RSQBKT_,16.715,0.0935,dltkcat,De Novo Pyrimidine Synthesis
rxn00806_LSQBKT_c0_RSQBKT_,31.67,2.6378,dltkcat,Branched Chain Amino Acid Biosynthesis
rxn02834_LSQBKT_c0_RSQBKT_,25.741,3.2119,dltkcat,Histidine Biosynthesis
rxn02341_LSQBKT_c0_RSQBKT_,19.308,2.8441,dltkcat,Coenzyme A Biosynthesis
rxn03175_LSQBKT_c0_RSQBKT_,26.205,0.0577,dltkcat,Histidine Biosynthesis
rxn00786_LSQBKT_c0_RSQBKT_,33.942,0.9189,dltkcat,Glycolysis and Gluconeogenesis
rxn01637_LSQBKT_c0_RSQBKT_,42.843,102.8576,dltkcat,Arginine Biosynthesis
rxn12640_LSQBKT_c0_RSQBKT_,32.597,4.8748,fallback_mean,Protein Degradation
rxn05596_LSQBKT_c0_RSQBKT_,23.861,4.8748,fallback_mean,Transport
rxn02569_LSQBKT_c0_RSQBKT_,36.152,3.0287,dltkcat,Selenocysteine Metabolism
rxn00710_LSQBKT_c0_RSQBKT_,23.639,4.8748,fallback_mean,De Novo Pyrimidine Synthesis
