rxn_id,enzyme_id,flux,C_i,Ea_i_eV,Ea_kcat_eV,Ea_fN_eV,contrib,base,backbone
rxn11938_LSQBKT_c0_RSQBKT_,,68.49755385215774,0.31713621940667736,1.064008039302476,1.0640084327170707,-3.9341459427065563e-07,0.33743561176871584,rxn11938,Fwd
rxn03127_LSQBKT_c0_RSQBKT_,,67.49914245151587,0.2698814385515669,1.127432290853294,1.1274322914039756,-5.506813301370422e-10,0.3042730486735943,rxn03127,Mcr
rxn03020_LSQBKT_c0_RSQBKT_,,67.49914245151587,0.11174718835571529,0.622690234329185,0.622697612508638,-7.378179452803278e-06,0.06958470739365698,rxn03020,Mtr
rxn03085_LSQBKT_c0_RSQBKT_,,68.4593478139017,0.07655034991607135,0.8335325117750735,0.8335329548449274,-4.4306985379697526e-07,0.0638072393599561,rxn03085,Mer
ATPS,,33.64564446803998,0.054902402031486996,0.8861165294983349,0.8861165295124837,-1.4148807603560317e-11,0.04864992595004039,ATPS,ATPsyn
rxn02480_LSQBKT_c0_RSQBKT_,,68.46277090378237,0.039938989380217116,1.1693662158291822,1.169367133464182,-9.176349995415336e-07,0.04670334152500089,rxn02480,Mch
rxn00782_LSQBKT_c0_RSQBKT_,,3.0582368417793595,0.03299357012653825,1.1546219493165868,1.154622500513736,-5.511971491214221e-07,0.0380951184403789,rxn00782,
CODH,,0.9416881225788378,0.05037990317717789,-0.6813716000747481,-0.6813716000743489,-3.993900425291983e-13,-0.03432743523942447,CODH,
ACS,,0.9416881225788378,0.034414933413351445,0.9287321850481484,0.9287321850485813,-4.3293751971331524e-13,0.03196225630728332,ACS,
rxn00187_LSQBKT_c0_RSQBKT_,,0.9854003984163839,0.017031940421941005,1.3300558732376762,1.3300558711643664,2.073309820095025e-09,0.02265343235552433,rxn00187,
rxn02431_LSQBKT_c0_RSQBKT_,,68.49755385215774,0.023149498248420386,0.6436616492942675,0.6436829736627617,-2.1324368494007763e-05,0.014900937871344128,rxn02431,Ftr
rxn07191_LSQBKT_c0_RSQBKT_,,2.9030803726882914,0.022584311845330607,0.5959144035141856,0.5959144064043645,-2.890179072088292e-09,0.013458316787361247,rxn07191,
rxn06696_LSQBKT_c0_RSQBKT_,,141.28852623339617,0.024983917855736504,0.4667267729897415,0.4667270038052599,-2.3081551841311175e-07,0.011660669124124631,rxn06696,Hmd
rxn00085_LSQBKT_c0_RSQBKT_,,0.795891386099325,0.0055531463162727945,1.0479540239099314,1.0479540250937531,-1.1838216375418329e-09,0.0058194420340726225,rxn00085,
rxn05209_LSQBKT_c0_RSQBKT_,,0.45984672108520064,0.004642787955588812,1.2512866210088003,1.2512866732706431,-5.226184324534497e-08,0.005809458695649735,rxn05209,
rxn05466_LSQBKT_c0_RSQBKT_,,0.9578922200637093,0.00838917394966332,0.5390614680366096,0.5390636452163089,-2.1771796993959793e-06,0.004522298689659208,rxn05466,
HdrABC,,67.62889441633885,0.032981222470895855,0.12462568515524142,0.12462575305932314,-6.790408170438817e-08,0.004110309687252466,HdrABC,Hdr
rxn01100_LSQBKT_c0_RSQBKT_,,3.0582368417793595,0.0027478643053524543,1.1993282085935975,1.1993282217135053,-1.3119908141510082e-08,0.0032955912108483753,rxn01100,
rxn05938_LSQBKT_c0_RSQBKT_,,0.9629808494675796,0.004387045745446461,0.6370013194421663,0.6370013048186086,1.4623557631152401e-08,0.002794553864148321,rxn05938,
rxn00260_LSQBKT_c0_RSQBKT_,,0.3837449302363144,0.007057376357100242,-0.36753600551910315,-0.36753591832161564,-8.719748744893186e-08,-0.002593839300348096,rxn00260,
rxn00898_LSQBKT_c0_RSQBKT_,,0.09090524867754475,0.001923673348724897,1.2417802184316047,1.2417802183733484,5.825623169355389e-11,0.0023887795110585927,rxn00898,
rxn00274_LSQBKT_c0_RSQBKT_,,0.08735939454376504,0.0024558560341780833,0.8526084135652137,0.8526084303854174,-1.682020362264028e-08,0.0020938835585531316,rxn00274,
FNO,,4.366407515712097,0.009606428390518396,-0.18502443561194945,-0.1850181441330976,-6.291478851814597e-06,-0.0017773635525612135,FNO,
rxn00747_LSQBKT_c0_RSQBKT_,,0.0893621589596682,0.000925851008604095,1.4329022943233303,1.4329710633419745,-6.87690186443546e-05,0.0013267177042956496,rxn00747,
rxn01301_LSQBKT_c0_RSQBKT_,,0.1438448339974002,0.0013693854274410278,0.9423930307836748,0.942393035701449,-4.917774375411544e-09,0.0012904992900114765,rxn01301,
rxn00786_LSQBKT_c0_RSQBKT_,,0.08821137253294288,0.0017771298765900667,0.6804055230856633,0.6804054818536639,4.123199944190216e-08,0.0012091689099978065,rxn00786,
Tfr,,0.11918805453955902,0.0016749000948612647,0.6805980832016588,0.6805980837224281,-5.207693810665506e-10,0.0011399337949890898,Tfr,
rxn00785_LSQBKT_c0_RSQBKT_,,0.02336910738999405,0.0007598662782215548,1.3097243259646796,1.3097254608485174,-1.1348838379279088e-06,0.0009952162114269735,rxn00785,
rxn07741_LSQBKT_c0_RSQBKT_,,0.03536015928214015,0.0012046160139833617,0.8194672780794209,0.8194672693255367,8.753884102261985e-09,0.000987143395564758,rxn07741,
rxn00549_LSQBKT_c0_RSQBKT_,,0.0467382147799881,0.0012574315112590106,0.7271363313099897,0.7271365910793719,-2.5976938232137286e-07,0.0009143244626126599,rxn00549,
rxn01643_LSQBKT_c0_RSQBKT_,,0.23689382619882715,0.0007677239401537861,0.9939258688231363,0.9939258636246449,5.1984913460338666e-09,0.000763060680242667,rxn01643,
rxn00102_LSQBKT_c0_RSQBKT_,,0.5141809810456542,0.0009789305887353272,0.6585885075073146,0.6585885685885404,-6.108122587538355e-08,0.0006447124951827364,rxn00102,
rxn00148_LSQBKT_c0_RSQBKT_,,0.2360591493315054,0.0011878008893573266,0.5083956730669313,0.5083989973684843,-3.324301553051534e-06,0.0006038767812226588,rxn00148,
rxn00001_LSQBKT_c0_RSQBKT_,,0.23842223185558598,0.0009226572207698958,0.6339818865735518,0.633984382327509,-2.495753957134652e-06,0.0005849502682098185,rxn00001,
rxn01575_LSQBKT_c0_RSQBKT_,,0.029954081887990758,0.000581792923026736,0.970356512906737,0.9703564878438776,2.5062859141982547e-08,0.000564546537440647,rxn01575,
rxn02186_LSQBKT_c0_RSQBKT_,,0.09090524867754475,0.0005881914020622325,0.9163540470779605,0.916353969200185,7.787777546987094e-08,0.0005389915259291486,rxn02186,
rxn00119_LSQBKT_c0_RSQBKT_,,0.02602465342471477,0.00023974542016080846,1.7120380124064276,1.7120391854177184,-1.1730112914946598e-06,0.0004104535538397392,rxn00119,
rxn00806_LSQBKT_c0_RSQBKT_,,0.04650329840069287,0.0004220440622093591,0.8418352678233466,0.8418350422485185,2.2557482819938077e-07,0.00035529148094075216,rxn00806,
rxn01116_LSQBKT_c0_RSQBKT_,,0.0467382147799881,0.00030924553445776937,1.1314036359847242,1.1314167350833533,-1.3099098629102716e-05,0.000349885572935316,rxn01116,
rxn00011_LSQBKT_c0_RSQBKT_,,0.09090524867754475,0.0007263221240338957,0.4655710270949294,0.4655718888559525,-8.617610230262342e-07,0.0003381551632043283,rxn00011,
rxn00420_LSQBKT_c0_RSQBKT_,,0.039429522487482674,0.0005121067911062482,0.62897311055021,0.6289798262847643,-6.715734554357581e-06,0.00032210484050925614,rxn00420,
rxn00097_LSQBKT_c0_RSQBKT_,,0.16915280894997028,0.00044871132098833755,0.7044194070449745,0.7044193047119469,1.023330274680637e-07,0.000316080916746984,rxn00097,
rxn00790_LSQBKT_c0_RSQBKT_,,0.024963746577830282,0.0006070240025968232,0.4836635779015444,0.48366357703141905,8.70125338366439e-10,0.0002935954004399089,rxn00790,
rxn01513_LSQBKT_c0_RSQBKT_,,0.002655907142316092,0.00019243901282495202,1.4708077968791833,1.4708295302428207,-2.1733363637279007e-05,0.0002830449828337163,rxn01513,
rxn02185_LSQBKT_c0_RSQBKT_,,0.09090524867754475,0.0006925755575926118,0.4028567670695883,0.4028568080687809,-4.0999192566808776e-08,0.0002790087784782157,rxn02185,
rxn00834_LSQBKT_c0_RSQBKT_,,0.020006291220432956,0.000285974559910418,0.9336911664110357,0.9336911656195682,7.914673268833987e-10,0.0002670119201803012,rxn00834,
rxn02895_LSQBKT_c0_RSQBKT_,,0.024963746577830282,0.0005736741690576252,0.46521031065400315,0.4652103442487755,-3.359477243536516e-08,0.0002668791576739281,rxn02895,
rxn03136_LSQBKT_c0_RSQBKT_,,0.024963746577830282,0.0005894869489209142,0.4512261281402264,0.45122614903574104,-2.0895514690676817e-08,0.00026599192586841274,rxn03136,
rxn00459_LSQBKT_c0_RSQBKT_,,0.19458599157855072,0.000376159778603391,0.687605258520236,0.6876052847312659,-2.6211029895435793e-08,0.0002586494516710346,rxn00459,
rxn03079_LSQBKT_c0_RSQBKT_,,72.8257553296138,0.0005114350184909355,0.4633405635380225,0.4633437904484905,-3.22691046799273e-06,0.0002369702400356839,rxn03079,
rxn05313_LSQBKT_c0_RSQBKT_,,0.01471323007113338,0.00019926094383393433,1.1507739727667643,1.1507739734474407,-6.806764329231974e-10,0.00022930430808866393,rxn05313,
rxn01465_LSQBKT_c0_RSQBKT_,,0.02602465342471477,0.0002315646959627493,0.9509341955049102,0.9509342443347049,-4.882979435759163e-08,0.0002202027991699327,rxn01465,
rxn00710_LSQBKT_c0_RSQBKT_,,0.02602465342471477,0.0001835975691588665,1.1825355200199745,1.182571071676926,-3.555165695139419e-05,0.0002171171741174793,rxn00710,
rxn01629_LSQBKT_c0_RSQBKT_,,0.00613749475804341,0.0002320188092208575,0.872864334834025,0.8728643558377215,-2.1003696591762962e-08,0.00020252094845279897,rxn01629,
rxn01434_LSQBKT_c0_RSQBKT_,,0.030560886493456493,0.0004934237989306922,-0.38833551123366794,-0.38833490251694075,-6.087167272981459e-07,-0.00019161368285728893,rxn01434,
rxn08764_LSQBKT_c0_RSQBKT_,,0.029954081887990758,0.0004883550448364637,0.39020721553517745,0.3902078166170465,-6.010818690743307e-07,0.00019055995577955636,rxn08764,
rxn01300_LSQBKT_c0_RSQBKT_,,0.1438448339974002,0.0005019072714884665,0.37129789309410277,0.3712984865073968,-5.934132939109968e-07,0.0001863574102707247,rxn01300,
rxn00777_LSQBKT_c0_RSQBKT_,,0.0448202579340865,0.0001812635607167934,0.9994651201073944,0.9994783292973037,-1.32091899092893e-05,0.00018116900082770104,rxn00777,
rxn02914_LSQBKT_c0_RSQBKT_,,0.039429522487482674,0.000680252450868668,0.2222132969607773,0.22221458631479984,-1.289354022512766e-06,0.00015116201695940977,rxn02914,
rxn01200_LSQBKT_c0_RSQBKT_,,0.02336910738999405,0.0001454947421097863,1.0054425615784826,1.0054530875994419,-1.0526020959405287e-05,0.00014628813768376918,rxn01200,
rxn02213_LSQBKT_c0_RSQBKT_,,0.04108956227737967,0.00043306208167281923,0.3285485667666419,0.32855304470473895,-4.4779380971398515e-06,0.00014228386547977709,rxn02213,
rxn00414_LSQBKT_c0_RSQBKT_,,0.05658553991817126,0.0007964150928962965,0.17367595495170757,0.17367595495170757,-0.0,0.0001383181517967172,rxn00414,
rxn02937_LSQBKT_c0_RSQBKT_,,0.024963746577830282,0.00035166891013682644,0.3464955631203564,0.34650340777158783,-7.844651231506446e-06,0.00012185447576973065,rxn02937,
rxn00126_LSQBKT_c0_RSQBKT_,,0.003068747379021705,9.762408640368037e-05,1.2396907518826834,1.2396907773113046,-2.5428621551077717e-08,0.00012102367955808448,rxn00126,
rxn02160_LSQBKT_c0_RSQBKT_,,0.009819201797536583,0.0001443453590210808,0.7879168707270773,0.7879310367559019,-1.416602882463491e-05,0.00011373418838438308,rxn02160,
rxn01255_LSQBKT_c0_RSQBKT_,,0.04108956227737967,0.00018202949256806988,0.5857124450701593,0.5857124712765297,-2.6206370351546803e-08,0.00010661694393725691,rxn01255,
rxn04783_LSQBKT_c0_RSQBKT_,,0.024963746577830282,7.89984485050077e-05,-1.3406924776179974,-1.3406924647151852,-1.2902812131947262e-08,-0.00010591262463485442,rxn04783,
rxn00141_LSQBKT_c0_RSQBKT_,,0.002301564640661064,0.00010591642746193841,0.9968706377595445,0.9968707527707811,-1.1501123642530134e-07,0.00010558498877477438,rxn00141,
rxn05939_LSQBKT_c0_RSQBKT_,,0.11918805453955902,0.0004001738973968827,0.26364624237724776,0.26364656670377973,-3.2432653210049444e-07,0.00010550447413315874,rxn05939,
rxn00337_LSQBKT_c0_RSQBKT_,,0.23689382619882715,0.00010482272567724493,0.9788073041897757,0.9788073065147133,-2.3249375745402953e-09,0.00010260124978167478,rxn00337,
2OPs,,0.042240348704104994,0.00011924781734284906,0.8449680237530122,0.844965858985713,2.1647672992729535e-06,0.00010076033441327186,2OPs,
rxn00839_LSQBKT_c0_RSQBKT_,,0.021157073540763488,5.672659771915889e-05,1.7151408282806668,1.7152562163188254,-0.00011538803815814613,9.730064936840458e-05,rxn00839,
rxn00313_LSQBKT_c0_RSQBKT_,,0.03536015928214015,0.00017162578221929792,0.5175654668069434,0.5175654666292733,1.7767017783254168e-10,8.882757805994496e-05,rxn00313,
rxn00410_LSQBKT_c0_RSQBKT_,,0.014772366080896243,0.0002351384137289081,0.37265449376875937,0.3726544933059746,4.6278484554282585e-10,8.762538642491687e-05,rxn00410,
ARCSs,,0.00038359547557510564,4.8979917710578746e-05,1.6478906236545001,1.6478974860441025,-6.862389601724755e-06,8.071388326190972e-05,ARCSs,
rxn00791_LSQBKT_c0_RSQBKT_,,0.005847389834488075,8.376238778140532e-05,0.9564581897877382,0.9564596328211759,-1.443033437507538e-06,8.011534266162789e-05,rxn00791,
IPk,,0.00613752760920169,6.15689858207702e-05,1.2330972995479519,1.233104248239905,-6.948691952879223e-06,7.59209779754142e-05,IPk,
rxn00285_LSQBKT_c0_RSQBKT_,,0.11918805453955902,0.0004156887410178278,0.16797733766761555,0.16797747710907468,-1.3944145916635257e-07,6.982634597882224e-05,rxn00285,
rxn00237_LSQBKT_c0_RSQBKT_,,0.03861889902472314,0.00010446598406321783,-0.6669549873163116,-0.6669535448671001,-1.4424492115715495e-06,-6.967395838899312e-05,rxn00237,
rxn00802_LSQBKT_c0_RSQBKT_,,0.030560886493456493,7.904532748348458e-05,0.8706793169364069,0.8706793184845174,-1.548110424579414e-09,6.882313186270586e-05,rxn00802,
rxn00903_LSQBKT_c0_RSQBKT_,,0.0436347675384912,0.0001673866705798055,0.39744826115514226,0.3974477636407844,4.975143576762359e-07,6.652745788522038e-05,rxn00903,
rxn01361_LSQBKT_c0_RSQBKT_,,0.02602465342471477,0.00014843290179200608,0.4452840786000258,0.44528427200799137,-1.9340796554915177e-07,6.60948366164871e-05,rxn01361,
rxn01791_LSQBKT_c0_RSQBKT_,,0.0007671827383606857,5.083389249538328e-05,1.1806448045682745,1.1806448509849146,-4.641663993510251e-08,6.001677343019496e-05,rxn01791,
rxn00278_LSQBKT_c0_RSQBKT_,,0.05454703879798952,5.8315540452102965e-05,1.0237347672864894,1.023734783568053,-1.6281563723083287e-08,5.969964718338767e-05,rxn00278,
rxn01069_LSQBKT_c0_RSQBKT_,,0.1438448339974002,9.860471253952952e-05,-0.5934022922419775,-0.5934022987527193,6.510741757603291e-09,-5.8512263088807906e-05,rxn01069,
rxn10499_LSQBKT_c0_RSQBKT_,,0.0007671909511502113,3.90619742440812e-05,1.4584388629188205,1.458438903911267,-4.099244605791502e-08,5.696950290114793e-05,rxn10499,
rxn02465_LSQBKT_c0_RSQBKT_,,0.05416598801934606,0.00017742623839023253,0.2937474686675944,0.29374772902268603,-2.6035509160413843e-07,5.211855459616852e-05,rxn02465,
