rxn_id,Topt,Tm,Length,T90,dCpt,topt_source
rxn02483_LSQBKT_c0_RSQBKT_,313.707,327.747,145,,-4000.0,mesophile_prior
rxn00802_LSQBKT_c0_RSQBKT_,318.854,329.546,481,,-4000.0,mesophile_prior
rxn03638_LSQBKT_c0_RSQBKT_,307.093,331.495,411,,-4000.0,mesophile_prior
rxn06078_LSQBKT_c0_RSQBKT_,325.49,335.938,149,,-4000.0,mesophile_prior
rxn12636_LSQBKT_c0_RSQBKT_,305.413,319.145,295,,-4000.0,mesophile_prior
rxn12644_LSQBKT_c0_RSQBKT_,306.217,329.064,295,,-4000.0,mesophile_prior
rxn03492_LSQBKT_c0_RSQBKT_,289.2,327.089,248,,-4000.0,mesophile_prior
rxn05616_LSQBKT_c0_RSQBKT_,299.991,323.192,300,,-4000.0,mesophile_prior_nolen
rxn02212_LSQBKT_c0_RSQBKT_,307.007,326.349,361,,-4000.0,mesophile_prior
rxn03419_LSQBKT_c0_RSQBKT_,316.566,336.663,315,,-4000.0,mesophile_prior
rxn03052_LSQBKT_c0_RSQBKT_,311.165,339.121,312,,-4000.0,mesophile_prior
rxn00248_LSQBKT_c0_RSQBKT_,305.798,331.418,314,,-4000.0,mesophile_prior
rxn01302_LSQBKT_c0_RSQBKT_,321.485,329.464,337,,-4000.0,mesophile_prior
rxn00048_LSQBKT_c0_RSQBKT_,305.015,321.754,156,,-4000.0,mesophile_prior
rxn05229_LSQBKT_c0_RSQBKT_,307.873,330.421,158,,-4000.0,mesophile_prior
rxn12637_LSQBKT_c0_RSQBKT_,302.354,327.162,295,,-4000.0,mesophile_prior
rxn00321_LSQBKT_c0_RSQBKT_,310.858,332.855,433,,-4000.0,mesophile_prior
rxn07586_LSQBKT_c0_RSQBKT_,314.597,331.447,323,,-4000.0,mesophile_prior
rxn00902_LSQBKT_c0_RSQBKT_,305.912,327.766,514,,-4000.0,mesophile_prior
rxn00952_LSQBKT_c0_RSQBKT_,320.29,340.085,149,,-4000.0,mesophile_prior
rxn10230_LSQBKT_c0_RSQBKT_,299.859,340.241,204,,-4000.0,mesophile_prior
rxn02056_LSQBKT_c0_RSQBKT_,325.909,334.68,201,,-4000.0,mesophile_prior
rxn00459_LSQBKT_c0_RSQBKT_,315.095,326.367,426,,-4000.0,mesophile_prior
rxn10225_LSQBKT_c0_RSQBKT_,327.03,343.628,178,,-4000.0,mesophile_prior
rxn08311_LSQBKT_c0_RSQBKT_,330.466,338.732,178,,-4000.0,mesophile_prior
rxn01101_LSQBKT_c0_RSQBKT_,316.024,319.579,318,,-4000.0,mesophile_prior
rxn00302_LSQBKT_c0_RSQBKT_,312.405,333.733,315,,-4000.0,mesophile_prior
rxn05145_LSQBKT_c0_RSQBKT_,299.566,331.749,300,,-4000.0,mesophile_prior_nolen
rxn02988_LSQBKT_c0_RSQBKT_,316.749,334.033,305,,-4000.0,mesophile_prior
rxn07307_LSQBKT_c0_RSQBKT_,300.609,323.728,235,,-4000.0,mesophile_prior
rxn02937_LSQBKT_c0_RSQBKT_,308.086,319.871,293,,-4000.0,mesophile_prior
rxn00558_LSQBKT_c0_RSQBKT_,329.844,331.844,438,,-4000.0,mesophile_prior
rxn01406_LSQBKT_c0_RSQBKT_,315.74,326.787,280,,-4000.0,mesophile_prior
rxn00187_LSQBKT_c0_RSQBKT_,328.285,338.772,446,,-4000.0,mesophile_prior
rxn01200_LSQBKT_c0_RSQBKT_,318.784,320.784,275,,-4000.0,mesophile_prior
rxn05232_LSQBKT_c0_RSQBKT_,312.97,333.939,770,,-4000.0,mesophile_prior
rxn00835_LSQBKT_c0_RSQBKT_,322.49,324.49,302,,-4000.0,mesophile_prior
rxn12844_LSQBKT_c0_RSQBKT_,330.67,332.67,295,,-4000.0,mesophile_prior
rxn01678_LSQBKT_c0_RSQBKT_,305.835,335.847,133,,-4000.0,mesophile_prior
rxn09208_LSQBKT_c0_RSQBKT_,312.941,343.948,204,,-4000.0,mesophile_prior
rxn10060_LSQBKT_c0_RSQBKT_,314.335,323.944,566,,-4000.0,mesophile_prior
rxn00100_LSQBKT_c0_RSQBKT_,308.674,320.468,139,,-4000.0,mesophile_prior
rxn01018_LSQBKT_c0_RSQBKT_,299.673,333.535,148,,-4000.0,mesophile_prior
rxn00806_LSQBKT_c0_RSQBKT_,318.262,338.576,287,,-4000.0,mesophile_prior
rxn02834_LSQBKT_c0_RSQBKT_,304.904,341.57,129,,-4000.0,mesophile_prior
rxn02341_LSQBKT_c0_RSQBKT_,309.576,340.7,176,,-4000.0,mesophile_prior
