T_C,growth_per_h,carbon_fixation_RBPC_1,photon_used,photon_shadow_price
5.0,0.000000,0.0000,0.000,nan
6.0,0.000000,0.0000,0.000,nan
7.0,0.000107,0.0046,2.124,0.000e+00
8.0,0.000356,0.0154,2.264,0.000e+00
9.0,0.000697,0.0301,2.455,0.000e+00
10.0,0.001152,0.0498,2.712,0.000e+00
11.0,0.001748,0.0755,3.051,-0.000e+00
12.0,0.002512,0.1086,3.483,0.000e+00
13.0,0.003476,0.1502,4.027,-0.000e+00
14.0,0.004670,0.2018,4.702,-0.000e+00
15.0,0.006125,0.2647,5.524,-0.000e+00
16.0,0.007868,0.3400,6.508,0.000e+00
17.0,0.009924,0.4289,7.670,-0.000e+00
18.0,0.012309,0.5319,9.017,-0.000e+00
19.0,0.015032,0.6496,10.556,-0.000e+00
20.0,0.018090,0.7817,12.283,-0.000e+00
21.0,0.021466,0.9277,14.188,-0.000e+00
22.0,0.025133,1.0861,16.259,-0.000e+00
23.0,0.029046,1.2552,18.470,-0.000e+00
24.0,0.033148,1.4325,20.787,-0.000e+00
25.0,0.037371,1.6150,23.151,-0.000e+00
26.0,0.041472,1.7601,24.982,-0.000e+00
27.0,0.045628,1.9365,27.455,-0.000e+00
28.0,0.049654,2.1075,29.844,-0.000e+00
29.0,0.053456,2.2688,32.096,-0.000e+00
30.0,0.056938,2.4166,34.162,-0.000e+00
31.0,0.060017,2.5473,36.015,-0.000e+00
32.0,0.062614,2.6575,37.577,-0.000e+00
33.0,0.064666,2.7446,38.830,-0.000e+00
34.0,0.066121,2.8063,39.747,-0.000e+00
35.0,0.066946,2.8414,40.312,-0.000e+00
36.0,0.067097,2.8478,40.500,-0.000e+00
37.0,0.066559,2.8249,40.305,-0.000e+00
38.0,0.065313,2.7720,39.714,-0.000e+00
39.0,0.063097,2.6780,38.587,-0.000e+00
40.0,0.059554,2.5276,36.727,-0.000e+00
41.0,0.053947,2.2896,33.732,-0.000e+00
42.0,0.044980,1.9091,28.920,-0.000e+00
43.0,0.032759,1.3903,27.729,-0.000e+00
44.0,0.018147,0.7702,19.338,-0.000e+00
45.0,0.006816,0.2893,12.854,-0.000e+00
46.0,0.001863,0.0791,10.076,-0.000e+00
47.0,0.000435,0.0185,9.346,-0.000e+00
48.0,0.000302,0.0128,9.366,-0.000e+00
49.0,0.000221,0.0094,9.410,-0.000e+00
50.0,0.000160,0.0068,9.460,-0.000e+00
