rxn_id,enzyme_id,flux,C_i,Ea_i_eV,Ea_kcat_eV,Ea_fN_eV,contrib,base,calvin
TKT2_TG_reverse,,0.712139892357869,0.13702494697925838,1.0250174477588923,1.0250189778436087,-1.5300847163754482e-06,0.1404531710917541,TKT2,TKT
ATPSu_1,,5.14069106078281,0.20461239077659288,0.3984237566460818,0.39901596839303416,-0.0005922117469523237,0.08164361125093614,ATPSu_1,
PSIIa,,21.91874592416049,0.05405910892913868,1.0339946518454957,1.0340954196171401,-0.00010076777164454784,0.05590227693220635,PSIIa,
FBA_TG_reverse,,2.088516450988961,0.042944538749611905,0.8627341353313016,0.8628410015030653,-0.00010686617176355702,0.03705430882380233,FBA,FBA
TKT1_TG_reverse,,1.0161078091628646,0.05365032049887697,0.3863076554251266,0.3863076564361451,-1.0110185642535152e-09,0.020725529578969237,TKT1,TKT
OECb,,5.4796864810401225,0.01807155477606681,1.0069336882420885,1.0069337101934313,-2.1951342345776973e-08,0.01819685769962878,OECb,
H2CO3_NAt_syn,,3.0602784100227405,0.02710265948459023,0.6664672182896468,0.6664672575346366,-3.924498980968285e-08,0.01806303513858996,H2CO3_NAt_syn,
CBFCua,,22.144431496954326,0.02612624697718724,0.6299061138737204,0.6299202069507209,-1.409307700060852e-05,0.016457450902715432,CBFCua,
ACCOAC_TG_forward,,0.18687005836797102,0.014137576867001567,1.1519681881033432,1.1519681880542998,4.9043568778006397e-11,0.01628603880695818,ACCOAC_TG_forward,
RBPC_1,,2.693354529470168,0.02272846885575941,0.6522084028181856,0.6522084022972838,5.209017119931775e-10,0.01482369835907842,RBPC_1,RuBisCO
MPOMT,,0.0013447609147989753,0.010007561014435673,1.4008412121469342,1.40147872948761,-0.0006375173406759568,0.014025383895781045,MPOMT,
PRUK,,2.693354529470168,0.02137644116766424,0.6315451784647632,0.631545794605529,-6.161407658041983e-07,0.013500201523070854,PRUK,PRK
OECd,,5.4796864810401225,0.01384510026154473,0.9029527443060237,0.9029527445868198,-2.807959893090046e-10,0.01250147128024151,OECd,
NAt3pp_TG_forward,,3.0600380905671063,0.02238370193082817,0.46803811721031124,0.468038121879011,-4.6686995603167865e-09,0.010476425812404409,NAt3pp_TG_forward,
OECa,,5.4796864810401225,0.011718300408913862,0.8390646922846237,0.839064694876057,-2.591433164306236e-09,0.009832412157071284,OECa,
CBFCuc,,22.144431496954326,0.020648397496780824,0.4750603641187236,0.4751206285810654,-6.026446234188288e-05,0.009810479597862203,CBFCuc,
HCO3E1_TG_reverse,,2.693354529470168,0.014417556118140329,0.6531483200722703,0.6531507461681264,-2.4260958562313943e-06,0.009416837536484191,HCO3E1,
PSIIb,,10.959372962080245,0.014893935323434526,0.6263701965363382,0.6263709532719648,-7.567356263618296e-07,0.009329128466510673,PSIIb,
ACONTa_1_TG_forward,,0.07916257211417047,0.007462213770259574,1.2077577636285717,1.2077577655425207,-1.9139492595845957e-09,0.009012546629169331,ACONTa_1_TG_forward,
CPPPGO,,0.001387235966618257,0.008511107457931377,1.0107502880880195,1.0107502925679182,-4.479898778864327e-09,0.00860260435318113,CPPPGO,
KARA1_TG_reverse,,0.05303756047609358,0.012816211326716065,0.6449874756202957,0.6449880899789906,-6.143586949492057e-07,0.0082663036643857,KARA1,
PSIIc,,10.959372962080245,0.013897091242220938,0.5858273604839804,0.5858274158888724,-5.540489195986549e-08,0.008141297050802172,PSIIc,
GAPDi_nadp,,4.907147580162502,0.008451252817087695,0.9445463011194135,0.944546300507503,6.119104996762275e-10,0.007982599583033795,GAPDi_nadp,
ACLSb_1,,0.05303756047609358,0.0064576349692702095,1.2047226305492602,1.204727218722412,-4.588173152075475e-06,0.0077796886160534885,ACLSb_1,
PGK_TG_forward,,4.907147580162502,0.011634859352327442,0.6191043391840931,0.6191043402156594,-1.0315663626321415e-09,0.0072031919228246755,PGK_TG_forward,
CBFCue,,11.072215748477163,0.011784362475919519,0.5687977819793465,0.5687978804230305,-9.844368385508759e-08,0.006702920398439718,CBFCue,
CBFC2ub,,22.144431496954326,0.018302448888185552,0.3611171530996285,0.36111730943526466,-1.56335636262596e-07,0.006609331098578018,CBFC2ub,
GHMT2r_TG_forward,,0.049015847226115676,0.004904483729251119,1.2556973694664844,1.2556974943247479,-1.2485826402573797e-07,0.006158547929777125,GHMT2r_TG_forward,
CBFCuf,,11.072215748477163,0.010933480932240336,0.5186214732140164,0.51862246057828,-9.873642636270817e-07,0.005670348783764189,CBFCuf,
OECc,,5.4796864810401225,0.008076979301152587,0.6702170081776603,0.6702172888935108,-2.8071585077886873e-07,0.0054133311696674905,OECc,
THRS,,0.03438801974438021,0.004973256106488577,1.0467314041220963,1.046744585776389,-1.3181654292859707e-05,0.005205728903146283,THRS,
IPPMIb_TG_reverse,,0.033316640454844504,0.003948022450361854,1.1369052676626106,1.1369052362334593,3.142915069250238e-08,0.004488527396583645,IPPMIb,
SQD1,,0.0026695423795288025,0.005086043820823338,0.8519194194535307,0.8519194694746567,-5.0021126041542204e-08,0.004332899753560674,SQD1,
PAPSR,,0.011799989494365623,0.004335410611644441,0.9382393760121347,0.9382393844242884,-8.412154061702364e-09,0.004067652983495809,PAPSR,
IMPC_TG_reverse,,0.0260136216348872,0.0029128027683511526,1.322151497963379,1.3221585407380145,-7.0427746352561454e-06,0.0038511870576608087,IMPC,
GLUTRR,,0.011211098693825739,0.005057684444975674,0.6438932226353637,0.6438932226356374,-2.738362153408991e-13,0.003256608736349522,GLUTRR,
ACOTA_TG_reverse,,0.01725859850222561,0.0026373777278432264,1.0639881766368233,1.0639883066831377,-1.300463147147136e-07,0.0028061390627317356,ACOTA,
NOR_syn_1,,0.5720840589024372,0.005449458130490914,0.5007729218413486,0.5007729217161699,1.2517888985657796e-10,0.002728941069775872,NOR_syn_1,
PPNDH,,0.011722791930103095,0.0042494020631722584,0.5595552225975206,0.5595552635405732,-4.094305274989157e-08,0.0023777752913482085,PPNDH,
FBP,,2.088516450988961,0.006986767034211638,0.3280918241653121,0.32809299230415956,-1.1681388474593236e-06,0.0022923093027865547,FBP,FBPase
TALA_TG_reverse,,1.0161078091628646,0.003822455333934993,0.5462785998606327,0.5462764207208594,2.179139773059318e-06,0.0020881172181873653,TALA,TAL
NDH2_syn,,0.09305779182746932,0.0018529331013095174,0.9564046181265413,0.9564046164760892,1.6504517134574266e-09,0.0017721537721137794,NDH2_syn,
GLUDy_1_TG_reverse,,0.43529669562911266,0.0034794651081582195,0.49474519325735317,0.4947451906878498,2.5695033392194185e-09,0.001721448628427458,GLUDy_1,
PGAMT_TG_reverse,,0.006403780540521645,0.00353535430709373,0.45365106900174446,0.45367204355330426,-2.097455155973679e-05,0.0016038914131841883,PGAMT,
PEPC,,0.18005382218460148,0.003462253150887662,0.45901280153550233,0.45901280888072776,-7.345225427798331e-09,0.0015892185438450958,PEPC,
