rxn_id,Topt,Tm,Length,T90,dCpt,topt_source
DDPA,294.731,326.759,457,,-4000.0,mesophile_prior
DHQS,314.184,335.572,375,,-4000.0,mesophile_prior
DHQTi,302.247,323.018,464,,-4000.0,mesophile_prior
HPPK,324.815,334.846,302,,-4000.0,mesophile_prior
PAPSR,321.545,328.576,409,,-4000.0,mesophile_prior
BPNT2,298.604,342.424,409,,-4000.0,mesophile_prior
SHKK,305.092,329.814,289,,-4000.0,mesophile_prior
BPNT,326.343,329.343,289,,-4000.0,mesophile_prior
SULR_syn,316.04,333.098,485,,-4000.0,mesophile_prior
CHORS,302.626,324.654,359,,-4000.0,mesophile_prior
ORNTA,328.15,342.987,433,,-4000.0,mesophile_prior
ANPRT,311.649,326.654,372,,-4000.0,mesophile_prior
ANS,308.556,329.623,388,,-4000.0,mesophile_prior
PRAIi,298.38,338.005,345,,-4000.0,mesophile_prior
IGPS,319.631,327.593,446,,-4000.0,mesophile_prior
PHCD,323.018,326.018,671,,-4000.0,mesophile_prior
GLYCLa,314.808,322.007,306,,-4000.0,mesophile_prior
GLYCLb,311.213,338.5,184,,-4000.0,mesophile_prior
HPROb,302.566,334.055,464,,-4000.0,mesophile_prior
CHORM,322.011,332.026,502,,-4000.0,mesophile_prior
PPNDH,309.46,323.081,407,,-4000.0,mesophile_prior
ACGK,318.607,321.607,254,,-4000.0,mesophile_prior
METS,306.763,344.631,556,,-4000.0,mesophile_prior
TRPS3_1,308.078,336.06,352,,-4000.0,mesophile_prior
PPND,302.604,336.647,504,,-4000.0,mesophile_prior
AHCi,314.445,324.056,429,,-4000.0,mesophile_prior
GLUN_1,303.211,329.381,193,,-4000.0,mesophile_prior
DNAMTn3r,304.479,334.854,80,,-4000.0,mesophile_prior
METAT,321.836,325.284,281,,-4000.0,mesophile_prior
GLUSx,304.617,337.36,107,,-4000.0,mesophile_prior
GLNS_1,317.277,331.433,281,,-4000.0,mesophile_prior
HPYRRy,317.066,335.542,117,,-4000.0,mesophile_prior
GLU5K,300.555,337.773,435,,-4000.0,mesophile_prior
ARGSS,301.379,331.377,128,,-4000.0,mesophile_prior
CBMK4,308.823,331.861,591,,-4000.0,mesophile_prior
GLYTA,320.446,327.412,296,,-4000.0,mesophile_prior
NAR_syn,311.454,336.591,269,,-4000.0,mesophile_prior
PUTA3,288.239,333.76,383,,-4000.0,mesophile_prior
G5SD,297.495,322.3,175,,-4000.0,mesophile_prior
NOR_syn_1,307.561,331.906,535,,-4000.0,mesophile_prior
GLYCK2,313.411,321.286,521,,-4000.0,mesophile_prior
GLMS_syn,301.13,319.679,464,,-4000.0,mesophile_prior
P5CD,312.553,349.628,460,,-4000.0,mesophile_prior
P5CR,308.137,318.494,218,,-4000.0,mesophile_prior
ACGS,311.49,319.904,155,,-4000.0,mesophile_prior
TRSARyr,294.402,329.276,438,,-4000.0,mesophile_prior
GLXCL,307.489,332.427,243,,-4000.0,mesophile_prior
ACLSa_1,308.56,321.646,304,,-4000.0,mesophile_prior
PSP_1,300.346,337.276,341,,-4000.0,mesophile_prior
HEX1,320.097,335.966,415,,-4000.0,mesophile_prior
FBP,301.974,322.365,304,,-4000.0,mesophile_prior
PFK,303.121,330.496,432,,-4000.0,mesophile_prior
GAPDi_nadp,321.914,332.242,486,,-4000.0,mesophile_prior
GAPD,316.226,338.224,423,,-4000.0,mesophile_prior
MAN1PT,296.032,339.768,351,,-4000.0,mesophile_prior
G1PTT,316.295,335.553,287,,-4000.0,mesophile_prior
G1PCTYT,313.791,335.655,657,,-4000.0,mesophile_prior
TDPDRR_2,312.951,335.47,509,,-4000.0,mesophile_prior
TDPGDH_2,320.073,323.073,447,,-4000.0,mesophile_prior
TDPDRE_1,319.833,328.643,321,,-4000.0,mesophile_prior
ALCD19y,314.917,337.358,398,,-4000.0,mesophile_prior
GLYK,315.157,318.157,540,,-4000.0,mesophile_prior
G3PDau,325.888,328.888,440,,-4000.0,mesophile_prior
ARGDI_1,293.223,329.699,80,,-4000.0,mesophile_prior
ARGOXu,306.97,334.722,152,,-4000.0,mesophile_prior
GUDBUTNAH,295.465,316.736,409,,-4000.0,mesophile_prior
PROAKGOX1,295.138,332.699,495,,-4000.0,mesophile_prior
THRD_L_1,302.931,328.216,257,,-4000.0,mesophile_prior
ARGDC,313.042,343.15,388,,-4000.0,mesophile_prior
HSK,307.811,327.738,240,,-4000.0,mesophile_prior
THRS,311.24,314.24,288,,-4000.0,mesophile_prior
ASPK,314.606,331.096,296,,-4000.0,mesophile_prior
DHDPS,328.15,343.665,214,,-4000.0,mesophile_prior
DHDPRy,328.15,338.103,214,,-4000.0,mesophile_prior
LDAPAT,321.768,326.272,306,,-4000.0,mesophile_prior
DAPDC,327.59,330.59,344,,-4000.0,mesophile_prior
LTHRK,318.015,338.898,468,,-4000.0,mesophile_prior
ASNN_1,298.33,319.625,264,,-4000.0,mesophile_prior
THRPDC,310.822,318.951,80,,-4000.0,mesophile_prior
PHYTES,296.874,328.225,219,,-4000.0,mesophile_prior
PHYTES2,328.15,334.662,499,,-4000.0,mesophile_prior
PHYTEDH2,327.673,333.108,370,,-4000.0,mesophile_prior
PHYTFDH2,311.308,340.853,523,,-4000.0,mesophile_prior
ZCAROTDH1,295.852,335.188,480,,-4000.0,mesophile_prior
ECHINH,314.768,330.135,579,,-4000.0,mesophile_prior
BCAROHX11,320.227,341.429,314,,-4000.0,mesophile_prior
BCAROHX21,311.808,332.264,506,,-4000.0,mesophile_prior
BCAROKE,311.376,318.352,201,,-4000.0,mesophile_prior
GLUTRS,308.619,331.841,339,,-4000.0,mesophile_prior
GLUTRR,312.191,327.435,730,,-4000.0,mesophile_prior
G1SAT,296.126,339.254,243,,-4000.0,mesophile_prior
PPBNGS,327.067,330.067,184,,-4000.0,mesophile_prior
HMBS_1,313.483,338.08,434,,-4000.0,mesophile_prior
UPP3S,310.914,325.464,431,,-4000.0,mesophile_prior
UPPDC1,308.506,327.243,294,,-4000.0,mesophile_prior
CPPPGO,320.853,323.853,471,,-4000.0,mesophile_prior
MPOMT,318.08,321.08,104,,-4000.0,mesophile_prior
CPPPGO2,303.538,332.325,248,,-4000.0,mesophile_prior
PPPGO,305.887,331.434,618,,-4000.0,mesophile_prior
DVOCHR,299.157,323.915,193,,-4000.0,mesophile_prior
SPS,324.502,330.758,154,,-4000.0,mesophile_prior
SPP,319.295,329.523,138,,-4000.0,mesophile_prior
FCLT,313.329,329.629,80,,-4000.0,mesophile_prior
PRATPP,300.147,336.064,178,,-4000.0,mesophile_prior
ATPPRT,308.396,335.934,251,,-4000.0,mesophile_prior
PRMICI,319.725,336.907,349,,-4000.0,mesophile_prior
IGPDH,318.434,333.395,202,,-4000.0,mesophile_prior
IG3PS,316.662,321.815,346,,-4000.0,mesophile_prior
HISTP,311.771,336.993,314,,-4000.0,mesophile_prior
POR_1,327.275,330.275,523,,-4000.0,mesophile_prior
MPOMOR,326.927,329.927,360,,-4000.0,mesophile_prior
MPOMC1,310.141,316.383,275,,-4000.0,mesophile_prior
PCHR,326.601,329.601,342,,-4000.0,mesophile_prior
CYSST,318.622,327.748,414,,-4000.0,mesophile_prior
CHPHYS,328.15,334.81,303,,-4000.0,mesophile_prior
MTHFR2,299.771,324.232,388,,-4000.0,mesophile_prior
KARI_23dhmp_1,324.177,327.177,241,,-4000.0,mesophile_prior
HISTDa_1,300.73,335.211,187,,-4000.0,mesophile_prior
GOX,325.215,328.215,80,,-4000.0,mesophile_prior
KARI_1,321.235,327.784,281,,-4000.0,mesophile_prior
DHAD1,308.122,334.288,359,,-4000.0,mesophile_prior
GOR1,304.307,337.05,304,,-4000.0,mesophile_prior
DHAD2,318.367,321.367,474,,-4000.0,mesophile_prior
MTHFR3,309.434,320.421,352,,-4000.0,mesophile_prior
GLUCYS,314.893,332.005,423,,-4000.0,mesophile_prior
GTPCI,320.855,326.249,355,,-4000.0,mesophile_prior
GTHS,301.966,321.499,484,,-4000.0,mesophile_prior
IPMD,322.621,334.148,680,,-4000.0,mesophile_prior
MM3OR1,322.133,325.133,396,,-4000.0,mesophile_prior
DNTPPA,300.206,332.929,352,,-4000.0,mesophile_prior
MMS,312.74,336.392,369,,-4000.0,mesophile_prior
GTHRDH_syn,310.04,337.535,274,,-4000.0,mesophile_prior
IPPS,293.928,322.942,337,,-4000.0,mesophile_prior
MMHL,306.386,334.056,166,,-4000.0,mesophile_prior
SBP,305.179,332.331,595,,-4000.0,mesophile_prior
DPR,304.064,317.141,440,,-4000.0,mesophile_prior
AMPTASECG,328.15,334.104,302,,-4000.0,mesophile_prior
MI1PP,313.843,331.846,297,,-4000.0,mesophile_prior
KAS14,308.503,323.341,255,,-4000.0,mesophile_prior
3HAD40_2,313.627,353.909,718,,-4000.0,mesophile_prior
3OAS120,311.574,338.09,419,,-4000.0,mesophile_prior
3HAD60,300.085,328.122,560,,-4000.0,mesophile_prior
3HAD80,310.953,320.297,144,,-4000.0,mesophile_prior
3OAS60,315.577,328.573,305,,-4000.0,mesophile_prior
3OAS80,321.778,344.472,489,,-4000.0,mesophile_prior
OMPDC,308.504,321.703,821,,-4000.0,mesophile_prior
3HAD100,314.379,328.964,262,,-4000.0,mesophile_prior
3HAD120,313.357,334.377,366,,-4000.0,mesophile_prior
3HAD140,328.15,336.498,293,,-4000.0,mesophile_prior
3HAD160,308.982,311.982,344,,-4000.0,mesophile_prior
3HAD180,326.47,329.47,315,,-4000.0,mesophile_prior
MEHLER,303.322,338.789,154,,-4000.0,mesophile_prior
FTR,322.296,331.22,258,,-4000.0,mesophile_prior
SOPSII,306.56,318.476,451,,-4000.0,mesophile_prior
PRUK,311.543,319.651,346,,-4000.0,mesophile_prior
CTPS1_2,298.243,326.538,518,,-4000.0,mesophile_prior
CTPS2,318.48,336.385,130,,-4000.0,mesophile_prior
RBPC_1,312.46,335.414,559,,-4000.0,mesophile_prior
DES2_C16,324.111,327.111,426,,-4000.0,mesophile_prior
DES2_9,315.69,353.867,232,,-4000.0,mesophile_prior
ABTA,328.15,334.77,326,,-4000.0,mesophile_prior
DES2_12,328.15,335.145,115,,-4000.0,mesophile_prior
DES2_6,319.679,335.727,329,,-4000.0,mesophile_prior
DES2_6B,307.388,324.662,298,,-4000.0,mesophile_prior
DES2_15,328.15,335.446,262,,-4000.0,mesophile_prior
UHGADA,305.277,335.325,373,,-4000.0,mesophile_prior
OXGDC,328.15,335.904,428,,-4000.0,mesophile_prior
U23GAAT,315.708,332.546,332,,-4000.0,mesophile_prior
MGSA,310.743,327.147,221,,-4000.0,mesophile_prior
ASPO6,328.15,331.495,235,,-4000.0,mesophile_prior
LPADSS,324.616,327.616,440,,-4000.0,mesophile_prior
PKETF,294.9,323.155,235,,-4000.0,mesophile_prior
QULNS,304.382,316.808,205,,-4000.0,mesophile_prior
CBFCub,316.629,339.757,80,,-4000.0,mesophile_prior
NNDPR,307.15,327.931,248,,-4000.0,mesophile_prior
NDH2_syn,322.287,331.921,434,,-4000.0,mesophile_prior
NADS2,319.424,331.987,229,,-4000.0,mesophile_prior
NDH2_1p,324.364,327.364,340,,-4000.0,mesophile_prior
NADK,306.902,327.972,311,,-4000.0,mesophile_prior
