rxn_id,enz,sub,bigg,mnx,Temp_C,Temp_K
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,5.0,278.15
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,11.25,284.4
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,17.5,290.65
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,23.75,296.9
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,30.0,303.15
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,36.25,309.4
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,42.5,315.65
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,48.75,321.9
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,55.0,328.15
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,5.0,278.15
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,11.25,284.4
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,17.5,290.65
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,23.75,296.9
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,30.0,303.15
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,36.25,309.4
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,42.5,315.65
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,48.75,321.9
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,55.0,328.15
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,5.0,278.15
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,11.25,284.4
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,17.5,290.65
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,23.75,296.9
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,30.0,303.15
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,36.25,309.4
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,42.5,315.65
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,48.75,321.9
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,55.0,328.15
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,5.0,278.15
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,11.25,284.4
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,17.5,290.65
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,23.75,296.9
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,30.0,303.15
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,36.25,309.4
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,42.5,315.65
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,48.75,321.9
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,55.0,328.15
NDPK5No1,P69441,DGDP,dgdp,MNXM436,5.0,278.15
NDPK5No1,P69441,DGDP,dgdp,MNXM436,11.25,284.4
NDPK5No1,P69441,DGDP,dgdp,MNXM436,17.5,290.65
NDPK5No1,P69441,DGDP,dgdp,MNXM436,23.75,296.9
NDPK5No1,P69441,DGDP,dgdp,MNXM436,30.0,303.15
NDPK5No1,P69441,DGDP,dgdp,MNXM436,36.25,309.4
NDPK5No1,P69441,DGDP,dgdp,MNXM436,42.5,315.65
