candidate,found_in,query_gene,searched,best_hit,pident,evalue,present,hit_in_model
alternative oxidase (AOX),C. auris (clade I),XP_085454255.1,C. auris (clade I),XP_085454255.1,100.0,5.12e-247,True,False
alternative oxidase (AOX),C. duobushaemulonii,XP_025338419.1,C. auris (clade I),XP_085454255.1,84.1,8.49e-211,True,False
alternative oxidase (AOX),C. parapsilosis,XP_036668250.1,C. auris (clade I),XP_085454255.1,58.3,2.22e-129,True,False
alternative oxidase (AOX),C. parapsilosis,XP_036668251.1,C. auris (clade I),XP_085454255.1,58.3,4.79e-126,True,False
glutaredoxin (GRX5 family),C. auris (clade I),XP_085451995.1,C. auris (clade I),XP_085451995.1,100.0,5.39e-113,True,False
glutaredoxin (GRX5 family),C. auris (clade I),XP_085452177.1,C. auris (clade I),XP_085452177.1,100.0,1.78e-160,True,False
glutaredoxin (GRX5 family),C. auris (clade I),XP_085453897.1,C. auris (clade I),XP_085453897.1,100.0,0.0,True,False
glutaredoxin (GRX5 family),C. auris (clade I),XP_085454274.1,C. auris (clade I),XP_085454274.1,100.0,1.48e-72,True,False
glutaredoxin (GRX5 family),C. haemulonii,XP_025341096.1,C. auris (clade I),XP_085454274.1,83.7,4.34e-60,True,False
glutaredoxin (GRX5 family),C. haemulonii,XP_025342742.1,C. auris (clade I),XP_085451995.1,90.0,4.4e-103,True,False
glutaredoxin (GRX5 family),C. haemulonii,XP_025343739.1,C. auris (clade I),XP_085452177.1,85.6,6.16e-142,True,False
glutaredoxin (GRX5 family),C. duobushaemulonii,XP_025336058.1,C. auris (clade I),XP_085452177.1,86.3,4.88e-143,True,False
glutaredoxin (GRX5 family),C. duobushaemulonii,XP_025337240.1,C. auris (clade I),XP_085451995.1,91.3,1.79e-102,True,False
glutaredoxin (GRX5 family),C. duobushaemulonii,XP_025338437.1,C. auris (clade I),XP_085454274.1,79.8,2.82e-58,True,False
glutaredoxin (GRX5 family),C. parapsilosis,XP_036663723.1,C. auris (clade I),XP_085454274.1,58.7,1.26e-39,True,False
glutaredoxin (GRX5 family),C. parapsilosis,XP_036664315.1,C. auris (clade I),XP_085454274.1,49.5,3.72e-33,True,False
glutaredoxin (GRX5 family),C. parapsilosis,XP_036666401.1,C. auris (clade I),XP_085451995.1,72.5,2.42e-72,True,False
glutaredoxin (GRX5 family),C. parapsilosis,XP_036667368.1,C. auris (clade I),XP_085452177.1,68.5,1.79e-111,True,False
iron uptake: ferroxidase / multicopper oxidase (FET3-like),C. auris (clade I),XP_085450767.1,C. auris (clade I),XP_085450767.1,100.0,3.73e-117,True,True
iron uptake: ferroxidase / multicopper oxidase (FET3-like),C. auris (clade I),XP_085453338.1,C. auris (clade I),XP_085453338.1,100.0,0.0,True,False
iron uptake: ferroxidase / multicopper oxidase (FET3-like),C. haemulonii,XP_025340021.1,C. auris (clade I),XP_085453338.1,87.7,0.0,True,False
iron uptake: ferroxidase / multicopper oxidase (FET3-like),C. haemulonii,XP_025341880.1,C. auris (clade I),XP_085450767.1,82.0,2.37e-76,True,True
iron uptake: ferroxidase / multicopper oxidase (FET3-like),C. duobushaemulonii,XP_025335224.1,C. auris (clade I),XP_085453338.1,86.2,0.0,True,False
iron uptake: ferroxidase / multicopper oxidase (FET3-like),C. duobushaemulonii,XP_025339253.1,C. auris (clade I),XP_085450767.1,70.0,2.76e-69,True,True
iron uptake: ferroxidase / multicopper oxidase (FET3-like),C. parapsilosis,XP_036663127.1,C. auris (clade I),XP_085453338.1,64.8,2.03e-295,True,False
iron uptake: ferroxidase / multicopper oxidase (FET3-like),C. parapsilosis,XP_036664420.1,C. auris (clade I),XP_085450767.1,69.7,9.52e-56,True,True
iron uptake: ferric reductase (FRE-like),C. auris (clade I),XP_085451468.1,C. auris (clade I),XP_085451468.1,100.0,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. auris (clade I),XP_085451639.1,C. auris (clade I),XP_085451639.1,100.0,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. auris (clade I),XP_085452765.1,C. auris (clade I),XP_085452765.1,100.0,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. auris (clade I),XP_085452849.1,C. auris (clade I),XP_085452849.1,100.0,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. auris (clade I),XP_085453244.1,C. auris (clade I),XP_085453244.1,100.0,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. auris (clade I),XP_085453595.1,C. auris (clade I),XP_085453595.1,100.0,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. auris (clade I),XP_085453882.1,C. auris (clade I),XP_085453882.1,100.0,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. auris (clade I),XP_085455715.1,C. auris (clade I),XP_085455715.1,100.0,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. haemulonii,XP_025339647.1,C. auris (clade I),XP_085453595.1,71.2,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. haemulonii,XP_025342000.1,C. auris (clade I),XP_085452849.1,77.0,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. haemulonii,XP_025343028.1,C. auris (clade I),XP_085455715.1,78.4,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. haemulonii,XP_025343267.1,C. auris (clade I),XP_085453882.1,67.9,8.5e-265,True,False
iron uptake: ferric reductase (FRE-like),C. haemulonii,XP_025344296.1,C. auris (clade I),XP_085452765.1,59.0,1.91e-296,True,False
iron uptake: ferric reductase (FRE-like),C. haemulonii,XP_025344423.1,C. auris (clade I),XP_085451468.1,78.7,8.66e-242,True,False
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025335271.1,C. auris (clade I),XP_085453388.1,62.6,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025335341.1,C. auris (clade I),XP_085453244.1,76.5,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025335668.1,C. auris (clade I),XP_085452849.1,75.8,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025336627.1,C. auris (clade I),XP_085452765.1,64.6,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025336900.1,C. auris (clade I),XP_085451639.1,64.7,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025337752.1,C. auris (clade I),XP_085453595.1,73.2,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025337889.1,C. auris (clade I),XP_085455715.1,78.9,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025338073.1,C. auris (clade I),XP_085453882.1,62.8,1.03e-250,True,False
iron uptake: ferric reductase (FRE-like),C. parapsilosis,XP_036664251.1,C. auris (clade I),XP_085452849.1,44.9,4.44e-177,True,False
iron uptake: ferric reductase (FRE-like),C. parapsilosis,XP_036664252.1,C. auris (clade I),XP_085452849.1,42.8,3.76e-171,True,False
iron uptake: ferric reductase (FRE-like),C. parapsilosis,XP_036665108.1,C. auris (clade I),XP_085455715.1,46.1,4.09e-209,True,False
iron uptake: ferric reductase (FRE-like),C. parapsilosis,XP_036665434.1,C. auris (clade I),XP_085451468.1,41.5,1.24e-192,True,False
iron uptake: ferric reductase (FRE-like),C. parapsilosis,XP_036665435.1,C. auris (clade I),XP_085451468.1,41.9,1.78e-200,True,False
iron uptake: ferric reductase (FRE-like),C. parapsilosis,XP_036666533.1,C. auris (clade I),XP_085451468.1,42.8,1.9e-200,True,False
