rxn_id,Topt,Tm,Length,T90,dCpt,source,best_gene
R00894__cyto,305.127596,325.109157,758,,-4000.0,seq2topt_seq2tm,XP_025338126.1
R03416__mito,307.704852,326.671764,1536,,-4000.0,median,
R03936__cyto,315.896122,326.411489,451,,-4000.0,seq2topt_seq2tm,XP_025335432.1
R00658__cyto,309.773007,328.784397,439,,-4000.0,seq2topt_seq2tm,XP_025335431.1
R00763__cyto,304.148654,324.13021,451,,-4000.0,seq2topt_seq2tm,XP_025337151.1
R12120__cyto,300.010771,328.646031,524,,-4000.0,seq2topt_seq2tm,XP_025336625.1
R08657__mito,303.243627,327.548227,649,,-4000.0,seq2topt_seq2tm,XP_025338295.1
R04355__cyto,307.704852,326.671764,1148,,-4000.0,median,
R04591__cyto,308.830826,327.905598,307,,-4000.0,seq2topt_seq2tm,XP_025338827.1
R02485__cyto,305.410501,328.098556,287,,-4000.0,seq2topt_seq2tm,XP_025337858.1
R00527__cyto,310.149879,328.398719,286,,-4000.0,seq2topt_seq2tm,XP_025335263.1
R02590__cyto,301.838754,327.089664,428,,-4000.0,seq2topt_seq2tm,XP_025339452.1
R01351__cyto,307.704852,326.671764,514,,-4000.0,median,
R11104__pero,307.704852,326.671764,229,,-4000.0,median,
R03893__cyto,317.961702,330.319783,269,,-4000.0,seq2topt_seq2tm,XP_025337424.1
R00489__cyto,304.981609,327.355108,498,,-4000.0,seq2topt_seq2tm,XP_025338709.1
R03352__cyto,307.209169,328.316793,467,,-4000.0,seq2topt_seq2tm,XP_025337750.1
R04726__pero,307.704852,326.671764,1148,,-4000.0,median,
R00848__mito,303.243627,327.548227,649,,-4000.0,seq2topt_seq2tm,XP_025338295.1
R07895__cyto,305.102573,330.98869,418,,-4000.0,seq2topt_seq2tm,XP_025336658.1
R01072__cyto,309.938903,329.161409,534,,-4000.0,seq2topt_seq2tm,XP_025337387.1
R01187__cyto,308.662909,326.236287,608,,-4000.0,seq2topt_seq2tm,XP_025337899.1
R02464__cyto,308.171156,325.896916,1309,,-4000.0,seq2topt_seq2tm,XP_025336042.1
