present_in,absent_from,gene,description,in_model,best_hit,pident,evalue,criterion
auris,haemulonii,XP_085450351.1,uncharacterized protein B9J08_05257 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450352.1,uncharacterized protein B9J08_05258 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450359.1,uncharacterized protein B9J08_05265 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450360.1,uncharacterized protein B9J08_05266 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450392.1,uncharacterized protein B9J08_05298 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450399.1,uncharacterized protein B9J08_05305 [Candidozyma auris B8441],False,XP_025343577.1,90.0,1.32e-09,no_hit_e10
auris,haemulonii,XP_085450400.1,uncharacterized protein B9J08_05306 [Candidozyma auris B8441],False,XP_025343576.1,75.0,1.57e-05,no_hit_e10
auris,haemulonii,XP_085450413.1,uncharacterized protein B9J08_05319 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450437.1,Ctf8p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450439.1,ESCRT-II subunit protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450455.1,uncharacterized protein B9J08_05363 [Candidozyma auris B8441],False,XP_025343520.1,41.5,5.98e-05,no_hit_e10
auris,haemulonii,XP_085450474.1,uncharacterized protein B9J08_05382 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450486.1,mismatch-specific DNA-glycosylase [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450508.1,uncharacterized protein B9J08_05417 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450539.1,tubulin-binding prefolding complex subunit [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450570.1,uncharacterized protein B9J08_05481 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450625.1,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450626.1,uncharacterized protein B9J08_05538 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450644.1,uncharacterized protein B9J08_05556 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450649.1,mitochondrial 37S ribosomal protein YMR31 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450659.1,Rbr1p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450685.1,uncharacterized protein B9J08_04859 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450686.1,uncharacterized protein B9J08_04860 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450687.1,uncharacterized protein B9J08_04861 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450752.1,uncharacterized protein B9J08_04928 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450758.1,uncharacterized protein B9J08_04934 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450771.1,uncharacterized protein B9J08_04947 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450772.1,uncharacterized protein B9J08_04948 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450773.1,uncharacterized protein B9J08_04949 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450841.1,uncharacterized protein B9J08_05024 [Candidozyma auris B8441],False,XP_025342502.1,32.7,3.68e-08,no_hit_e10
auris,haemulonii,XP_085450847.1,Pga33p [Candidozyma auris B8441],False,XP_025341797.1,57.4,5.91e-07,no_hit_e10
auris,haemulonii,XP_085450852.1,uncharacterized protein B9J08_05037 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450853.1,uncharacterized protein B9J08_05038 [Candidozyma auris B8441],False,XP_025344556.1,47.8,0.000145,no_hit_e10
auris,haemulonii,XP_085450856.1,uncharacterized protein B9J08_05041 [Candidozyma auris B8441],False,XP_025342519.1,34.2,2.03e-07,no_hit_e10
auris,haemulonii,XP_085450859.1,uncharacterized protein B9J08_05044 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450864.1,uncharacterized protein B9J08_05050 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450870.1,Ten1p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450893.1,uncharacterized protein B9J08_05081 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450919.1,uncharacterized protein B9J08_05108 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450927.1,OST5 family protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085450931.1,uncharacterized protein B9J08_05120 [Candidozyma auris B8441],False,XP_025341753.1,24.8,2.95e-08,no_hit_e10
auris,haemulonii,XP_085450941.1,uncharacterized protein B9J08_05130 [Candidozyma auris B8441],False,XP_025340174.1,30.7,1.16e-05,no_hit_e10
auris,haemulonii,XP_085450952.1,uncharacterized protein B9J08_05141 [Candidozyma auris B8441],False,XP_025341776.1,27.3,2.13e-08,no_hit_e10
auris,haemulonii,XP_085450983.1,uncharacterized protein B9J08_05172 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451020.1,uncharacterized protein B9J08_05209 [Candidozyma auris B8441],False,XP_025341630.1,26.5,1.98e-08,no_hit_e10
auris,haemulonii,XP_085451037.1,uncharacterized protein B9J08_05226 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451038.1,uncharacterized protein B9J08_05227 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451041.1,uncharacterized protein B9J08_05231 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451069.1,uncharacterized protein B9J08_04443 [Candidozyma auris B8441],False,XP_025344789.1,29.3,4.33e-09,no_hit_e10
auris,haemulonii,XP_085451071.1,mitochondrial 54S ribosomal protein mL54 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451151.1,protein kish [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451181.1,uncharacterized protein B9J08_04556 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451198.1,uncharacterized protein B9J08_04573 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451199.1,uncharacterized protein B9J08_04574 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451250.1,uncharacterized protein B9J08_04626 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451281.1,Ataxin-10 homo-association domain-containing protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451290.1,protoheme IX farnesyltransferase [Candidozyma auris B8441],True,,,,no_hit_e3
auris,haemulonii,XP_085451292.1,uncharacterized protein B9J08_04668 [Candidozyma auris B8441],False,,,,no_hit_e3
