Entry	Gene Names (primary)	Gene Names	Mass	Length	Protein names
Q6LZM9	spcS	spcS MMP0595	48447	436	O-phosphoseryl-tRNA(Sec) selenium transferase (EC 2.9.1.2) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase) (Sep-tRNA:Sec-tRNA synthase) (SepSecS)
Q6LX38	hsp60	hsp60 MMP1515	58215	543	Chaperonin subunit (EC 3.6.1.-) (EC 5.6.1.7) (Thermosome subunit)
Q6LX54	hcgC	hcgC MMP1498	29262	260	6-carboxymethyl-5-methyl-4-hydroxypyridin-2-ol 3-C-methyltransferase HcgC (EC 2.1.1.400) (SAM-dependent pyridinol methyltransferase)
P62426	rpl7ae	rpl7ae MMP0641	12381	117	Large ribosomal subunit protein eL8 (50S ribosomal protein L7Ae) (Ribonuclease P protein component Rpp38) (RNase P component Rpp38) (EC 3.1.26.5) (Ribosomal protein L8e)
Q6LX42	agcS	agcS MMP1511	47526	453	Sodium/alanine symporter AgcS (Alanine permease) (Alanine/glycine:cation symporter)
Q6LZD5	fttA	fttA MMP0694	71231	635	Transcription termination factor FttA (EC 3.1.-.-) (Ribonuclease aCPSF1)
Q6LZY8	rce1	rce1 MMP0485	31197	271	CAAX prenyl protease 2 (EC 3.4.26.1) (Intramembrane protease Rce1) (IMP Rce1) (Prenyl protein-specific endoprotease 2) (Ras and a-factor-converting enzyme 1)
F1SVN3	fdhA2	fdhA2 MMP0138	74734	676	F420-dependent formate dehydrogenase 2 subunit alpha (Fdh2 subunit alpha) (EC 1.17.98.3)
Q6LWL2	hdrA	hdrA MMP1697	71281	658	H(2)/formate:CoB-CoM heterodisulfide,ferredoxin reductase subunit A (EC 1.8.98.5) (EC 1.8.98.6) (CoB--CoM heterodisulfide reductase iron-sulfur subunit A)
Q6LX26	dapL	dapL MMP1527	46764	416	LL-diaminopimelate aminotransferase (DAP-AT) (DAP-aminotransferase) (LL-DAP-aminotransferase) (EC 2.6.1.83)
Q6LX40	ald	ald MMP1513	39654	373	Alanine dehydrogenase (EC 1.4.1.1)
Q6LXF7	aroD	aroD MMP1394	24532	218	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)
Q6LYB4	glmM	glmM MMP1077	49384	447	Phosphoglucosamine mutase (EC 5.4.2.10)
Q6M0B9		MMP0352	34363	311	UDP-N-acetylglucosamine 3-dehydrogenase (EC 1.1.1.374) (UDP-GlcNAc oxidoreductase) (UDP-N-acetyl-alpha-D-glucosamine:NAD(+) 3-oxidoreductase)
P61819	cbiX	cbiX cbiX(s) cfbA MMP0164	16107	144	Sirohydrochlorin cobaltochelatase (EC 4.99.1.3) (CbiXS) (Sirohydrochlorin nickelchelatase) (EC 4.99.1.11)
Q6LWW5	carA	carA MMP1589	40518	366	Carbamoyl phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl phosphate synthetase glutamine chain)
Q6LY39	hdrC1	hdrC1 MMP1154	21600	192	H(2)/formate:CoB-CoM heterodisulfide,ferredoxin reductase subunit C1 (EC 1.8.98.5) (EC 1.8.98.6) (CoB--CoM heterodisulfide reductase iron-sulfur subunit C1)
Q6LZC5		MMP0704	31034	289	Iron-sulfur cluster carrier protein
Q6LZL7	nrpR	nrpR MMP0607	59602	536	Global nitrogen regulator NrpR (Nitrogen regulatory protein R)
Q6M056		MMP0415	61248	548	Probable bifunctional tRNA threonylcarbamoyladenosine biosynthesis protein [Includes: tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein Kae1) (tRNA threonylcarbamoyladenosine biosynthesis protein Kae1); Serine/threonine-protein kinase Bud32 (EC 2.7.11.1)]
Q6LWM9	glmS	glmS MMP1680	67138	599	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)
Q6LX63		MMP1489	62594	566	Bifunctional NADP phosphatase/NAD kinase [Includes: NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase) (Poly(P)-dependent NAD kinase) (PPNK); NADP phosphatase (NADPase) (pNPPase) (EC 3.1.3.-)]
Q6LYU4	pyrG	pyrG MMP0893	59546	533	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)
P60780	rnp2	rnp2 MMP0878	15149	130	Ribonuclease P protein component 2 (RNase P component 2) (EC 3.1.26.5) (Pop5)
P60781	rnp3	rnp3 MMP0430	26452	232	Ribonuclease P protein component 3 (RNase P component 3) (EC 3.1.26.5) (Rpp30)
P60832	rnp1	rnp1 MMP1407	11069	96	Ribonuclease P protein component 1 (RNase P component 1) (EC 3.1.26.5) (Rpp29)
Q6LWM4	epdE	epdE MMP1685	7788	74	Major structural pilin EpdE (Type IV pilin-like protein MMP1685)
Q6LYD7	hdrC2	hdrC2 MMP1054	20452	184	H(2)/formate:CoB-CoM heterodisulfide,ferredoxin reductase subunit C2 (EC 1.8.98.5) (EC 1.8.98.6) (CoB--CoM heterodisulfide reductase iron-sulfur subunit C2)
Q6M0Z2	hcgA	hcgA MMP0126	37572	341	6-carboxymethyl-5-methyl-4-hydroxy-2-pyridinol synthase
O30520	serS	serS MMP0879	59587	514	Type-2 serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)
P62378	rnp4	rnp4 MMP0921	12891	110	Ribonuclease P protein component 4 (RNase P component 4) (EC 3.1.26.5) (Rpp21)
Q6LX61	dadD	dadD MMP1491	46703	422	5'-deoxyadenosine deaminase (5'-dA deaminase) (EC 3.5.4.41) (5'-methylthioadenosine deaminase) (MTA deaminase) (EC 3.5.4.31) (Adenosine deaminase) (EC 3.5.4.4) (S-adenosylhomocysteine deaminase) (SAH deaminase) (EC 3.5.4.28)
Q6LXQ1	fdhA1	fdhA1 MMP1298	74225	674	F420-dependent formate dehydrogenase 1 subunit alpha (Fdh1 subunit alpha) (EC 1.17.98.3)
Q6LZC3	wecC	wecC MMP0706	47252	427	UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336) (UDP-ManNAc 6-dehydrogenase)
O59648	glnA	glnA MMP1206	49421	446	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I alpha) (GSI alpha)
P0CW51	nifD	nifD MMP0856	53632	477	Nitrogenase molybdenum-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase) (Nitrogenase component I)
P0CW63	mat	mat MMP1640	44292	405	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (Methionine adenosyltransferase)
P61123	rpl24e	rpl24e MMP0639	7193	62	Large ribosomal subunit protein eL24 (50S ribosomal protein L24e)
P62065	argJ	argJ MMP0897	43749	408	Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase) [Cleaved into: Glutamate N-acetyltransferase alpha chain; Glutamate N-acetyltransferase beta chain]
P62131	mre11	mre11 MMP1340	43263	372	DNA double-strand break repair protein Mre11 (EC 3.1.-.-)
Q6LWR0	pan	pan MMP1647	45852	407	Proteasome-activating nucleotidase (PAN) (EC 3.6.1.-) (Proteasomal ATPase) (Proteasome regulatory ATPase) (Proteasome regulatory particle)
Q6LX78	ileS	ileS MMP1474	119910	1034	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)
Q6LXI1	tuf	tuf MMP1370	46397	428	Elongation factor 1-alpha (EF-1-alpha) (EC 3.6.5.3) (Elongation factor Tu) (EF-Tu)
Q6LXJ8	thi4	thi4 MMP1352	27925	262	Thiamine thiazole synthase (EC 2.4.2.59)
Q6LXR6	epdD	epdD MMP1283	7218	67	Minor structural pilin EpdD
Q6LXY8	aroA	aroA MMP1205	46474	429	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)
Q6LY38	hdrB1	hdrB1 MMP1155	33510	301	H(2)/formate:CoB-CoM heterodisulfide,ferredoxin reductase subunit B1 (EC 1.8.98.5) (EC 1.8.98.6) (CoB--CoM heterodisulfide reductase subunit B1)
