rxn_id,Topt,Tm,Length,T90,dCpt,source,best_gene
R07054__cyto,301.026112,329.344746,565,,-4000.0,seq2topt_seq2tm,CPAR2_500140
R00894__cyto,304.481935,325.108549,777,,-4000.0,seq2topt_seq2tm,CPAR2_208390
TO0000182_CYTMEM__plas,308.041977,327.395645,462,,-4000.0,seq2topt_seq2tm,CPAR2_402410
R01853__pero,312.899697,327.554789,661,,-4000.0,seq2topt_seq2tm,CPAR2_104430
R03936__cyto,309.788925,327.945748,461,,-4000.0,seq2topt_seq2tm,CPAR2_207220
R02354__cyto,301.026112,329.344746,565,,-4000.0,seq2topt_seq2tm,CPAR2_500140
R00658__cyto,312.04497,328.114697,439,,-4000.0,seq2topt_seq2tm,CPAR2_207210
R00763__cyto,305.89424,326.681075,1022,,-4000.0,seq2topt_seq2tm,CPAR2_301740
R01220__cyto,314.854988,330.967417,946,,-4000.0,seq2topt_seq2tm,CPAR2_204710
R08657__mito,302.260111,327.482942,650,,-4000.0,seq2topt_seq2tm,CPAR2_501330
TR0015529_CYTMEM__plas,306.798491,327.35686,694,,-4000.0,median,
R06520__mito,322.981395,329.687354,259,,-4000.0,seq2topt_seq2tm,CPAR2_207800
R04355__cyto,306.798491,327.35686,1966,,-4000.0,median,
TR0002803_CYTMEM__plas,306.798491,327.35686,694,,-4000.0,median,
R04591__cyto,309.178279,329.96386,295,,-4000.0,seq2topt_seq2tm,CPAR2_500190
R02485__cyto,305.257319,343.48549,148,,-4000.0,seq2topt_seq2tm,CPAR2_302050
TO1002511_CYTMEM__plas,300.437986,325.474682,625,,-4000.0,seq2topt_seq2tm,CPAR2_209780
R00527__cyto,311.698987,330.801132,284,,-4000.0,seq2topt_seq2tm,CPAR2_701120
TR0011839_CYTMEM__plas,306.798491,327.35686,694,,-4000.0,median,
TR2901157_CYTMEM__plas,306.798491,327.35686,324,,-4000.0,median,
R01351__cyto,306.798491,327.35686,305,,-4000.0,median,
TR2900096_CYTMEM__plas,289.73807,327.162448,303,,-4000.0,seq2topt_seq2tm,CPAR2_404540
