rxn_id,Topt,Tm,Length,T90,dCpt,source,best_gene
R00894__cyto,305.184974,325.752994,755,,-4000.0,seq2topt_seq2tm,XP_025343215.1
R03416__mito,307.790751,326.686326,2076,,-4000.0,median,
R03936__cyto,312.779223,327.067426,453,,-4000.0,seq2topt_seq2tm,XP_025342242.1
R00658__cyto,311.380705,328.483745,439,,-4000.0,seq2topt_seq2tm,XP_025342243.1
R00763__cyto,309.889211,324.300906,396,,-4000.0,seq2topt_seq2tm,XP_025342994.1
R12120__cyto,299.429781,328.163078,524,,-4000.0,seq2topt_seq2tm,XP_025344294.1
R08657__mito,303.248176,327.588353,648,,-4000.0,seq2topt_seq2tm,XP_025340956.1
R04355__cyto,307.790751,326.686326,1146,,-4000.0,median,
R04591__cyto,305.870078,327.724829,307,,-4000.0,seq2topt_seq2tm,XP_025341488.1
R02485__cyto,305.758817,329.040465,286,,-4000.0,seq2topt_seq2tm,XP_025343059.1
R00527__cyto,311.201348,328.679857,286,,-4000.0,seq2topt_seq2tm,XP_025340056.1
R02590__cyto,303.955485,328.198251,430,,-4000.0,seq2topt_seq2tm,XP_025341674.1
R01351__cyto,307.790751,326.686326,539,,-4000.0,median,
R11104__pero,307.790751,326.686326,427,,-4000.0,median,
R03893__cyto,314.71419,327.356872,297,,-4000.0,seq2topt_seq2tm,XP_025343544.1
R00489__cyto,302.419323,326.013801,567,,-4000.0,seq2topt_seq2tm,XP_025343228.1
R03352__cyto,302.498588,326.299164,467,,-4000.0,seq2topt_seq2tm,XP_025339645.1
R04726__pero,307.790751,326.686326,1146,,-4000.0,median,
R00848__mito,303.248176,327.588353,648,,-4000.0,seq2topt_seq2tm,XP_025340956.1
R07895__cyto,305.813058,329.864314,418,,-4000.0,seq2topt_seq2tm,XP_025344328.1
R01072__cyto,311.041027,329.434404,534,,-4000.0,seq2topt_seq2tm,XP_025343583.1
R01187__cyto,309.889211,324.300906,396,,-4000.0,seq2topt_seq2tm,XP_025342994.1
R02464__cyto,316.068935,327.279392,594,,-4000.0,seq2topt_seq2tm,XP_025343721.1
R00548__cyto,317.936432,326.023641,461,,-4000.0,seq2topt_seq2tm,XP_025344333.1
R00768__cyto,312.613795,329.291812,665,,-4000.0,seq2topt_seq2tm,XP_025341162.1
R00243__cyto,306.016631,326.496765,1069,,-4000.0,seq2topt_seq2tm,XP_025341877.1
R03293__cyto,307.68593,331.190035,276,,-4000.0,seq2topt_seq2tm,XP_025340638.1
R04639__cyto,307.746183,326.650128,286,,-4000.0,seq2topt_seq2tm,XP_025341690.1
R03657__cyto,302.678874,327.052793,1091,,-4000.0,seq2topt_seq2tm,XP_025340926.1
R01466__cyto,308.19727,327.387306,510,,-4000.0,seq2topt_seq2tm,XP_025344615.1
R03652__cyto,308.272983,327.540889,796,,-4000.0,seq2topt_seq2tm,XP_025340437.1
R02295__cyto,316.910716,332.115826,307,,-4000.0,seq2topt_seq2tm,XP_025343966.1
R09419__cyto,295.23871,326.405588,334,,-4000.0,seq2topt_seq2tm,XP_025340013.1
R09076__cyto,304.584517,333.102515,470,,-4000.0,seq2topt_seq2tm,XP_025344769.1
R07764__cyto,307.790751,326.686326,678,,-4000.0,median,
R00827__cyto,307.002321,324.590334,488,,-4000.0,seq2topt_seq2tm,XP_025341435.1
R02249__cyto,307.790751,326.686326,726,,-4000.0,median,
R03357__cyto,304.923376,331.076017,295,,-4000.0,seq2topt_seq2tm,XP_025341340.1
R02874__cyto,299.675763,327.666357,494,,-4000.0,seq2topt_seq2tm,XP_025342230.1
R00248__cyto,307.790751,326.686326,2121,,-4000.0,median,XP_025339952.1
R01372__cyto,307.825602,325.973102,478,,-4000.0,seq2topt_seq2tm,XP_025342817.1
R08310__cyto,305.265215,323.473069,383,,-4000.0,seq2topt_seq2tm,XP_025340682.1
R02003__cyto,310.449145,326.328138,350,,-4000.0,seq2topt_seq2tm,XP_025340303.1
R04955__cyto,307.790751,326.686326,378,,-4000.0,median,
R00674__cyto,318.207739,330.264661,692,,-4000.0,seq2topt_seq2tm,XP_025340496.1
R07070__cyto,304.199073,326.341119,321,,-4000.0,seq2topt_seq2tm,XP_025344035.1
R02849__cyto,302.709265,325.720206,485,,-4000.0,seq2topt_seq2tm,XP_025343315.1
R02413__cyto,307.790751,326.686326,2134,,-4000.0,median,XP_025343755.1
R01398__cyto,307.09053,326.171306,338,,-4000.0,seq2topt_seq2tm,XP_025344522.1
R04208__cyto,311.959326,329.9705,791,,-4000.0,seq2topt_seq2tm,XP_025343214.1
R12366__cyto,310.275582,326.056233,907,,-4000.0,seq2topt_seq2tm,XP_025341358.1
R01030__cyto,304.397134,325.093344,1285,,-4000.0,seq2topt_seq2tm,XP_025341788.1
R08306__mito,305.265215,323.473069,383,,-4000.0,seq2topt_seq2tm,XP_025340682.1
R00264__cyto,305.60823,327.157834,512,,-4000.0,seq2topt_seq2tm,XP_025343288.1
R03416__cyto,307.790751,326.686326,2076,,-4000.0,median,
R08551__cyto,307.790751,326.686326,872,,-4000.0,median,
R01956__cyto,325.964891,332.163122,435,,-4000.0,seq2topt_seq2tm,XP_025342955.1
R02722__cyto,318.207739,330.264661,692,,-4000.0,seq2topt_seq2tm,XP_025340496.1
R00220__pero,303.52027,326.175639,1137,,-4000.0,seq2topt_seq2tm,XP_025342032.1
R02549__cyto,305.60823,327.157834,512,,-4000.0,seq2topt_seq2tm,XP_025343288.1
R02029__mito,307.790751,326.686326,214,,-4000.0,median,
R02739__cyto,310.811719,328.048024,304,,-4000.0,seq2topt_seq2tm,XP_025342634.1
R08221__cyto,305.758817,329.040465,286,,-4000.0,seq2topt_seq2tm,XP_025343059.1
R00351__pero,312.374821,334.590831,461,,-4000.0,seq2topt_seq2tm,XP_025341180.1
R08310__mito,305.265215,323.473069,383,,-4000.0,seq2topt_seq2tm,XP_025340682.1
R01330__cyto,302.709265,325.720206,485,,-4000.0,seq2topt_seq2tm,XP_025343315.1
R01626__mito,307.790751,326.686326,2054,,-4000.0,median,XP_025344154.1
R05801__cyto,302.762247,324.572799,573,,-4000.0,seq2topt_seq2tm,XP_025344429.1
R00227__cyto,302.381926,327.590635,470,,-4000.0,seq2topt_seq2tm,XP_025342529.1
R01220__mito,307.215453,326.51709,938,,-4000.0,seq2topt_seq2tm,XP_025342445.1
R02439__mito,302.762247,324.572799,573,,-4000.0,seq2topt_seq2tm,XP_025344429.1
R02746__pero,307.790751,326.686326,2076,,-4000.0,median,
R01288__cyto,316.511106,325.371537,590,,-4000.0,seq2topt_seq2tm,XP_025340376.1
R07396__cyto,332.293739,328.564402,490,,-4000.0,seq2topt_seq2tm,XP_025340820.1
R04566__cyto,307.790751,326.686326,1388,,-4000.0,median,
R02853__cyto,302.762247,324.572799,573,,-4000.0,seq2topt_seq2tm,XP_025344429.1
R03036__cyto,313.347272,326.310048,209,,-4000.0,seq2topt_seq2tm,XP_025344566.1
R08162__cyto,307.790751,326.686326,393,,-4000.0,median,
R05002__cyto,309.440327,324.852756,763,,-4000.0,seq2topt_seq2tm,XP_025344360.1
R01960__cyto,297.44149,331.11693,461,,-4000.0,seq2topt_seq2tm,XP_025340157.1
R11216__cyto,307.790751,326.686326,337,,-4000.0,median,
R02113__cyto,309.440327,324.852756,763,,-4000.0,seq2topt_seq2tm,XP_025344360.1
R01051__cyto,320.897093,327.909991,327,,-4000.0,seq2topt_seq2tm,XP_025342921.1
R00974__cyto,302.626885,326.184335,1617,,-4000.0,seq2topt_seq2tm,XP_025342707.1
R03661__cyto,308.583447,326.208845,685,,-4000.0,seq2topt_seq2tm,XP_025343820.1
R00344__mito,306.934665,329.40962,1178,,-4000.0,seq2topt_seq2tm,XP_025342524.1
R07024__cyto,304.199073,326.341119,321,,-4000.0,seq2topt_seq2tm,XP_025344035.1
R00278__cyto,303.827143,327.445266,229,,-4000.0,seq2topt_seq2tm,XP_025344481.1
R04430__cyto,307.790751,326.686326,937,,-4000.0,median,
R07084__cyto,304.199073,326.341119,321,,-4000.0,seq2topt_seq2tm,XP_025344035.1
R01965__cyto,330.836634,326.507261,381,,-4000.0,seq2topt_seq2tm,XP_025344668.1
R02558__cyto,341.727619,333.429816,825,,-4000.0,seq2topt_seq2tm,XP_025341985.1
R02017__cyto,307.790751,326.686326,721,,-4000.0,median,
R00602__cyto,305.266563,325.750014,485,,-4000.0,seq2topt_seq2tm,XP_025343574.1
R04964__cyto,307.790751,326.686326,1388,,-4000.0,median,
R01736__cyto,306.056166,328.685316,260,,-4000.0,seq2topt_seq2tm,XP_025339554.1
R01626__cyto,307.790751,326.686326,2054,,-4000.0,median,XP_025344154.1
R05733__cyto,305.4461,327.185443,323,,-4000.0,seq2topt_seq2tm,XP_025342552.1
R04969__cyto,307.790751,326.686326,378,,-4000.0,median,
R01209__mito,309.988095,326.207784,588,,-4000.0,seq2topt_seq2tm,XP_025342005.1
R00316__cyto,300.657073,327.012721,680,,-4000.0,seq2topt_seq2tm,XP_025340510.1
R00328__cyto,307.790751,326.686326,674,,-4000.0,median,
R03601__cyto,330.834685,329.419705,438,,-4000.0,seq2topt_seq2tm,XP_025340642.1
R08120__cyto,314.71419,327.356872,297,,-4000.0,seq2topt_seq2tm,XP_025343544.1
R00390__cyto,307.790751,326.686326,697,,-4000.0,median,
R01600__cyto,302.709265,325.720206,485,,-4000.0,seq2topt_seq2tm,XP_025343315.1
R01710__cyto,303.827143,327.445266,229,,-4000.0,seq2topt_seq2tm,XP_025344481.1
R03217__cyto,316.511106,325.371537,590,,-4000.0,seq2topt_seq2tm,XP_025340376.1
R07134__cyto,305.315923,329.906365,278,,-4000.0,seq2topt_seq2tm,XP_025342327.1
R12188__cyto,307.790751,326.686326,394,,-4000.0,median,
R02670__cyto,305.266563,325.750014,485,,-4000.0,seq2topt_seq2tm,XP_025343574.1
R04533__cyto,307.790751,326.686326,1388,,-4000.0,median,
R02024__cyto,307.790751,326.686326,721,,-4000.0,median,
R04859__cyto,330.834685,329.419705,438,,-4000.0,seq2topt_seq2tm,XP_025340642.1
R00988__cyto,326.650857,328.567991,250,,-4000.0,seq2topt_seq2tm,XP_025341542.1
R10065__cyto,302.762247,324.572799,573,,-4000.0,seq2topt_seq2tm,XP_025344429.1
R11216__mito,307.790751,326.686326,337,,-4000.0,median,
R04371__cyto,311.458336,327.543703,678,,-4000.0,seq2topt_seq2tm,XP_025340917.1
R07091__cyto,304.199073,326.341119,321,,-4000.0,seq2topt_seq2tm,XP_025344035.1
R01431__cyto,310.905439,326.005659,318,,-4000.0,seq2topt_seq2tm,XP_025339676.1
R01321__cyto,304.391995,326.231918,293,,-4000.0,seq2topt_seq2tm,XP_025343691.1
R07406__cyto,310.275582,326.056233,907,,-4000.0,seq2topt_seq2tm,XP_025341358.1
R09882__mito,313.347272,326.310048,209,,-4000.0,seq2topt_seq2tm,XP_025344566.1
R00227__mito,302.381926,327.590635,470,,-4000.0,seq2topt_seq2tm,XP_025342529.1
R10928__cyto,307.790751,326.686326,1327,,-4000.0,median,
R03648__cyto,304.453267,328.8488,551,,-4000.0,seq2topt_seq2tm,XP_025343821.1
R05616__cyto,303.927712,326.422426,391,,-4000.0,seq2topt_seq2tm,XP_025341956.1
R01799__mito,302.200462,326.344523,424,,-4000.0,seq2topt_seq2tm,XP_025340309.1
R09376__cyto,302.894457,327.10509,289,,-4000.0,seq2topt_seq2tm,XP_025342919.1
R11101__cyto,303.52027,326.175639,1137,,-4000.0,seq2topt_seq2tm,XP_025342032.1
R00772__cyto,305.942062,324.71585,438,,-4000.0,seq2topt_seq2tm,XP_025343487.1
R02059__cyto,316.945166,327.425477,408,,-4000.0,seq2topt_seq2tm,XP_025343088.1
R01698__mito,302.225834,330.808374,487,,-4000.0,seq2topt_seq2tm,XP_025339830.1
R04751__cyto,306.141121,326.294312,704,,-4000.0,seq2topt_seq2tm,XP_025340905.1
R00937__mito,304.675733,328.202656,204,,-4000.0,seq2topt_seq2tm,XP_025339718.1
R11312__cyto,300.876012,326.702556,515,,-4000.0,seq2topt_seq2tm,XP_025344068.1
R02404__mito,301.669261,325.99192,324,,-4000.0,seq2topt_seq2tm,XP_025339919.1
R05510__cyto,314.71419,327.356872,297,,-4000.0,seq2topt_seq2tm,XP_025343544.1
R09477__cyto,310.905439,326.005659,318,,-4000.0,seq2topt_seq2tm,XP_025339676.1
